Exp,Site,Hole,Core,Type,Sect,Top offset (cm),Bottom offset (cm),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Alkalinity (mM),pH (none),Timestamp (UTC),Text ID
374,U1523,B,1,H,1,0.0,10.0,0,0.100,0.000,0.100,3.271,8.035,2018-01-30 09:16:03,LIQ9339731
374,U1523,B,1,H,1,10.0,20.0,0.1,0.200,0.100,0.200,2.837,8.004,2018-01-31 13:20:43,LIQ9345201
374,U1523,B,1,H,1,20.0,30.0,0.2,0.300,0.200,0.300,2.879,7.803,2018-01-30 22:42:38,LIQ9345351
374,U1523,B,1,H,1,50.0,60.0,0.5,0.600,0.500,0.600,2.934,7.677,2018-01-30 13:01:48,LIQ9340311
374,U1523,B,1,H,1,60.0,70.0,0.6,0.700,0.600,0.700,3.134,8.048,2018-01-31 13:52:08,LIQ9344061
374,U1523,B,1,H,1,70.0,80.0,0.7,0.800,0.700,0.800,3.058,7.934,2018-02-01 16:55:22,LIQ9343991
374,U1523,B,1,H,1,70.0,80.0,0.7,0.800,0.700,0.800,3.990,7.939,2018-01-31 14:29:28,LIQ9343991
374,U1523,B,1,H,1,100.0,110.0,1,1.100,1.000,1.100,3.129,7.792,2018-02-01 09:34:27,LIQ9344621
374,U1523,B,1,H,1,110.0,120.0,1.1,1.200,1.100,1.200,2.919,7.730,2018-01-31 09:23:23,LIQ9344551
374,U1523,B,1,H,1,120.0,130.0,1.2,1.300,1.200,1.300,3.180,7.742,2018-01-30 16:23:33,LIQ9340881
374,U1523,B,1,H,1,120.0,130.0,1.2,1.300,1.200,1.300,3.066,7.802,2018-01-31 15:06:28,LIQ9340881
374,U1523,B,1,H,2,0.0,10.0,1.5,1.600,1.500,1.600,3.477,7.828,2018-01-30 10:16:23,LIQ9339831
374,U1523,B,1,H,2,10.0,20.0,1.6,1.700,1.600,1.700,3.051,7.677,2018-01-30 19:18:33,LIQ9343921
374,U1523,B,1,H,2,20.0,30.0,1.7,1.800,1.700,1.800,3.027,7.839,2018-02-01 13:50:57,LIQ9343801
374,U1523,B,1,H,2,20.0,30.0,1.7,1.800,1.700,1.800,4.267,7.752,2018-01-30 18:16:48,LIQ9343801
374,U1523,B,1,H,2,50.0,60.0,2,2.100,2.000,2.100,3.116,7.732,2018-02-01 16:22:07,LIQ9340581
374,U1523,B,1,H,2,50.0,60.0,2,2.100,2.000,2.100,2.790,7.724,2018-01-30 14:39:08,LIQ9340581
374,U1523,B,1,H,2,60.0,70.0,2.1,2.200,2.100,2.200,3.019,7.694,2018-01-31 11:40:08,LIQ9344331
374,U1523,B,1,H,2,70.0,80.0,2.2,2.300,2.200,2.300,3.155,7.807,2018-01-31 15:44:13,LIQ9344401
374,U1523,B,1,H,2,100.0,110.0,2.5,2.600,2.500,2.600,3.137,7.668,2018-01-31 16:50:23,LIQ9341311
374,U1523,B,1,H,2,110.0,120.0,2.6,2.700,2.600,2.700,3.107,7.742,2018-01-31 07:58:18,LIQ9344131
374,U1523,B,1,H,2,120.0,130.0,2.7,2.800,2.700,2.800,3.148,7.739,2018-01-31 06:31:53,LIQ9344201
374,U1523,B,1,H,3,0.0,10.0,3,3.100,3.000,3.100,3.397,7.913,2018-01-30 10:52:03,LIQ9339931
374,U1523,B,1,H,3,10.0,20.0,3.1,3.200,3.100,3.200,3.265,7.781,2018-01-31 00:44:48,LIQ9345501
374,U1523,B,1,H,3,20.0,30.0,3.2,3.300,3.200,3.300,3.153,7.769,2018-01-31 20:31:23,LIQ9345421
374,U1523,B,1,H,3,50.0,60.0,3.5,3.600,3.500,3.600,3.442,8.071,2018-01-31 23:04:17,LIQ9340671
374,U1523,B,1,H,3,60.0,70.0,3.6,3.700,3.600,3.700,3.111,7.747,2018-01-31 04:46:23,LIQ9343471
374,U1523,B,1,H,3,70.0,80.0,3.7,3.800,3.700,3.800,3.231,7.764,2018-01-31 00:18:28,LIQ9344471
374,U1523,B,1,H,3,100.0,110.0,4,4.100,4.000,4.100,3.223,7.679,2018-01-31 19:11:17,LIQ9341411
374,U1523,B,1,H,3,110.0,120.0,4.1,4.200,4.100,4.200,3.309,7.766,2018-01-31 03:42:43,LIQ9343081
374,U1523,B,1,H,3,120.0,130.0,4.2,4.300,4.200,4.300,3.134,7.685,2018-01-31 04:16:03,LIQ9343321
374,U1523,B,1,H,4,0.0,10.0,4.5,4.600,4.500,4.600,3.471,7.876,2018-01-30 11:39:28,LIQ9340031
374,U1523,B,1,H,4,10.0,20.0,4.6,4.700,4.600,4.700,3.238,7.749,2018-01-30 20:06:48,LIQ9343551
374,U1523,B,1,H,4,20.0,30.0,4.7,4.800,4.700,4.800,3.338,7.749,2018-01-31 01:16:28,LIQ9343621
374,U1523,B,1,H,4,50.0,60.0,5,5.100,5.000,5.100,3.317,7.734,2018-01-31 05:46:33,LIQ9342111
374,U1523,B,1,H,4,60.0,70.0,5.1,5.200,5.100,5.200,3.311,7.747,2018-01-31 22:24:57,LIQ9343251
374,U1523,B,1,H,4,70.0,80.0,5.2,5.300,5.200,5.300,3.332,7.762,2018-01-31 02:05:58,LIQ9343401
374,U1523,B,1,H,4,100.0,110.0,5.5,5.600,5.500,5.600,3.384,7.636,2018-01-31 21:49:07,LIQ9342381
374,U1523,B,1,H,4,110.0,120.0,5.6,5.700,5.600,5.700,3.598,7.976,2018-01-31 12:22:33,LIQ9343001
374,U1523,B,1,H,4,120.0,130.0,5.7,5.800,5.700,5.800,3.518,7.949,2018-01-31 02:30:38,LIQ9342801
374,U1523,B,1,H,5,0.0,10.0,6,6.100,6.000,6.100,3.394,7.708,2018-01-31 10:11:48,LIQ9345741
374,U1523,B,1,H,5,10.0,20.0,6.1,6.200,6.100,6.200,3.385,7.735,2018-01-31 21:09:42,LIQ9345101
374,U1523,B,1,H,5,20.0,30.0,6.2,6.300,6.200,6.300,3.473,7.701,2018-01-30 12:21:03,LIQ9340131
374,U1523,B,1,H,5,50.0,60.0,6.5,6.600,6.500,6.600,3.410,7.759,2018-02-01 01:17:28,LIQ9342021
374,U1523,B,1,H,5,60.0,70.0,6.6,6.700,6.600,6.700,3.495,7.754,2018-01-31 11:02:33,LIQ9345931
374,U1523,B,1,H,5,70.0,80.0,6.7,6.800,6.700,6.800,3.538,7.783,2018-02-01 01:57:37,LIQ9346071
374,U1523,B,1,H,5,100.0,110.0,7,7.100,7.000,7.100,3.567,7.810,2018-02-01 00:37:32,LIQ9342211
374,U1523,B,1,H,5,110.0,120.0,7.1,7.200,7.100,7.200,3.500,7.865,2018-01-31 23:56:57,LIQ9346001
374,U1523,B,1,H,5,120.0,130.0,7.2,7.300,7.200,7.300,3.525,7.744,2018-01-30 23:37:18,LIQ9345841
374,U1523,B,1,H,6,0.0,10.0,7.5,7.600,7.500,7.600,3.693,7.824,2018-01-30 13:45:08,LIQ9340211
374,U1523,B,1,H,6,10.0,20.0,7.6,7.700,7.600,7.700,3.531,7.815,2018-02-01 02:30:42,LIQ9345011
374,U1523,B,1,H,6,40.0,50.0,7.9,8.000,7.900,8.000,3.582,7.710,2018-01-30 15:21:28,LIQ9340781
374,U1523,B,1,H,6,50.0,60.0,8,8.100,8.000,8.100,3.694,7.891,2018-01-31 08:39:28,LIQ9345671
374,U1523,B,1,H,6,60.0,70.0,8.1,8.200,8.100,8.200,3.627,7.733,2018-01-31 18:31:03,LIQ9345601
374,U1523,B,5,F,2,147.0,152.0,59.08,59.130,59.080,59.130,6.382,7.754,2018-01-31 17:47:28,LIQ9341211
374,U1523,B,7,F,2,141.0,151.0,68.41,68.510,68.350,68.448,7.467,7.738,2018-01-31 19:52:33,LIQ9341731
