Exp,Site,Hole,Core,Type,Sect,Top offset (cm),Bottom offset (cm),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Alkalinity (mM),pH (none),Timestamp (UTC),Text ID
374,U1525,A,1,H,1,0.0,0.0,0,0.050,0.000,0.050,2.484,7.829,2018-02-07 09:24:58,LIQ9375091
374,U1525,A,1,H,3,145.0,150.0,4.45,4.500,4.440,4.490,4.478,7.622,2018-02-07 06:37:23,LIQ9373851
374,U1525,A,2,H,4,146.0,151.0,14.57,14.620,14.177,14.224,6.070,7.678,2018-02-07 07:21:38,LIQ9374321
374,U1525,A,3,H,4,145.0,150.0,24.06,24.110,23.701,23.748,7.167,7.749,2018-02-07 08:22:03,LIQ9374811
374,U1525,A,5,F,2,145.0,150.0,31.85,31.900,31.730,31.778,8.438,7.713,2018-02-07 10:57:38,LIQ9375441
374,U1525,A,11,F,3,91.0,101.0,59.43,59.480,59.285,59.333,12.123,7.865,2018-02-07 14:37:32,LIQ9376481
374,U1525,A,13,F,3,86.0,96.0,68.87,68.920,68.870,68.920,12.476,7.712,2018-02-07 16:02:22,LIQ9377661
374,U1525,A,15,F,2,136.0,146.0,77.32,77.370,77.320,77.370,13.170,7.719,2018-02-07 17:45:32,LIQ9378191
374,U1525,A,16,H,6,131.0,141.0,87.61,87.660,87.429,87.478,13.518,7.692,2018-02-07 18:46:02,LIQ9378721
374,U1525,A,17,H,4,141.0,151.0,94.35,94.450,94.084,94.179,14.393,7.810,2018-02-07 19:36:17,LIQ9379151
374,U1525,A,20,F,3,91.0,101.0,115.71,115.810,115.573,115.670,15.900,7.707,2018-02-07 21:51:32,LIQ9380111
374,U1525,A,25,X,3,140.0,150.0,135.6,135.700,134.993,135.079,19.185,7.730,2018-02-08 02:05:22,LIQ9381711
374,U1525,A,30,X,4,138.0,148.0,181.09,181.190,181.065,181.165,19.439,7.756,2018-02-08 15:06:27,LIQ9382911
