"Exp","Site","Hole","Core","Type","Sect","A/W","Top offset on section (cm)","Bot offset on section (cm)","Top depth CSF-A (m)","Top depth CSF-B (m)","Inorganic carbon (wt%)","Calcium carbonate (wt%)","Total carbon (wt%)","Hydrogen (wt%)","Nitrogen (wt%)","Sulfur (wt%)","Organic carbon (wt%) by difference (CHNS-COUL)","Sample comments"
"374","U1523","B","3","F","1","W","126.0","127.0","47.960","47.960","0.072","0.600","0.5235","0.0000","0.0359","0.0000","0.45",""
"374","U1523","B","5","F","1","W","119.0","120.0","57.290","57.290","0.117","0.975","0.6609","0.0000","0.0468","0.0000","0.54",""
"374","U1523","B","7","F","2","W","21.0","22.0","67.210","67.175","0.168","1.400","0.7002","0.0000","0.0432","0.0000","0.53",""
"374","U1523","B","8","F","2","W","34.0","35.0","72.050","72.050","0.057","0.475","0.2694","0.0000","0.0125","0.0000","0.21",""
"374","U1523","B","8","F","CC","W","9.0","10.0","74.550","74.550","0.034","0.283","0.2368","0.0000","0.0199","0.0000","0.20",""
"374","U1523","B","9","F","1","W","64.5","65.5","75.545","75.545","0.137","1.142","0.2973","0.0000","0.0153","0.0000","0.16",""
"374","U1523","B","10","F","1","W","60.0","61.0","80.200","80.200","0.065","0.542","0.4938","0.0000","0.0360","0.0000","0.43",""
"374","U1523","B","10","F","1","W","93.0","94.0","80.530","80.530","0.045","0.375","0.5640","0.0000","0.0394","0.0000","0.52",""
"374","U1523","B","10","F","4","W","21.0","22.0","83.560","83.560","0.043","0.358","0.6317","0.0000","0.0514","0.0000","0.59",""
"374","U1523","B","11","F","2","W","48.5","49.5","85.375","85.375","0.066","0.550","0.4857","0.0000","0.0310","0.0000","0.42",""
"374","U1523","B","12","F","1","W","62.0","63.0","89.620","89.620","0.055","0.458","0.4739","0.0000","0.0306","0.0000","0.42",""
"374","U1523","B","20","F","1","W","145.0","146.0","128.950","128.940","","","0.4292","0.0000","0.0351","0.0000","",""
"374","U1523","B","21","F","3","W","49.0","50.0","134.820","134.774","0.038","0.317","0.4023","0.0000","0.0373","0.0000","0.36",""
"374","U1523","B","23","X","1","W","90.0","91.0","146.100","146.100","0.051","0.425","0.4400","0.0000","0.0303","0.0000","0.39",""
"374","U1523","B","24","X","1","W","30.0","31.0","155.100","155.100","0.047","0.392","0.2281","0.0000","0.0182","0.0000","0.18",""
