"Exp","Site","Hole","Core","Type","Sect","A/W","Top offset on section (cm)","Bot offset on section (cm)","Top depth CSF-A (m)","Top depth CSF-B (m)","Inorganic carbon (wt%)","Calcium carbonate (wt%)","Total carbon (wt%)","Hydrogen (wt%)","Nitrogen (wt%)","Sulfur (wt%)","Organic carbon (wt%) by difference (CHNS-COUL)","Sample comments"
"374","U1523","E","4","F","2","W","40.0","41.0","22.610","22.610","0.115","0.958","0.4571","0.0000","0.0213","0.0000","0.34",""
"374","U1523","E","4","F","2","W","84.0","85.0","23.050","23.050","0.644","5.366","0.8597","0.0000","0.0066","0.0000","0.22",""
"374","U1523","E","12","F","3","W","69.0","70.0","63.670","63.557","0.043","0.358","0.2791","0.0000","0.0287","0.0000","0.24",""
"374","U1523","E","12","F","4","W","5.0","6.0","64.160","64.031","0.113","0.942","0.6169","0.0000","0.0456","0.0000","0.50",""
"374","U1523","E","15","F","2","W","58.0","59.0","83.780","83.780","0.130","1.083","0.1742","0.0000","0.0048","0.0000","0.04",""
"374","U1523","E","15","F","3","W","74.0","75.0","85.450","85.450","0.046","0.383","0.6558","0.0000","0.0550","0.0000","0.61",""
"374","U1523","E","15","F","3","W","131.0","132.0","86.020","86.020","1.855","15.458","","","","","",""
"374","U1523","E","16","F","1","W","53.0","54.0","86.930","86.930","0.048","0.400","0.5223","0.0000","0.0417","0.0000","0.47",""
"374","U1523","E","18","F","1","W","59.5","60.5","95.695","95.695","0.042","0.350","0.0573","0.0000","0.0125","0.0000","0.02",""
"374","U1523","E","20","F","2","W","52.0","53.0","107.680","107.680","0.033","0.275","0.2317","0.0000","0.0167","0.0000","0.20",""
"374","U1523","E","20","F","4","W","43.0","44.0","109.820","109.820","0.029","0.242","0.1800","0.0000","0.0213","0.0000","0.15",""
"374","U1523","E","21","F","2","W","62.0","63.0","112.470","112.470","0.037","0.308","0.2732","0.0000","0.0216","0.0000","0.24",""
"374","U1523","E","21","F","3","W","32.0","33.0","113.630","113.630","0.046","0.383","0.1049","0.0000","0.0146","0.0000","0.06",""
"374","U1523","E","23","F","1","W","119.0","120.0","117.890","117.865","0.037","0.308","0.3183","0.0000","0.0376","0.0000","0.28",""
"374","U1523","E","23","F","4","W","30.5","31.5","120.705","120.622","0.042","0.350","0.2932","0.0000","0.0330","0.0000","0.25",""
"374","U1523","E","24","F","1","W","28.0","29.0","121.680","121.680","0.036","0.300","0.4162","0.0000","0.0361","0.0000","0.38",""
"374","U1523","E","25","F","1","W","59.0","62.0","126.690","126.690","","","0.2953","0.0000","0.0251","0.0000","",""
