"Exp","Site","Hole","Core","Type","Sect","A/W","Top offset on section (cm)","Bot offset on section (cm)","Top depth CSF-A (m)","Top depth CSF-B (m)","Inorganic carbon (wt%)","Calcium carbonate (wt%)","Total carbon (wt%)","Hydrogen (wt%)","Nitrogen (wt%)","Sulfur (wt%)","Organic carbon (wt%) by difference (CHNS-COUL)","Sample comments"
"374","U1524","A","1","H","1","W","61.0","62.0","0.610","0.607","0.084","0.700","0.4236","0.0000","0.0362","0.0000","0.34",""
"374","U1524","A","1","H","1","W","85.0","86.0","0.850","0.846","0.037","0.308","0.2658","0.0000","0.0261","0.0000","0.23",""
"374","U1524","A","1","H","2","W","60.0","61.0","2.060","2.050","0.036","0.300","0.2226","0.0000","0.0270","0.0000","0.19",""
"374","U1524","A","1","H","3","W","47.0","48.0","3.390","3.373","0.120","1.000","0.3300","0.0000","0.0267","0.0000","0.21",""
"374","U1524","A","2","H","3","W","70.0","71.0","7.700","7.579","0.040","0.333","0.1217","0.0000","0.0178","0.0000","0.08",""
"374","U1524","A","2","H","6","W","15.0","16.0","11.650","11.401","0.098","0.817","0.5050","0.0000","0.0345","0.0000","0.41",""
"374","U1524","A","3","H","1","W","80.0","81.0","14.300","14.267","0.065","0.542","0.4107","0.0000","0.0251","0.0000","0.35",""
"374","U1524","A","3","H","3","W","80.0","81.0","17.300","17.143","0.063","0.525","0.5707","0.0000","0.0411","0.0000","0.51",""
"374","U1524","A","3","H","6","W","84.0","85.0","21.840","21.494","0.034","0.283","0.1485","0.0000","0.0226","0.0000","0.11",""
"374","U1524","A","4","H","2","W","35.0","36.0","24.850","24.850","0.009","0.075","0.3816","0.0000","0.0330","0.0000","0.37",""
"374","U1524","A","4","H","4","W","30.0","31.0","27.800","27.800","0.069","0.575","0.5386","0.0000","0.0369","0.0000","0.47",""
"374","U1524","A","5","H","1","W","65.0","66.0","33.150","33.116","0.126","1.050","0.5500","0.0000","0.0392","0.0000","0.42",""
"374","U1524","A","5","H","5","W","103.0","104.0","39.530","39.159","0.042","0.350","0.1014","0.0000","0.0156","0.0000","0.06",""
"374","U1524","A","5","H","6","W","10.0","11.0","40.100","39.699","0.035","0.292","0.1520","0.0000","0.0280","0.0000","0.12",""
"374","U1524","A","6","H","1","W","87.5","88.5","42.875","42.827","0.200","1.667","0.5856","0.0000","0.0233","0.0000","0.39",""
"374","U1524","A","6","H","5","W","67.0","68.0","48.640","48.276","0.061","0.508","0.3232","0.0000","0.0308","0.0000","0.26",""
"374","U1524","A","7","H","1","W","86.0","87.0","52.360","52.329","0.035","0.292","0.5826","0.0000","0.0396","0.0000","0.55",""
"374","U1524","A","7","H","5","W","38.0","39.0","57.750","57.529","0.047","0.392","0.1825","0.0000","0.0273","0.0000","0.14",""
"374","U1524","A","8","H","1","W","41.0","42.0","61.410","61.410","0.042","0.350","0.1508","0.0000","0.0236","0.0000","0.11",""
"374","U1524","A","8","H","2","W","18.0","19.0","62.680","62.680","0.105","0.875","0.5477","0.0000","0.0412","0.0000","0.44",""
"374","U1524","A","9","H","1","W","71.0","72.0","71.210","71.172","0.147","1.225","0.6320","0.0000","0.0424","0.0000","0.48",""
"374","U1524","A","9","H","4","W","62.0","63.0","75.630","75.354","0.038","0.317","0.2344","0.0000","0.0269","0.0000","0.20",""
