"Exp","Site","Hole","Core","Type","Sect","A/W","Top offset on section (cm)","Bot offset on section (cm)","Top depth CSF-A (m)","Top depth CSF-B (m)","Inorganic carbon (wt%)","Calcium carbonate (wt%)","Total carbon (wt%)","Hydrogen (wt%)","Nitrogen (wt%)","Sulfur (wt%)","Organic carbon (wt%) by difference (CHNS-COUL)","Sample comments"
"374","U1524","C","4","R","1","W","95.0","96.0","279.650","279.650","0.046","0.383","0.6864","0.0000","0.0555","0.0000","0.64",""
"374","U1524","C","7","R","1","W","80.0","81.0","308.300","308.300","0.037","0.308","0.6326","0.0000","0.0598","0.0000","0.60",""
"374","U1524","C","9","R","1","W","91.0","92.0","327.610","327.610","0.048","0.400","0.4580","0.0000","0.0506","0.0000","0.41",""
"374","U1524","C","9","R","2","W","45.0","46.0","328.640","328.640","0.038","0.317","0.0914","0.0000","0.0242","0.0000","0.05",""
"374","U1524","C","12","R","1","W","7.0","8.0","355.570","355.570","7.653","63.772","8.5343","0.0000","0.0162","0.0000","0.88","carb cemented"
"374","U1524","C","12","R","1","W","74.0","75.0","356.240","356.240","0.051","0.425","0.1214","0.0000","0.0263","0.0000","0.07",""
"374","U1524","C","12","R","2","W","52.0","53.0","357.430","357.430","0.040","0.333","0.2339","0.0000","0.0368","0.0000","0.19","greenish"
"374","U1524","C","16","R","1","W","70.0","71.0","394.600","394.600","0.047","0.392","0.1264","0.0000","0.0291","0.0000","0.08","greenish layer"
"374","U1524","C","16","R","2","W","85.0","86.0","395.760","395.760","0.141","1.175","0.7345","0.0000","0.0576","0.0000","0.59",""
"374","U1524","C","16","R","3","W","38.0","39.0","396.760","396.760","0.147","1.225","0.7759","0.0000","0.0599","0.0000","0.63",""
"374","U1524","C","20","R","2","W","112.0","114.0","434.920","434.920","0.110","0.917","0.6390","0.0000","0.0579","0.0000","0.53",""
"374","U1524","C","20","R","4","W","51.0","53.0","436.810","436.810","0.043","0.358","0.1655","0.0000","0.0344","0.0000","0.12",""
