Exp,Site,Hole,Core,Type,Sect,A/W,Top offset (cm),Bottom offset (cm),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Organic carbon (wt%),Carbon (wt%),Hydrogen (wt%),Nitrogen (wt%),Sulfur (wt%),Container number,Sample mass (mg),CHNS datafile
374,U1522,A,1,R,2,W,74.0,75.0,2.26,2.270,2.260,2.270,,0.566912591457367,0,0.0199583396315575,0,8,12.8239,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,9,R,3,W,55.0,57.0,80.86,80.880,80.860,80.880,,0.496245443820953,0,0.0178406164050102,0,9,12.7805,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,10,R,2,W,32.0,33.0,88.82,88.830,88.820,88.830,,0.447675913572311,0,0.0179007649421692,0,10,12.7469,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,11,R,1,W,59.0,61.0,97.29,97.310,97.290,97.310,,0.452504485845566,0,0.0206902995705605,0,11,14.0301,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,13,R,1,W,64.0,66.0,116.74,116.760,116.740,116.760,,0.607964515686035,0,0.00934636872261763,0,12,13.4558,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,16,R,1,W,39.0,41.0,145.59,145.610,145.590,145.610,,0.419509708881378,0,0.0202257186174393,0,13,12.8363,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,22,R,1,W,60.0,62.0,203.8,203.820,203.800,203.820,,0.679739773273468,0,0.026508953422308,0,14,11.939,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,23,R,4,W,47.0,48.0,217.48,217.490,217.480,217.490,,0.696055054664612,0,0.0274179875850678,0,15,11.5391,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,24,R,1,W,101.0,102.0,223.41,223.420,223.410,223.420,,0.677846729755402,0,0.0341694504022598,0,16,11.9611,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,26,R,1,W,26.0,27.0,241.86,241.870,241.860,241.870,,0.803160071372986,0,0.0291686821728945,0,17,12.1539,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,27,R,3,W,59.0,61.0,254.79,254.810,254.790,254.810,,0.77360200881958,0,0.0318051092326641,0,18,11.9703,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,28,R,2,W,13.0,14.0,262.43,262.440,262.430,262.440,,0.717800080776214,0,0.0333581827580929,0,21,12.6506,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,29,R,1,W,32.0,33.0,270.72,270.730,270.720,270.730,,0.795597195625305,0,0.0300743598490953,0,22,11.3541,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,29,R,4,W,45.0,46.0,275.17,275.180,275.170,275.180,,0.537800908088684,0,0.030590608716011,0,23,12.1913,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,30,R,2,W,34.0,35.0,281.84,281.850,281.840,281.850,,0.63993763923645,0,0.0302134603261948,0,24,12.6581,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,31,R,3,W,37.0,38.0,292.69,292.700,292.690,292.700,,0.586365759372711,0,0.0357193723320961,0,25,12.9998,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,32,R,1,W,35.0,36.0,299.55,299.560,299.550,299.560,,0.60799890756607,0,0.0312769711017609,0,26,12.1243,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,33,R,1,W,53.0,54.0,309.33,309.340,309.330,309.340,,0.643381595611572,0,0.0291517581790686,0,27,11.723,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,34,R,2,W,56.0,57.0,320.37,320.380,320.370,320.380,,0.658561825752258,0,0.0331527329981327,0,28,12.9535,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,35,R,2,W,56.0,57.0,330.07,330.080,330.070,330.080,,0.685062885284424,0,0.0342791564762592,0,29,13.3134,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,37,R,1,W,63.0,64.0,343.03,343.040,343.030,343.040,,0.639732658863068,0,0.0328425280749798,0,30,13.7345,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,38,R,1,W,73.0,74.0,347.93,347.940,347.930,347.940,,0.707754731178284,0,0.0341904647648334,0,31,13.4898,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,45,R,2,W,37.0,38.0,397.39,397.400,397.390,397.400,,0.752027332782745,0,0.0328520759940147,0,33,14.0241,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,45,R,2,W,71.0,72.0,397.73,397.740,397.730,397.740,,0.535334825515747,0,0.0308461394160986,0,34,11.3339,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,46,R,2,W,66.0,67.0,407.36,407.370,407.360,407.370,,0.638642907142639,0,0.0276080425828695,0,35,15.1774,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,47,R,2,W,51.0,52.0,416.42,416.430,416.420,416.430,,0.694703042507172,0,0.0258694756776094,0,36,12.3074,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,48,R,1,W,82.0,83.0,425.32,425.330,425.320,425.330,,0.767583966255188,0,0.0243074242025614,0,37,12.3437,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,48,R,3,W,75.0,76.0,428.17,428.180,428.170,428.180,,0.721323788166046,0,0.0324496626853943,0,38,13.0864,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,49,R,3,W,61.0,63.0,437.7,437.720,437.700,437.720,,0.732091069221496,0,0.0427981577813625,0,39,12.8766,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,50,R,3,W,65.0,67.0,447.28,447.300,447.280,447.300,,0.734881460666656,0,0.0423193573951721,0,40,13.6968,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,50,R,5,W,26.0,28.0,449.67,449.690,449.670,449.690,,0.718655109405518,0,0.0374618470668793,0,41,12.3996,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,51,R,1,W,68.0,70.0,453.98,454.000,453.980,454.000,,0.798009157180786,0,0.0408257804811001,0,42,13.7923,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,51,R,6,W,29.0,31.0,460.81,460.830,460.810,460.830,,0.714476406574249,0,0.0360758639872074,0,43,12.3119,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,52,R,1,W,102.0,103.0,463.92,463.930,463.920,463.930,,0.883688151836395,0,0.0485300682485104,0,2,11.5384,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,52,R,4,W,35.0,36.0,467.37,467.380,467.370,467.380,,0.815444231033325,0,0.0371009036898613,0,3,11.2279,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,53,R,3,W,27.0,28.0,475.69,475.700,475.690,475.700,,0.678500711917877,0,0.0375927351415157,0,4,11.7988,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,53,R,7,W,23.0,24.0,481.14,481.150,481.140,481.150,,0.838220000267029,0,0.0319863446056843,0,5,12.021,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,54,R,1,W,93.0,94.0,483.03,483.040,483.030,483.040,,0.872326552867889,0,0.0313649028539658,0,6,11.8459,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,55,R,2,W,99.0,100.0,494.11,494.120,494.110,494.120,,0.632847905158996,0,0.039998933672905,0,7,12.3386,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,56,R,2,W,96.0,97.0,503.72,503.730,503.720,503.730,,0.639171242713928,0,0.0299855023622513,0,8,12.5684,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,56,R,4,W,12.0,13.0,504.51,504.520,504.510,504.520,,0.315192878246307,0,0.0294214189052582,0,9,11.0357,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,57,R,1,W,75.0,77.0,511.65,511.670,511.650,511.670,,0.571825802326202,0,0.0358439572155476,0,10,14.0574,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,57,R,3,W,110.0,112.0,514.64,514.660,514.640,514.660,,0.534472167491913,0,0.0315188951790333,0,11,11.9711,374-CHNS-45573731-X374_U1522A_run1_weight.XLS
374,U1522,A,58,R,3,W,26.0,28.0,523.57,523.590,523.570,523.590,,0.479747444391251,0,0.0315148718655109,0,8,11.5583,374-CHNS-45610621-X374_U1522A_run2_weight.XLS
374,U1522,A,58,R,5,W,70.0,72.0,526.48,526.500,526.480,526.500,,0.664415538311005,0,0.0316612124443054,0,9,13.5526,374-CHNS-45610621-X374_U1522A_run2_weight.XLS
374,U1522,A,59,R,1,W,65.0,67.0,530.75,530.770,530.750,530.770,,0.497650742530823,0,0.0345589742064476,0,10,13.2607,374-CHNS-45610621-X374_U1522A_run2_weight.XLS
374,U1522,A,59,R,5,W,97.0,99.0,535.6,535.620,535.600,535.620,,0.47251895070076,0,0.0339987352490425,0,11,14.3384,374-CHNS-45610621-X374_U1522A_run2_weight.XLS
374,U1522,A,60,R,3,W,82.0,84.0,543.33,543.350,543.330,543.350,,0.448896914720535,0,0.0344405099749565,0,12,13.6529,374-CHNS-45610621-X374_U1522A_run2_weight.XLS
374,U1522,A,60,R,5,W,22.0,24.0,545.55,545.570,545.550,545.570,,0.434286415576935,0,0.0301569551229477,0,13,11.3983,374-CHNS-45610621-X374_U1522A_run2_weight.XLS
374,U1522,A,61,R,CC,W,61.0,62.0,551.13,551.140,551.130,551.140,,0.644485473632812,0,0.0182336773723364,0,14,13.5043,374-CHNS-45610621-X374_U1522A_run2_weight.XLS
374,U1522,A,62,R,1,W,41.0,42.0,559.21,559.220,559.210,559.220,,0.202228963375092,0,0.0123905120417476,0,15,12.7914,374-CHNS-45610621-X374_U1522A_run2_weight.XLS
374,U1522,A,63,R,2,W,103.0,105.0,570.69,570.710,570.690,570.710,,0.367343604564667,0,0.0323708169162273,0,16,12.9456,374-CHNS-45610621-X374_U1522A_run2_weight.XLS
374,U1522,A,63,R,4,W,87.0,89.0,573.48,573.500,573.480,573.500,,0.440357983112335,0,0.0324390940368176,0,17,12.5694,374-CHNS-45610621-X374_U1522A_run2_weight.XLS
374,U1522,A,63,R,6,W,20.0,22.0,575.67,575.690,575.670,575.690,,0.34968364238739,0,0.0338112376630306,0,18,11.8808,374-CHNS-45610621-X374_U1522A_run2_weight.XLS
374,U1522,A,64,R,1,W,104.0,106.0,578.84,578.860,578.840,578.860,,0.406275123357773,0,0.030986113473773,0,20,12.9216,374-CHNS-45610621-X374_U1522A_run2_weight.XLS
374,U1522,A,64,R,4,W,28.0,29.0,582.37,582.380,582.370,582.380,,0.356140673160553,0,0.026564497500658,0,21,11.7866,374-CHNS-45610621-X374_U1522A_run2_weight.XLS
374,U1522,A,65,R,2,W,114.0,116.0,589.82,589.840,589.820,589.840,,0.390906035900116,0,0.0266976151615381,0,22,12.2523,374-CHNS-45610621-X374_U1522A_run2_weight.XLS
374,U1522,A,65,R,5,W,98.0,100.0,593.87,593.890,593.870,593.890,,0.409369021654129,0,0.0300201717764139,0,23,11.9247,374-CHNS-45610621-X374_U1522A_run2_weight.XLS
374,U1522,A,66,R,3,W,64.0,66.0,599.93,599.950,599.930,599.950,,0.495161026716232,0,0.0362040251493454,0,24,11.3749,374-CHNS-45610621-X374_U1522A_run2_weight.XLS
374,U1522,A,67,R,1,W,45.0,47.0,606.75,606.770,606.750,606.770,,0.427548170089722,0,0.0370287485420704,0,25,12.1647,374-CHNS-45610621-X374_U1522A_run2_weight.XLS
