Exp,Site,Hole,Core,Type,Sect,A/W,Top offset (cm),Bottom offset (cm),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Organic carbon (wt%),Carbon (wt%),Hydrogen (wt%),Nitrogen (wt%),Sulfur (wt%),Container number,Sample mass (mg),CHNS datafile
374,U1523,B,3,F,1,W,126.0,127.0,47.96,47.970,47.960,47.970,,0.5235,0,0.0359,0,21,12.7797,374-CHNS-45684281-374_U1523_run1_wtpct_upload.XLS
374,U1523,B,5,F,1,W,119.0,120.0,57.29,57.300,57.290,57.300,,0.6609,0,0.0468,0,22,12.1293,374-CHNS-45684281-374_U1523_run1_wtpct_upload.XLS
374,U1523,B,7,F,2,W,21.0,22.0,67.21,67.220,67.175,67.184,,0.7002,0,0.0432,0,23,11.6843,374-CHNS-45684281-374_U1523_run1_wtpct_upload.XLS
374,U1523,B,8,F,2,W,34.0,35.0,72.05,72.060,72.050,72.060,,0.2694,0,0.0125,0,24,11.2042,374-CHNS-45684281-374_U1523_run1_wtpct_upload.XLS
374,U1523,B,8,F,CC,W,9.0,10.0,74.55,74.560,74.550,74.560,,0.2368,0,0.0199,0,25,14.8593,374-CHNS-45684281-374_U1523_run1_wtpct_upload.XLS
374,U1523,B,9,F,1,W,64.5,65.5,75.545,75.555,75.545,75.555,,0.2973,0,0.0153,0,26,11.0507,374-CHNS-45684281-374_U1523_run1_wtpct_upload.XLS
374,U1523,B,10,F,1,W,60.0,61.0,80.2,80.210,80.200,80.210,,0.4938,0,0.0360,0,27,13.1321,374-CHNS-45684281-374_U1523_run1_wtpct_upload.XLS
374,U1523,B,10,F,1,W,93.0,94.0,80.53,80.540,80.530,80.540,,0.5640,0,0.0394,0,28,10.6837,374-CHNS-45684281-374_U1523_run1_wtpct_upload.XLS
374,U1523,B,10,F,4,W,21.0,22.0,83.56,83.570,83.560,83.570,,0.6317,0,0.0514,0,29,11.368,374-CHNS-45684281-374_U1523_run1_wtpct_upload.XLS
374,U1523,B,11,F,2,W,48.5,49.5,85.375,85.385,85.375,85.385,,0.4857,0,0.0310,0,30,13.4892,374-CHNS-45684281-374_U1523_run1_wtpct_upload.XLS
374,U1523,B,12,F,1,W,62.0,63.0,89.62,89.630,89.620,89.630,,0.4739,0,0.0306,0,32,11.4811,374-CHNS-45684281-374_U1523_run1_wtpct_upload.XLS
374,U1523,B,20,F,1,W,145.0,146.0,128.95,128.960,128.940,128.950,,0.4292,0,0.0351,0,33,11.4591,374-CHNS-45684281-374_U1523_run1_wtpct_upload.XLS
374,U1523,B,21,F,3,W,49.0,50.0,134.82,134.830,134.774,134.784,,0.4023,0,0.0373,0,34,11.9862,374-CHNS-45684281-374_U1523_run1_wtpct_upload.XLS
374,U1523,B,23,X,1,W,90.0,91.0,146.1,146.110,146.100,146.110,,0.4400,0,0.0303,0,35,12.0813,374-CHNS-45684281-374_U1523_run1_wtpct_upload.XLS
374,U1523,B,24,X,1,W,30.0,31.0,155.1,155.110,155.100,155.110,,0.2281,0,0.0182,0,36,12.4415,374-CHNS-45684281-374_U1523_run1_wtpct_upload.XLS
