Exp,Site,Hole,Core,Type,Sect,A/W,Top offset (cm),Bottom offset (cm),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Organic carbon (wt%),Carbon (wt%),Hydrogen (wt%),Nitrogen (wt%),Sulfur (wt%),Container number,Sample mass (mg),CHNS datafile
374,U1523,E,4,F,2,W,40.0,41.0,22.61,22.620,22.610,22.620,,0.4571,0,0.0213,0,8,11.6929,374-CHNS-45731491-374_U1523_run2_wtpct_upload.XLS
374,U1523,E,4,F,2,W,84.0,85.0,23.05,23.060,23.050,23.060,,0.8597,0,0.0066,0,9,12.5381,374-CHNS-45731491-374_U1523_run2_wtpct_upload.XLS
374,U1523,E,12,F,3,W,69.0,70.0,63.67,63.680,63.557,63.566,,0.2791,0,0.0287,0,10,11.466,374-CHNS-45731491-374_U1523_run2_wtpct_upload.XLS
374,U1523,E,12,F,4,W,5.0,6.0,64.16,64.170,64.031,64.041,,0.6169,0,0.0456,0,11,11.9958,374-CHNS-45731491-374_U1523_run2_wtpct_upload.XLS
374,U1523,E,15,F,2,W,58.0,59.0,83.78,83.790,83.780,83.790,,0.1742,0,0.0048,0,12,12.0508,374-CHNS-45731491-374_U1523_run2_wtpct_upload.XLS
374,U1523,E,15,F,3,W,74.0,75.0,85.45,85.460,85.450,85.460,,0.6558,0,0.0550,0,13,11.7773,374-CHNS-45731491-374_U1523_run2_wtpct_upload.XLS
374,U1523,E,16,F,1,W,53.0,54.0,86.93,86.940,86.930,86.940,,0.5223,0,0.0417,0,14,11.5915,374-CHNS-45731491-374_U1523_run2_wtpct_upload.XLS
374,U1523,E,18,F,1,W,59.5,60.5,95.695,95.705,95.695,95.705,,0.0573,0,0.0125,0,15,11.3161,374-CHNS-45731491-374_U1523_run2_wtpct_upload.XLS
374,U1523,E,20,F,2,W,52.0,53.0,107.68,107.690,107.680,107.690,,0.2317,0,0.0167,0,16,13.6284,374-CHNS-45731491-374_U1523_run2_wtpct_upload.XLS
374,U1523,E,20,F,4,W,43.0,44.0,109.82,109.830,109.820,109.830,,0.1800,0,0.0213,0,17,12.0625,374-CHNS-45731491-374_U1523_run2_wtpct_upload.XLS
374,U1523,E,21,F,2,W,62.0,63.0,112.47,112.480,112.470,112.480,,0.2732,0,0.0216,0,19,12.4838,374-CHNS-45731491-374_U1523_run2_wtpct_upload.XLS
374,U1523,E,21,F,3,W,32.0,33.0,113.63,113.640,113.630,113.640,,0.1049,0,0.0146,0,20,12.1533,374-CHNS-45731491-374_U1523_run2_wtpct_upload.XLS
374,U1523,E,23,F,1,W,119.0,120.0,117.89,117.900,117.865,117.875,,0.3183,0,0.0376,0,21,13.3105,374-CHNS-45731491-374_U1523_run2_wtpct_upload.XLS
374,U1523,E,23,F,4,W,30.5,31.5,120.705,120.715,120.622,120.631,,0.2932,0,0.0330,0,22,11.9645,374-CHNS-45731491-374_U1523_run2_wtpct_upload.XLS
374,U1523,E,24,F,1,W,28.0,29.0,121.68,121.690,121.680,121.690,,0.4162,0,0.0361,0,23,11.6597,374-CHNS-45731491-374_U1523_run2_wtpct_upload.XLS
374,U1523,E,25,F,1,W,59.0,62.0,126.69,126.720,126.690,126.720,,0.2953,0,0.0251,0,24,12.2331,374-CHNS-45731491-374_U1523_run2_wtpct_upload.XLS
