Exp,Site,Hole,Core,Type,Sect,A/W,Top offset (cm),Bottom offset (cm),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Organic carbon (wt%),Carbon (wt%),Hydrogen (wt%),Nitrogen (wt%),Sulfur (wt%),Container number,Sample mass (mg),CHNS datafile
374,U1524,C,4,R,1,W,95.0,96.0,279.65,279.660,279.650,279.660,,0.686383962631226,0,0.0554544441401958,0,8,11.7626,374-CHNS-45978141-U1525A_run2_wtpct.XLS
374,U1524,C,7,R,1,W,80.0,81.0,308.3,308.310,308.300,308.310,,0.632556557655334,0,0.0597916692495346,0,9,12.5867,374-CHNS-45978141-U1525A_run2_wtpct.XLS
374,U1524,C,9,R,1,W,91.0,92.0,327.61,327.620,327.610,327.620,,0.45797860622406,0,0.0505550280213356,0,10,12.0124,374-CHNS-45978141-U1525A_run2_wtpct.XLS
374,U1524,C,9,R,2,W,45.0,46.0,328.64,328.650,328.640,328.650,,0.0913882777094841,0,0.0241554379463196,0,11,14.2232,374-CHNS-45978141-U1525A_run2_wtpct.XLS
374,U1524,C,12,R,1,W,7.0,8.0,355.57,355.580,355.570,355.580,,8.53429508209228,0,0.0161832682788372,0,12,12.4702,374-CHNS-45978141-U1525A_run2_wtpct.XLS
374,U1524,C,12,R,1,W,74.0,75.0,356.24,356.250,356.240,356.250,,0.121432818472385,0,0.0263294707983732,0,13,12.6511,374-CHNS-45978141-U1525A_run2_wtpct.XLS
374,U1524,C,12,R,2,W,52.0,53.0,357.43,357.440,357.430,357.440,,0.233877867460251,0,0.0368035733699799,0,14,13.5484,374-CHNS-45978141-U1525A_run2_wtpct.XLS
374,U1524,C,16,R,1,W,70.0,71.0,394.6,394.610,394.600,394.610,,0.126400724053383,0,0.0290638469159603,0,15,13.2792,374-CHNS-45978141-U1525A_run2_wtpct.XLS
374,U1524,C,16,R,2,W,85.0,86.0,395.76,395.770,395.760,395.770,,0.734510481357574,0,0.0575902052223682,0,16,14.1231,374-CHNS-45978141-U1525A_run2_wtpct.XLS
374,U1524,C,16,R,3,W,38.0,39.0,396.76,396.770,396.760,396.770,,0.775877594947815,0,0.059889443218708,0,17,13.0963,374-CHNS-45978141-U1525A_run2_wtpct.XLS
374,U1524,C,20,R,2,W,112.0,114.0,434.92,434.940,434.920,434.940,,0.639027118682861,0,0.0579233057796955,0,18,11.5869,374-CHNS-45978141-U1525A_run2_wtpct.XLS
374,U1524,C,20,R,4,W,51.0,53.0,436.81,436.830,436.810,436.830,,0.165488496422768,0,0.0343737713992596,0,19,13.1992,374-CHNS-45978141-U1525A_run2_wtpct.XLS
