Exp,Site,Hole,Core,Type,Sect,A/W,Top offset (cm),Bottom offset (cm),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Organic carbon (wt%),Carbon (wt%),Hydrogen (wt%),Nitrogen (wt%),Sulfur (wt%),Container number,Sample mass (mg),CHNS datafile
374,U1525,A,1,H,1,W,40.0,41.0,0.4,0.410,0.399,0.409,,0.1644,0,0.0246,0,36,12.1032,374-CHNS-45957721-374_U1524_run2_wtpct_upload.XLS
374,U1525,A,1,H,5,W,70.0,71.0,6.7,6.710,6.684,6.694,,0.4913,0,0.0231,0,37,12.4029,374-CHNS-45957721-374_U1524_run2_wtpct_upload.XLS
374,U1525,A,2,H,1,W,76.0,77.0,9.36,9.370,9.310,9.319,,0.4335,0,0.0218,0,38,11.9415,374-CHNS-45957721-374_U1524_run2_wtpct_upload.XLS
374,U1525,A,2,H,6,W,97.0,98.0,17.1,17.110,16.540,16.549,,0.4626,0,0.0160,0,39,13.0112,374-CHNS-45957721-374_U1524_run2_wtpct_upload.XLS
374,U1525,A,3,H,2,W,100.0,101.0,20.6,20.610,20.450,20.459,,0.4837,0,0.0233,0,40,11.8283,374-CHNS-45957721-374_U1524_run2_wtpct_upload.XLS
374,U1525,A,3,H,4,W,80.0,81.0,23.41,23.420,23.090,23.099,,0.5346,0,0.0257,0,41,12.869,374-CHNS-45957721-374_U1524_run2_wtpct_upload.XLS
374,U1525,A,4,H,1,W,71.0,72.0,28.31,28.320,28.305,28.315,,0.4407,0,0.0172,0,42,12.2339,374-CHNS-45957721-374_U1524_run2_wtpct_upload.XLS
374,U1525,A,5,F,1,W,72.0,73.0,29.62,29.630,29.591,29.600,,0.5319,0,0.0207,0,44,14.4727,374-CHNS-45957721-374_U1524_run2_wtpct_upload.XLS
374,U1525,A,6,F,1,W,93.0,94.0,34.53,34.540,34.485,34.494,,0.5107,0,0.0224,0,45,15.1238,374-CHNS-45957721-374_U1524_run2_wtpct_upload.XLS
374,U1525,A,6,F,3,W,79.0,80.0,37.39,37.400,37.206,37.215,,0.4978,0,0.0225,0,46,12.8284,374-CHNS-45957721-374_U1524_run2_wtpct_upload.XLS
374,U1525,A,10,X,1,W,18.0,19.0,51.18,51.190,51.180,51.190,,0.0517,0,0.0182,0,47,13.7915,374-CHNS-45957721-374_U1524_run2_wtpct_upload.XLS
374,U1525,A,11,F,1,W,42.0,43.0,56.12,56.130,56.104,56.113,,0.1537,0,0.0257,0,48,14.0325,374-CHNS-45957721-374_U1524_run2_wtpct_upload.XLS
374,U1525,A,11,F,4,W,46.0,47.0,59.99,60.000,59.823,59.833,,0.4016,0,0.0253,0,49,13.8818,374-CHNS-45957721-374_U1524_run2_wtpct_upload.XLS
374,U1525,A,12,F,1,W,109.0,110.0,61.49,61.500,61.403,61.412,,0.4084,0,0.0262,0,50,11.928,374-CHNS-45957721-374_U1524_run2_wtpct_upload.XLS
374,U1525,A,12,F,4,W,43.0,44.0,64.86,64.870,64.503,64.512,,0.3726,0,0.0367,0,51,11.8761,374-CHNS-45957721-374_U1524_run2_wtpct_upload.XLS
374,U1525,A,13,F,1,W,111.0,112.0,66.21,66.220,66.210,66.220,,0.1586,0,0.0444,0,1,12.8869,374-CHNS-45961871-U1525A_run1_wtpct_upload.XLS
374,U1525,A,13,F,3,W,45.0,46.0,68.46,68.470,68.460,68.470,,0.3730,0,0.0426,0,2,11.9578,374-CHNS-45961871-U1525A_run1_wtpct_upload.XLS
374,U1525,A,14,F,1,W,78.0,79.0,70.58,70.590,70.544,70.553,,0.3893,0,0.0423,0,3,11.9421,374-CHNS-45961871-U1525A_run1_wtpct_upload.XLS
374,U1525,A,14,F,3,W,74.0,75.0,73.49,73.500,73.317,73.327,,0.4846,0,0.0436,0,4,12.2976,374-CHNS-45961871-U1525A_run1_wtpct_upload.XLS
374,U1525,A,15,F,2,W,20.0,21.0,76.16,76.170,76.160,76.170,,0.4900,0,0.0342,0,5,12.1455,374-CHNS-45961871-U1525A_run1_wtpct_upload.XLS
374,U1525,A,16,H,1,W,80.0,81.0,80,80.010,79.983,79.993,,0.5221,0,0.0452,0,6,12.0301,374-CHNS-45961871-U1525A_run1_wtpct_upload.XLS
374,U1525,A,16,H,4,W,105.0,106.0,84.51,84.520,84.395,84.405,,0.4774,0,0.0440,0,7,12.7113,374-CHNS-45961871-U1525A_run1_wtpct_upload.XLS
374,U1525,A,17,H,1,W,55.0,56.0,89.25,89.260,89.224,89.234,,0.5974,0,0.0436,0,8,14.3526,374-CHNS-45961871-U1525A_run1_wtpct_upload.XLS
374,U1525,A,17,H,4,W,60.0,61.0,93.54,93.550,93.312,93.321,,0.0709,0,0.0227,0,9,12.6282,374-CHNS-45961871-U1525A_run1_wtpct_upload.XLS
374,U1525,A,17,H,7,W,32.0,33.0,97.6,97.610,97.181,97.190,,0.5578,0,0.0501,0,10,13.2008,374-CHNS-45961871-U1525A_run1_wtpct_upload.XLS
374,U1525,A,18,H,1,W,77.0,78.0,98.97,98.980,98.970,98.980,,0.6467,0,0.0475,0,11,13.9006,374-CHNS-45961871-U1525A_run1_wtpct_upload.XLS
374,U1525,A,18,H,6,W,122.0,123.0,106.46,106.470,106.460,106.470,,0.5765,0,0.0389,0,34,13.4421,374-CHNS-45961871-U1525A_run1_wtpct_upload.XLS
374,U1525,A,19,H,1,W,68.0,69.0,108.38,108.390,108.365,108.375,,0.5662,0,0.0353,0,12,15.7614,374-CHNS-45961871-U1525A_run1_wtpct_upload.XLS
374,U1525,A,19,H,2,W,90.0,91.0,110.1,110.110,110.049,110.058,,0.1131,0,0.0236,0,13,12.7932,374-CHNS-45961871-U1525A_run1_wtpct_upload.XLS
374,U1525,A,20,F,1,W,22.0,23.0,112.02,112.030,112.012,112.022,,0.5526,0,0.0421,0,14,12.7378,374-CHNS-45961871-U1525A_run1_wtpct_upload.XLS
374,U1525,A,21,F,1,W,100.0,101.0,117.5,117.510,117.500,117.510,,0.4241,0,0.0294,0,16,12.8851,374-CHNS-45961871-U1525A_run1_wtpct_upload.XLS
374,U1525,A,21,F,3,W,101.0,102.0,120.51,120.520,120.510,120.520,,0.3465,0,0.0425,0,17,13.2264,374-CHNS-45961871-U1525A_run1_wtpct_upload.XLS
374,U1525,A,22,F,1,W,31.0,32.0,121.51,121.520,121.510,121.520,,0.4367,0,0.0452,0,18,11.1674,374-CHNS-45961871-U1525A_run1_wtpct_upload.XLS
374,U1525,A,22,F,3,W,107.0,108.0,125.27,125.280,125.270,125.280,,0.4763,0,0.0407,0,19,12.8859,374-CHNS-45961871-U1525A_run1_wtpct_upload.XLS
374,U1525,A,23,F,3,W,113.0,114.0,129.48,129.490,129.480,129.490,,0.0863,0,0.0259,0,20,12.261,374-CHNS-45961871-U1525A_run1_wtpct_upload.XLS
374,U1525,A,24,F,1,W,33.0,34.0,130.93,130.940,130.891,130.900,,0.4229,0,0.0325,0,21,12.0973,374-CHNS-45961871-U1525A_run1_wtpct_upload.XLS
374,U1525,A,25,X,3,W,37.0,38.0,134.57,134.580,134.105,134.114,,0.5954,0,0.0464,0,22,13.897,374-CHNS-45961871-U1525A_run1_wtpct_upload.XLS
374,U1525,A,27,X,3,W,77.0,78.0,150.48,150.490,150.480,150.490,,0.6253,0,0.0459,0,23,12.2596,374-CHNS-45961871-U1525A_run1_wtpct_upload.XLS
374,U1525,A,28,X,1,W,20.0,21.0,156.4,156.410,156.400,156.410,,0.5139,0,0.0281,0,24,12.1795,374-CHNS-45961871-U1525A_run1_wtpct_upload.XLS
374,U1525,A,29,X,1,W,42.0,43.0,166.12,166.130,166.120,166.130,,0.6544,0,0.0455,0,26,12.1845,374-CHNS-45961871-U1525A_run1_wtpct_upload.XLS
374,U1525,A,30,X,2,W,67.0,68.0,177.37,177.380,177.361,177.371,,0.5403,0,0.0503,0,27,12.1089,374-CHNS-45961871-U1525A_run1_wtpct_upload.XLS
374,U1525,A,30,X,5,W,34.0,35.0,181.53,181.540,181.504,181.514,,0.6205,0,0.0519,0,29,12.7455,374-CHNS-45961871-U1525A_run1_wtpct_upload.XLS
374,U1525,A,31,X,2,W,23.0,24.0,185.48,185.490,185.462,185.471,,0.6684,0,0.0451,0,28,12.4721,374-CHNS-45961871-U1525A_run1_wtpct_upload.XLS
374,U1525,A,31,X,5,W,42.0,43.0,189.33,189.340,189.221,189.231,,0.5937,0,0.0399,0,30,17.3864,374-CHNS-45961871-U1525A_run1_wtpct_upload.XLS
374,U1525,A,32,X,2,W,65.0,66.0,195.61,195.620,195.610,195.620,,0.4926,0,0.0348,0,31,12.8453,374-CHNS-45961871-U1525A_run1_wtpct_upload.XLS
374,U1525,A,33,X,1,W,96.0,97.0,204.66,204.670,204.660,204.670,,0.5834,0,0.0416,0,32,12.4414,374-CHNS-45961871-U1525A_run1_wtpct_upload.XLS
374,U1525,A,33,X,3,W,47.0,48.0,206.89,206.900,206.890,206.900,,0.5661,0,0.0489,0,33,11.7226,374-CHNS-45961871-U1525A_run1_wtpct_upload.XLS
