Exp,Site,Hole,Core,Type,Sect,Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Element name,Element symbol,Concentration,Wavelength (nm),Excel filename,Text ID
374,U1523,A,1,H,1,0,0.050,0.000,0.050,Calcium,Ca 317.933,9.655688623,,,LIQ9337311
374,U1523,A,1,H,1,0,0.050,0.000,0.050,Potassium,K 766.491,9.923273657,,,LIQ9337311
374,U1523,A,1,H,1,0,0.050,0.000,0.050,Lithium,Li 670.783,27.37357729,,,LIQ9337311
374,U1523,A,1,H,1,0,0.050,0.000,0.050,Magnesium,Mg 279.553,44.79638009,,,LIQ9337311
374,U1523,A,1,H,1,0,0.050,0.000,0.050,Manganese,Mn 257.610,bdl,,,LIQ9337311
374,U1523,A,1,H,1,0,0.050,0.000,0.050,Sodium,Na 589.592,436.6681166,,,LIQ9337311
374,U1523,A,1,H,1,0,0.050,0.000,0.050,Sulfur,S 182.562,27.63568309,,,LIQ9337311
374,U1523,A,1,H,1,0,0.050,0.000,0.050,Silicon,Si 288.158,134.2114632,,,LIQ9337311
374,U1523,A,1,H,1,0,0.050,0.000,0.050,Strontium,Sr 421.552,86.73818763,,,LIQ9337311
374,U1523,A,1,H,5,7.46,7.510,7.451,7.501,Calcium,Ca 317.933,9.8053892220,,,LIQ9336041
374,U1523,A,1,H,5,7.46,7.510,7.451,7.501,Potassium,K 766.491,11.30434783,,,LIQ9336041
374,U1523,A,1,H,5,7.46,7.510,7.451,7.501,Lithium,Li 670.783,23.05143351,,,LIQ9336041
374,U1523,A,1,H,5,7.46,7.510,7.451,7.501,Magnesium,Mg 279.553,42.65734266,,,LIQ9336041
374,U1523,A,1,H,5,7.46,7.510,7.451,7.501,Manganese,Mn 257.610,16.3815071,,,LIQ9336041
374,U1523,A,1,H,5,7.46,7.510,7.451,7.501,Sodium,Na 589.592,443.1056981,,,LIQ9336041
374,U1523,A,1,H,5,7.46,7.510,7.451,7.501,Sulfur,S 182.562,26.73112913,,,LIQ9336041
374,U1523,A,1,H,5,7.46,7.510,7.451,7.501,Silicon,Si 288.158,700.6051976,,,LIQ9336041
374,U1523,A,1,H,5,7.46,7.510,7.451,7.501,Strontium,Sr 421.552,85.59689569,,,LIQ9336041
374,U1523,A,2,H,6,15.03,15.080,15.030,15.080,Calcium,Ca 317.933,9.780439122,,,LIQ9336481
374,U1523,A,2,H,6,15.03,15.080,15.030,15.080,Potassium,K 766.491,11.99488491,,,LIQ9336481
374,U1523,A,2,H,6,15.03,15.080,15.030,15.080,Lithium,Li 670.783,23.05143351,,,LIQ9336481
374,U1523,A,2,H,6,15.03,15.080,15.030,15.080,Magnesium,Mg 279.553,41.21760592,,,LIQ9336481
374,U1523,A,2,H,6,15.03,15.080,15.030,15.080,Manganese,Mn 257.610,14.3793229,,,LIQ9336481
374,U1523,A,2,H,6,15.03,15.080,15.030,15.080,Sodium,Na 589.592,438.7124837,,,LIQ9336481
374,U1523,A,2,H,6,15.03,15.080,15.030,15.080,Sulfur,S 182.562,26.60636307,,,LIQ9336481
374,U1523,A,2,H,6,15.03,15.080,15.030,15.080,Silicon,Si 288.158,647.5614098,,,LIQ9336481
374,U1523,A,2,H,6,15.03,15.080,15.030,15.080,Strontium,Sr 421.552,85.71102488,,,LIQ9336481
374,U1523,A,6,F,3,40.62,40.670,40.589,40.639,Calcium,Ca 317.933,10.42914172,,,LIQ9337951
374,U1523,A,6,F,3,40.62,40.670,40.589,40.639,Potassium,K 766.491,11.0230179,,,LIQ9337951
374,U1523,A,6,F,3,40.62,40.670,40.589,40.639,Lithium,Li 670.783,21.61071892,,,LIQ9337951
374,U1523,A,6,F,3,40.62,40.670,40.589,40.639,Magnesium,Mg 279.553,39.40765117,,,LIQ9337951
374,U1523,A,6,F,3,40.62,40.670,40.589,40.639,Manganese,Mn 257.610,22.93410994,,,LIQ9337951
374,U1523,A,6,F,3,40.62,40.670,40.589,40.639,Sodium,Na 589.592,441.5397999,,,LIQ9337951
374,U1523,A,6,F,3,40.62,40.670,40.589,40.639,Sulfur,S 182.562,22.64504055,,,LIQ9337951
374,U1523,A,6,F,3,40.62,40.670,40.589,40.639,Silicon,Si 288.158,819.1527234,,,LIQ9337951
374,U1523,A,6,F,3,40.62,40.670,40.589,40.639,Strontium,Sr 421.552,92.21638895,,,LIQ9337951
