Exp,Site,Hole,Core,Type,Sect,Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Element name,Element symbol,Concentration,Wavelength (nm),Excel filename,Text ID
374,U1523,B,1,H,1,0,0.100,0.000,0.100,Calcium,Ca 317.933,9.256487026,,,LIQ9339741
374,U1523,B,1,H,1,0,0.100,0.000,0.100,Potassium,K 766.491,11.50895141,,,LIQ9339741
374,U1523,B,1,H,1,0,0.100,0.000,0.100,Lithium,Li 670.783,25.9328627,,,LIQ9339741
374,U1523,B,1,H,1,0,0.100,0.000,0.100,Magnesium,Mg 279.553,43.76799671,,,LIQ9339741
374,U1523,B,1,H,1,0,0.100,0.000,0.100,Manganese,Mn 257.610,1.820167455,,,LIQ9339741
374,U1523,B,1,H,1,0,0.100,0.000,0.100,Sodium,Na 589.592,435.3197042,,,LIQ9339741
374,U1523,B,1,H,1,0,0.100,0.000,0.100,Sulfur,S 182.562,27.448534,,,LIQ9339741
374,U1523,B,1,H,1,0,0.100,0.000,0.100,Silicon,Si 288.158,328.9426842,,,LIQ9339741
374,U1523,B,1,H,1,0,0.100,0.000,0.100,Strontium,Sr 421.552,84.45560374,,,LIQ9339741
374,U1523,B,1,H,1,0.1,0.200,0.100,0.200,Calcium,Ca 317.933,9.431137725,,,LIQ9345211
374,U1523,B,1,H,1,0.1,0.200,0.100,0.200,Potassium,K 766.491,11.20204604,,,LIQ9345211
374,U1523,B,1,H,1,0.1,0.200,0.100,0.200,Lithium,Li 670.783,25.9328627,,,LIQ9345211
374,U1523,B,1,H,1,0.1,0.200,0.100,0.200,Magnesium,Mg 279.553,41.38214726,,,LIQ9345211
374,U1523,B,1,H,1,0.1,0.200,0.100,0.200,Manganese,Mn 257.610,3.094284674,,,LIQ9345211
374,U1523,B,1,H,1,0.1,0.200,0.100,0.200,Sodium,Na 589.592,434.9717268,,,LIQ9345211
374,U1523,B,1,H,1,0.1,0.200,0.100,0.200,Sulfur,S 182.562,27.2613849,,,LIQ9345211
374,U1523,B,1,H,1,0.1,0.200,0.100,0.200,Silicon,Si 288.158,312.2107512,,,LIQ9345211
374,U1523,B,1,H,1,0.1,0.200,0.100,0.200,Strontium,Sr 421.552,84.91212052,,,LIQ9345211
374,U1523,B,1,H,1,0.2,0.300,0.200,0.300,Calcium,Ca 317.933,9.505988024,,,LIQ9345361
374,U1523,B,1,H,1,0.2,0.300,0.200,0.300,Potassium,K 766.491,11.53452685,,,LIQ9345361
374,U1523,B,1,H,1,0.2,0.300,0.200,0.300,Lithium,Li 670.783,27.37357729,,,LIQ9345361
374,U1523,B,1,H,1,0.2,0.300,0.200,0.300,Magnesium,Mg 279.553,47.75812423,,,LIQ9345361
374,U1523,B,1,H,1,0.2,0.300,0.200,0.300,Manganese,Mn 257.610,1.63815071,,,LIQ9345361
374,U1523,B,1,H,1,0.2,0.300,0.200,0.300,Sodium,Na 589.592,448.6298391,,,LIQ9345361
374,U1523,B,1,H,1,0.2,0.300,0.200,0.300,Sulfur,S 182.562,28.66500312,,,LIQ9345361
374,U1523,B,1,H,1,0.2,0.300,0.200,0.300,Silicon,Si 288.158,372.3745105,,,LIQ9345361
374,U1523,B,1,H,1,0.2,0.300,0.200,0.300,Strontium,Sr 421.552,86.16754166,,,LIQ9345361
374,U1523,B,1,H,1,0.5,0.600,0.500,0.600,Calcium,Ca 317.933,9.381237525,,,LIQ9340321
374,U1523,B,1,H,1,0.5,0.600,0.500,0.600,Potassium,K 766.491,11.0741688,,,LIQ9340321
374,U1523,B,1,H,1,0.5,0.600,0.500,0.600,Lithium,Li 670.783,25.9328627,,,LIQ9340321
374,U1523,B,1,H,1,0.5,0.600,0.500,0.600,Magnesium,Mg 279.553,41.79350062,,,LIQ9340321
374,U1523,B,1,H,1,0.5,0.600,0.500,0.600,Manganese,Mn 257.610,1.274117219,,,LIQ9340321
374,U1523,B,1,H,1,0.5,0.600,0.500,0.600,Sodium,Na 589.592,438.277512,,,LIQ9340321
374,U1523,B,1,H,1,0.5,0.600,0.500,0.600,Sulfur,S 182.562,27.88521522,,,LIQ9340321
374,U1523,B,1,H,1,0.5,0.600,0.500,0.600,Silicon,Si 288.158,455.6781773,,,LIQ9340321
374,U1523,B,1,H,1,0.5,0.600,0.500,0.600,Strontium,Sr 421.552,84.34147455,,,LIQ9340321
374,U1523,B,1,H,1,0.6,0.700,0.600,0.700,Calcium,Ca 317.933,9.2315369260,,,LIQ9344071
374,U1523,B,1,H,1,0.6,0.700,0.600,0.700,Potassium,K 766.491,11.40664962,,,LIQ9344071
374,U1523,B,1,H,1,0.6,0.700,0.600,0.700,Lithium,Li 670.783,25.9328627,,,LIQ9344071
374,U1523,B,1,H,1,0.6,0.700,0.600,0.700,Magnesium,Mg 279.553,40.31262855,,,LIQ9344071
374,U1523,B,1,H,1,0.6,0.700,0.600,0.700,Manganese,Mn 257.610,1.820167455,,,LIQ9344071
374,U1523,B,1,H,1,0.6,0.700,0.600,0.700,Sodium,Na 589.592,429.4475859,,,LIQ9344071
374,U1523,B,1,H,1,0.6,0.700,0.600,0.700,Sulfur,S 182.562,27.79164067,,,LIQ9344071
374,U1523,B,1,H,1,0.6,0.700,0.600,0.700,Silicon,Si 288.158,397.2944108,,,LIQ9344071
374,U1523,B,1,H,1,0.6,0.700,0.600,0.700,Strontium,Sr 421.552,82.85779502,,,LIQ9344071
374,U1523,B,1,H,1,0.7,0.800,0.700,0.800,Calcium,Ca 317.933,9.530938124,,,LIQ9344001
374,U1523,B,1,H,1,0.7,0.800,0.700,0.800,Potassium,K 766.491,11.45780051,,,LIQ9344001
374,U1523,B,1,H,1,0.7,0.800,0.700,0.800,Lithium,Li 670.783,25.9328627,,,LIQ9344001
374,U1523,B,1,H,1,0.7,0.800,0.700,0.800,Magnesium,Mg 279.553,47.09995886,,,LIQ9344001
374,U1523,B,1,H,1,0.7,0.800,0.700,0.800,Manganese,Mn 257.610,2.366217692,,,LIQ9344001
374,U1523,B,1,H,1,0.7,0.800,0.700,0.800,Sodium,Na 589.592,437.277077,,,LIQ9344001
374,U1523,B,1,H,1,0.7,0.800,0.700,0.800,Sulfur,S 182.562,27.13661884,,,LIQ9344001
374,U1523,B,1,H,1,0.7,0.800,0.700,0.800,Silicon,Si 288.158,396.9384122,,,LIQ9344001
374,U1523,B,1,H,1,0.7,0.800,0.700,0.800,Strontium,Sr 421.552,84.91212052,,,LIQ9344001
374,U1523,B,1,H,1,1,1.100,1.000,1.100,Calcium,Ca 317.933,9.505988024,,,LIQ9344631
374,U1523,B,1,H,1,1,1.100,1.000,1.100,Potassium,K 766.491,11.40664962,,,LIQ9344631
374,U1523,B,1,H,1,1,1.100,1.000,1.100,Lithium,Li 670.783,24.49214811,,,LIQ9344631
374,U1523,B,1,H,1,1,1.100,1.000,1.100,Magnesium,Mg 279.553,43.72686137,,,LIQ9344631
374,U1523,B,1,H,1,1,1.100,1.000,1.100,Manganese,Mn 257.610,5.824535857,,,LIQ9344631
374,U1523,B,1,H,1,1,1.100,1.000,1.100,Sodium,Na 589.592,443.6711614,,,LIQ9344631
374,U1523,B,1,H,1,1,1.100,1.000,1.100,Sulfur,S 182.562,27.79164067,,,LIQ9344631
374,U1523,B,1,H,1,1,1.100,1.000,1.100,Silicon,Si 288.158,539.3378426,,,LIQ9344631
374,U1523,B,1,H,1,1,1.100,1.000,1.100,Strontium,Sr 421.552,84.45560374,,,LIQ9344631
374,U1523,B,1,H,1,1.1,1.200,1.100,1.200,Calcium,Ca 317.933,9.481037924,,,LIQ9344561
374,U1523,B,1,H,1,1.1,1.200,1.100,1.200,Potassium,K 766.491,11.25319693,,,LIQ9344561
374,U1523,B,1,H,1,1.1,1.200,1.100,1.200,Lithium,Li 670.783,24.49214811,,,LIQ9344561
374,U1523,B,1,H,1,1.1,1.200,1.100,1.200,Magnesium,Mg 279.553,44.59070341,,,LIQ9344561
