Exp,Site,Hole,Core,Type,Sect,Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Element name,Element symbol,Concentration,Wavelength (nm),Excel filename,Text ID
374,U1523,E,3,F,2,18.96,19.010,18.899,18.948,Calcium,Ca 317.933,10.30439122,,,LIQ9349251
374,U1523,E,3,F,2,18.96,19.010,18.899,18.948,Potassium,K 766.491,11.30434783,,,LIQ9349251
374,U1523,E,3,F,2,18.96,19.010,18.899,18.948,Lithium,Li 670.783,21.61071892,,,LIQ9349251
374,U1523,E,3,F,2,18.96,19.010,18.899,18.948,Magnesium,Mg 279.553,43.85026738,,,LIQ9349251
374,U1523,E,3,F,2,18.96,19.010,18.899,18.948,Manganese,Mn 257.610,21.47797597,,,LIQ9349251
374,U1523,E,3,F,2,18.96,19.010,18.899,18.948,Sodium,Na 589.592,450.4567203,,,LIQ9349251
374,U1523,E,3,F,2,18.96,19.010,18.899,18.948,Sulfur,S 182.562,24.95321273,,,LIQ9349251
374,U1523,E,3,F,2,18.96,19.010,18.899,18.948,Silicon,Si 288.158,742.9690281,,,LIQ9349251
374,U1523,E,3,F,2,18.96,19.010,18.899,18.948,Strontium,Sr 421.552,90.61858023,,,LIQ9349251
374,U1523,E,16,F,2,89.35,89.400,89.350,89.400,Calcium,Ca 317.933,11.00299401,,,LIQ9351241
374,U1523,E,16,F,2,89.35,89.400,89.350,89.400,Potassium,K 766.491,9.948849105,,,LIQ9351241
374,U1523,E,16,F,2,89.35,89.400,89.350,89.400,Lithium,Li 670.783,27.37357729,,,LIQ9351241
374,U1523,E,16,F,2,89.35,89.400,89.350,89.400,Magnesium,Mg 279.553,39.81900452,,,LIQ9351241
374,U1523,E,16,F,2,89.35,89.400,89.350,89.400,Manganese,Mn 257.610,37.31343284,,,LIQ9351241
374,U1523,E,16,F,2,89.35,89.400,89.350,89.400,Sodium,Na 589.592,441.3658112,,,LIQ9351241
374,U1523,E,16,F,2,89.35,89.400,89.350,89.400,Sulfur,S 182.562,16.00124766,,,LIQ9351241
374,U1523,E,16,F,2,89.35,89.400,89.350,89.400,Silicon,Si 288.158,937.7002492,,,LIQ9351241
374,U1523,E,16,F,2,89.35,89.400,89.350,89.400,Strontium,Sr 421.552,106.1401507,,,LIQ9351241
374,U1523,E,20,F,2,108.52,108.570,108.520,108.570,Calcium,Ca 317.933,10.75349301,,,LIQ9351731
374,U1523,E,20,F,2,108.52,108.570,108.520,108.570,Potassium,K 766.491,9.590792839,,,LIQ9351731
374,U1523,E,20,F,2,108.52,108.570,108.520,108.570,Lithium,Li 670.783,33.13643567,,,LIQ9351731
374,U1523,E,20,F,2,108.52,108.570,108.520,108.570,Magnesium,Mg 279.553,37.76223776,,,LIQ9351731
374,U1523,E,20,F,2,108.52,108.570,108.520,108.570,Manganese,Mn 257.610,32.03494722,,,LIQ9351731
374,U1523,E,20,F,2,108.52,108.570,108.520,108.570,Sodium,Na 589.592,431.4049587,,,LIQ9351731
374,U1523,E,20,F,2,108.52,108.570,108.520,108.570,Sulfur,S 182.562,13.59950094,,,LIQ9351731
374,U1523,E,20,F,2,108.52,108.570,108.520,108.570,Silicon,Si 288.158,766.1089356,,,LIQ9351731
374,U1523,E,20,F,2,108.52,108.570,108.520,108.570,Strontium,Sr 421.552,108.6509929,,,LIQ9351731
374,U1523,E,25,F,1,127.41,127.510,127.410,127.510,Calcium,Ca 317.933,10.75349301,,,LIQ9352991
374,U1523,E,25,F,1,127.41,127.510,127.410,127.510,Potassium,K 766.491,9.181585678,,,LIQ9352991
374,U1523,E,25,F,1,127.41,127.510,127.410,127.510,Lithium,Li 670.783,41.78072324,,,LIQ9352991
374,U1523,E,25,F,1,127.41,127.510,127.410,127.510,Magnesium,Mg 279.553,35.82887701,,,LIQ9352991
374,U1523,E,25,F,1,127.41,127.510,127.410,127.510,Manganese,Mn 257.610,25.30032763,,,LIQ9352991
374,U1523,E,25,F,1,127.41,127.510,127.410,127.510,Sodium,Na 589.592,444.8020879,,,LIQ9352991
374,U1523,E,25,F,1,127.41,127.510,127.410,127.510,Sulfur,S 182.562,12.28945727,,,LIQ9352991
374,U1523,E,25,F,1,127.41,127.510,127.410,127.510,Silicon,Si 288.158,996.0840157,,,LIQ9352991
374,U1523,E,25,F,1,127.41,127.510,127.410,127.510,Strontium,Sr 421.552,115.3846154,,,LIQ9352991
