Exp,Site,Hole,Core,Type,Sect,Top offset (cm),Bottom offset (cm),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Salinity,Comments
374,U1523,B,1,H,1,0.0,10.0,0,0.100,0.000,0.100,35,"ship split, untreated"
374,U1523,B,1,H,1,50.0,60.0,0.5,0.600,0.500,0.600,35,"ship split, untreated"
374,U1523,B,1,H,1,120.0,130.0,1.2,1.300,1.200,1.300,35,"ship split, untreated"
374,U1523,B,1,H,2,0.0,10.0,1.5,1.600,1.500,1.600,35,"ship split, untreated"
374,U1523,B,1,H,2,10.0,20.0,1.6,1.700,1.600,1.700,35,"ship split, untreated"
374,U1523,B,1,H,2,20.0,30.0,1.7,1.800,1.700,1.800,35,"ship split, untreated"
374,U1523,B,1,H,2,50.0,60.0,2,2.100,2.000,2.100,35,"ship split, untreated"
374,U1523,B,1,H,3,0.0,10.0,3,3.100,3.000,3.100,35,"ship split, untreated"
374,U1523,B,1,H,3,20.0,30.0,3.2,3.300,3.200,3.300,35,"ship split, untreated"
374,U1523,B,1,H,3,50.0,60.0,3.5,3.600,3.500,3.600,35,"ship split, untreated"
374,U1523,B,1,H,3,100.0,110.0,4,4.100,4.000,4.100,35,"ship split, untreated"
374,U1523,B,1,H,4,0.0,10.0,4.5,4.600,4.500,4.600,35,"ship split, untreated"
374,U1523,B,1,H,4,10.0,20.0,4.6,4.700,4.600,4.700,35,"ship split, untreated"
374,U1523,B,1,H,4,60.0,70.0,5.1,5.200,5.100,5.200,35,"ship split, untreated"
374,U1523,B,1,H,4,100.0,110.0,5.5,5.600,5.500,5.600,35,"ship split, untreated"
374,U1523,B,1,H,4,110.0,120.0,5.6,5.700,5.600,5.700,35,"ship split, untreated"
374,U1523,B,1,H,5,10.0,20.0,6.1,6.200,6.100,6.200,35,"ship split, untreated"
374,U1523,B,1,H,5,20.0,30.0,6.2,6.300,6.200,6.300,35,"ship split, untreated"
374,U1523,B,1,H,5,50.0,60.0,6.5,6.600,6.500,6.600,35,"ship split, untreated"
374,U1523,B,1,H,5,70.0,80.0,6.7,6.800,6.700,6.800,35,"ship split, untreated"
374,U1523,B,1,H,5,100.0,110.0,7,7.100,7.000,7.100,35,"ship split, untreated"
374,U1523,B,1,H,5,110.0,120.0,7.1,7.200,7.100,7.200,35,"ship split, untreated"
374,U1523,B,1,H,6,0.0,10.0,7.5,7.600,7.500,7.600,35,"ship split, untreated"
374,U1523,B,1,H,6,10.0,20.0,7.6,7.700,7.600,7.700,35,"ship split, untreated"
374,U1523,B,1,H,6,40.0,50.0,7.9,8.000,7.900,8.000,35,"ship split, untreated"
374,U1523,B,1,H,6,60.0,70.0,8.1,8.200,8.100,8.200,35,"ship split, untreated"
374,U1523,B,7,F,2,141.0,151.0,68.41,68.510,68.350,68.448,35,"ship split, untreated"
374,U1523,B,10,F,2,135.0,140.0,82.34,82.390,82.340,82.390,35,"ship split, untreated"
374,U1523,B,20,F,2,140.0,150.0,130.4,130.500,130.381,130.480,34,"ship split, untreated"
