Exp,Site,Hole,Core,Type,Sect,A/W,Offset (cm),Depth CSF-A (m),Depth CSF-B (m),Magnetic susceptibility (SI x 10^-5),Configuration filename,Timestamp (UTC),Instrument,Instrument group,Text ID,Comments
374,U1523,E,1,H,1,A,2.5,0.025,0.024,9.33,374-MSPOINT-45192531-i_pi_ms.ini,2018-02-03 08:51:02,MS2K-695,SHMSL,SHLF9348721,
374,U1523,E,1,H,1,A,5.0,0.05,0.048,37.00,,2018-02-03 08:51:02,MS2K-695,SHMSL,SHLF9348721,
374,U1523,E,1,H,1,A,7.5,0.075,0.072,44.67,,2018-02-03 08:51:02,MS2K-695,SHMSL,SHLF9348721,
374,U1523,E,1,H,1,A,10.0,0.1,0.096,48.00,,2018-02-03 08:51:02,MS2K-695,SHMSL,SHLF9348721,
374,U1523,E,1,H,1,A,12.5,0.125,0.120,38.67,,2018-02-03 08:51:02,MS2K-695,SHMSL,SHLF9348721,
374,U1523,E,1,H,1,A,15.0,0.15,0.144,21.33,,2018-02-03 08:51:02,MS2K-695,SHMSL,SHLF9348721,
374,U1523,E,1,H,1,A,17.5,0.175,0.169,53.00,,2018-02-03 08:51:02,MS2K-695,SHMSL,SHLF9348721,
374,U1523,E,1,H,1,A,20.0,0.2,0.193,82.00,,2018-02-03 08:51:02,MS2K-695,SHMSL,SHLF9348721,
374,U1523,E,1,H,1,A,22.5,0.225,0.217,64.00,,2018-02-03 08:51:02,MS2K-695,SHMSL,SHLF9348721,
374,U1523,E,1,H,1,A,25.0,0.25,0.241,70.33,,2018-02-03 08:51:02,MS2K-695,SHMSL,SHLF9348721,
374,U1523,E,1,H,1,A,27.5,0.275,0.265,56.00,,2018-02-03 08:51:02,MS2K-695,SHMSL,SHLF9348721,
374,U1523,E,1,H,1,A,30.0,0.3,0.289,36.33,,2018-02-03 08:51:02,MS2K-695,SHMSL,SHLF9348721,
374,U1523,E,1,H,1,A,32.5,0.325,0.313,33.67,,2018-02-03 08:51:02,MS2K-695,SHMSL,SHLF9348721,
