Exp,Site,Hole,Core,Type,Sect,A/W,Offset (cm),Depth CSF-A (m),Depth CSF-B (m),Magnetic susceptibility (SI x 10^-5),Configuration filename,Timestamp (UTC),Instrument,Instrument group,Text ID,Comments
374,U1524,C,4,R,1,A,5.0,278.75,278.750,5.00,374-MSPOINT-45192531-i_pi_ms.ini,2018-02-10 09:27:07,MS2K-695,SHMSL,SHLF9384891,
374,U1524,C,4,R,1,A,7.5,278.775,278.775,4.00,,2018-02-10 09:27:07,MS2K-695,SHMSL,SHLF9384891,
374,U1524,C,4,R,1,A,10.0,278.8,278.800,6.00,,2018-02-10 09:27:07,MS2K-695,SHMSL,SHLF9384891,
374,U1524,C,4,R,1,A,12.5,278.825,278.825,7.33,,2018-02-10 09:27:07,MS2K-695,SHMSL,SHLF9384891,
374,U1524,C,4,R,1,A,15.0,278.85,278.850,8.33,,2018-02-10 09:27:07,MS2K-695,SHMSL,SHLF9384891,
374,U1524,C,4,R,1,A,17.5,278.875,278.875,8.00,,2018-02-10 09:27:07,MS2K-695,SHMSL,SHLF9384891,
374,U1524,C,4,R,1,A,20.0,278.9,278.900,7.00,,2018-02-10 09:27:07,MS2K-695,SHMSL,SHLF9384891,
374,U1524,C,4,R,1,A,22.5,278.925,278.925,6.33,,2018-02-10 09:27:07,MS2K-695,SHMSL,SHLF9384891,
374,U1524,C,4,R,1,A,25.0,278.95,278.950,7.67,,2018-02-10 09:27:07,MS2K-695,SHMSL,SHLF9384891,
374,U1524,C,4,R,1,A,27.5,278.975,278.975,8.00,,2018-02-10 09:27:07,MS2K-695,SHMSL,SHLF9384891,
374,U1524,C,4,R,1,A,30.0,279,279.000,8.00,,2018-02-10 09:27:07,MS2K-695,SHMSL,SHLF9384891,
374,U1524,C,4,R,1,A,32.5,279.025,279.025,8.67,,2018-02-10 09:27:07,MS2K-695,SHMSL,SHLF9384891,
374,U1524,C,4,R,1,A,35.0,279.05,279.050,7.00,,2018-02-10 09:27:07,MS2K-695,SHMSL,SHLF9384891,
374,U1524,C,4,R,1,A,37.5,279.075,279.075,6.33,,2018-02-10 09:27:07,MS2K-695,SHMSL,SHLF9384891,
374,U1524,C,4,R,1,A,40.0,279.1,279.100,7.00,,2018-02-10 09:27:07,MS2K-695,SHMSL,SHLF9384891,
374,U1524,C,4,R,1,A,42.5,279.125,279.125,6.33,,2018-02-10 09:27:07,MS2K-695,SHMSL,SHLF9384891,
374,U1524,C,4,R,1,A,45.0,279.15,279.150,6.33,,2018-02-10 09:27:07,MS2K-695,SHMSL,SHLF9384891,
374,U1524,C,4,R,1,A,47.5,279.175,279.175,6.67,,2018-02-10 09:27:07,MS2K-695,SHMSL,SHLF9384891,
374,U1524,C,4,R,1,A,50.0,279.2,279.200,7.00,,2018-02-10 09:27:07,MS2K-695,SHMSL,SHLF9384891,
374,U1524,C,4,R,1,A,52.5,279.225,279.225,6.67,,2018-02-10 09:27:07,MS2K-695,SHMSL,SHLF9384891,
374,U1524,C,4,R,1,A,55.0,279.25,279.250,6.33,,2018-02-10 09:27:07,MS2K-695,SHMSL,SHLF9384891,
374,U1524,C,4,R,1,A,57.5,279.275,279.275,6.00,,2018-02-10 09:27:07,MS2K-695,SHMSL,SHLF9384891,
374,U1524,C,4,R,1,A,60.0,279.3,279.300,6.33,,2018-02-10 09:27:07,MS2K-695,SHMSL,SHLF9384891,
374,U1524,C,4,R,1,A,62.5,279.325,279.325,6.33,,2018-02-10 09:27:07,MS2K-695,SHMSL,SHLF9384891,
374,U1524,C,4,R,1,A,65.0,279.35,279.350,6.67,,2018-02-10 09:27:07,MS2K-695,SHMSL,SHLF9384891,
374,U1524,C,4,R,1,A,67.5,279.375,279.375,6.67,,2018-02-10 09:27:07,MS2K-695,SHMSL,SHLF9384891,
374,U1524,C,4,R,1,A,70.0,279.4,279.400,6.33,,2018-02-10 09:27:07,MS2K-695,SHMSL,SHLF9384891,
374,U1524,C,4,R,1,A,72.5,279.425,279.425,7.00,,2018-02-10 09:27:07,MS2K-695,SHMSL,SHLF9384891,
374,U1524,C,4,R,1,A,75.0,279.45,279.450,7.00,,2018-02-10 09:27:07,MS2K-695,SHMSL,SHLF9384891,
374,U1524,C,4,R,1,A,77.5,279.475,279.475,6.33,,2018-02-10 09:27:07,MS2K-695,SHMSL,SHLF9384891,
