Exp,Site,Hole,Core,Type,Sect,A/W,Offset (cm),Depth CSF-A (m),Depth CSF-B (m),Magnetic susceptibility (SI x 10^-5),Configuration filename,Timestamp (UTC),Instrument,Instrument group,Text ID,Comments
374,U1525,A,1,H,1,A,2.5,0.025,0.025,20.33,374-MSPOINT-45192531-i_pi_ms.ini,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,5.0,0.05,0.050,66.00,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,7.5,0.075,0.075,96.67,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,10.0,0.1,0.100,84.67,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,12.5,0.125,0.125,98.67,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,15.0,0.15,0.150,84.33,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,17.5,0.175,0.175,39.00,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,20.0,0.2,0.200,46.00,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,22.5,0.225,0.225,53.00,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,25.0,0.25,0.250,60.00,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,27.5,0.275,0.274,61.00,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,30.0,0.3,0.299,56.00,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,32.5,0.325,0.324,56.00,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,35.0,0.35,0.349,56.00,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,37.5,0.375,0.374,51.00,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,40.0,0.4,0.399,49.67,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,42.5,0.425,0.424,55.67,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,45.0,0.45,0.449,70.33,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,47.5,0.475,0.474,74.00,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,50.0,0.5,0.499,45.33,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,52.5,0.525,0.524,50.33,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,55.0,0.55,0.549,47.67,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,57.5,0.575,0.574,18.00,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,60.0,0.6,0.599,33.00,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,62.5,0.625,0.624,67.00,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,65.0,0.65,0.649,28.33,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,67.5,0.675,0.674,30.00,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,70.0,0.7,0.699,28.00,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,72.5,0.725,0.724,24.67,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,75.0,0.75,0.749,24.33,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,77.5,0.775,0.773,38.00,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,80.0,0.8,0.798,35.00,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,82.5,0.825,0.823,33.67,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,85.0,0.85,0.848,37.00,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,87.5,0.875,0.873,38.33,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,90.0,0.9,0.898,41.00,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,92.5,0.925,0.923,20.67,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,95.0,0.95,0.948,23.00,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,97.5,0.975,0.973,21.33,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,100.0,1,0.998,17.67,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,102.5,1.025,1.023,27.33,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,105.0,1.05,1.048,38.00,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,107.5,1.075,1.073,45.00,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,110.0,1.1,1.098,49.00,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,112.5,1.125,1.123,48.00,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,115.0,1.15,1.148,51.67,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,117.5,1.175,1.173,50.33,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,120.0,1.2,1.198,54.00,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,122.5,1.225,1.223,50.33,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,125.0,1.25,1.248,54.67,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,127.5,1.275,1.272,62.67,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,130.0,1.3,1.297,48.67,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,132.5,1.325,1.322,50.33,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,135.0,1.35,1.347,36.67,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,137.5,1.375,1.372,58.33,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,140.0,1.4,1.397,56.67,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,142.5,1.425,1.422,53.33,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,145.0,1.45,1.447,53.67,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,1,A,147.5,1.475,1.472,69.33,,2018-02-07 10:26:09,MS2K-695,SHMSL,SHLF9373591,
374,U1525,A,1,H,2,A,2.5,1.525,1.522,13.67,374-MSPOINT-45192531-i_pi_ms.ini,2018-02-07 10:36:00,MS2K-695,SHMSL,SHLF9373621,
374,U1525,A,1,H,2,A,5.0,1.55,1.547,38.00,,2018-02-07 10:36:00,MS2K-695,SHMSL,SHLF9373621,
374,U1525,A,1,H,2,A,7.5,1.575,1.572,44.00,,2018-02-07 10:36:00,MS2K-695,SHMSL,SHLF9373621,
374,U1525,A,1,H,2,A,10.0,1.6,1.597,47.33,,2018-02-07 10:36:00,MS2K-695,SHMSL,SHLF9373621,
374,U1525,A,1,H,2,A,12.5,1.625,1.622,53.33,,2018-02-07 10:36:00,MS2K-695,SHMSL,SHLF9373621,
374,U1525,A,1,H,2,A,15.0,1.65,1.647,49.00,,2018-02-07 10:36:00,MS2K-695,SHMSL,SHLF9373621,
374,U1525,A,1,H,2,A,17.5,1.675,1.672,50.33,,2018-02-07 10:36:00,MS2K-695,SHMSL,SHLF9373621,
374,U1525,A,1,H,2,A,20.0,1.7,1.696,57.00,,2018-02-07 10:36:00,MS2K-695,SHMSL,SHLF9373621,
374,U1525,A,1,H,2,A,22.5,1.725,1.721,74.00,,2018-02-07 10:36:00,MS2K-695,SHMSL,SHLF9373621,
374,U1525,A,1,H,2,A,25.0,1.75,1.746,56.00,,2018-02-07 10:36:00,MS2K-695,SHMSL,SHLF9373621,
374,U1525,A,1,H,2,A,27.5,1.775,1.771,51.00,,2018-02-07 10:36:00,MS2K-695,SHMSL,SHLF9373621,
374,U1525,A,1,H,2,A,30.0,1.8,1.796,47.67,,2018-02-07 10:36:00,MS2K-695,SHMSL,SHLF9373621,
374,U1525,A,1,H,2,A,32.5,1.825,1.821,50.33,,2018-02-07 10:36:00,MS2K-695,SHMSL,SHLF9373621,
374,U1525,A,1,H,2,A,35.0,1.85,1.846,49.00,,2018-02-07 10:36:00,MS2K-695,SHMSL,SHLF9373621,
374,U1525,A,1,H,2,A,37.5,1.875,1.871,48.33,,2018-02-07 10:36:00,MS2K-695,SHMSL,SHLF9373621,
374,U1525,A,1,H,2,A,40.0,1.9,1.896,49.00,,2018-02-07 10:36:00,MS2K-695,SHMSL,SHLF9373621,
374,U1525,A,1,H,2,A,42.5,1.925,1.921,48.67,,2018-02-07 10:36:00,MS2K-695,SHMSL,SHLF9373621,
374,U1525,A,1,H,2,A,45.0,1.95,1.946,48.67,,2018-02-07 10:36:00,MS2K-695,SHMSL,SHLF9373621,
