Label_id,Text_id,Analysis,Date,Test_number,Replicate_count,aux_file_asman_id,aux_file_filename,calibration_valid,config_asman_id,config_filename,magnetic_susceptibility,ms_correction,ms_range,ms_units,observed_length,offset,run_asman_id,run_filename,timestamp
STND-MS2K-121,OTHR52911601,MSPOINT,2018-02-11 12:12:46,110449591,0,45975101,raw_ms2k-121_1802110612413_mspoint..csv,T,45192531,i_pi_ms.ini,33.67,1.0000,1.0,SI,0,0.00,45975121,OTHR52911601_20180211061241_CNTL.MSPOINT,2018-02-11 06:12:38
STND-MS2K-121,OTHR52911601,MSPOINT,2018-02-11 12:12:46,110449591,1,,,,,,19.33,,,,,2.50,,,2018-02-11 06:12:29
STND-MS2K-121,OTHR52911601,MSPOINT,2018-02-11 12:12:46,110449591,2,,,,,,23.00,,,,,5.00,,,2018-02-11 06:12:22
STND-MS2K-121,OTHR52911601,MSPOINT,2018-02-11 12:12:46,110449591,3,,,,,,37.33,,,,,7.50,,,2018-02-11 06:12:14
STND-MS2K-121,OTHR52911601,MSPOINT,2018-02-11 12:10:52,110449541,0,45974931,raw_ms2k-121_1802110610413_mspoint..csv,T,45192531,i_pi_ms.ini,36.00,1.0000,1.0,SI,0,0.00,45974951,OTHR52911601_20180211061041_CNTL.MSPOINT,2018-02-11 06:10:38
STND-MS2K-121,OTHR52911601,MSPOINT,2018-02-11 12:10:52,110449541,1,,,,,,4.67,,,,,2.50,,,2018-02-11 06:10:28
STND-MS2K-121,OTHR52911601,MSPOINT,2018-02-11 12:10:52,110449541,2,,,,,,30.33,,,,,5.00,,,2018-02-11 06:10:21
STND-MS2K-121,OTHR52911601,MSPOINT,2018-02-11 12:10:52,110449541,3,,,,,,50.33,,,,,7.50,,,2018-02-11 06:10:13
STND-MS2K-121,OTHR52911601,MSPOINT,2018-02-11 12:10:52,110449541,4,,,,,,66.00,,,,,10.00,,,2018-02-11 06:10:06
STND-MS2K-121,OTHR52911601,MSPOINT,2018-02-11 12:10:52,110449541,5,,,,,,56.67,,,,,12.50,,,2018-02-11 06:09:59
STND-MS2K-121,OTHR52911601,MSPOINT,2018-02-11 12:10:52,110449541,6,,,,,,33.00,,,,,15.00,,,2018-02-11 06:09:51
STND-MS2K-121,OTHR52911601,MSPOINT,2018-02-11 12:10:52,110449541,7,,,,,,49.67,,,,,17.50,,,2018-02-11 06:09:44
STND-MS2K-121,OTHR52911601,MSPOINT,2018-02-11 12:10:52,110449541,8,,,,,,23.33,,,,,20.00,,,2018-02-11 06:09:37
STND-MS2K-121,OTHR52911601,MSPOINT,2018-02-11 12:10:52,110449541,9,,,,,,39.00,,,,,22.50,,,2018-02-11 06:09:30
STND-MS2K-121,OTHR52911601,MSPOINT,2018-02-11 12:10:52,110449541,10,,,,,,89.33,,,,,25.00,,,2018-02-11 06:09:22
STND-MS2K-121,OTHR52911601,MSPOINT,2018-02-11 12:10:52,110449541,11,,,,,,62.00,,,,,27.50,,,2018-02-11 06:09:15
STND-MS2K-121,OTHR52911601,MSPOINT,2018-02-11 12:10:52,110449541,12,,,,,,62.33,,,,,30.00,,,2018-02-11 06:09:08
