Exp,Site,Hole,Core,Type,Sect,Offset (cm),Depth CSF-A (m),Depth CSF-B (m),NGR total counts (cps),Absolute error (cps),NGR zip file,Timestamp (UTC),Text ID,Comments
374,U1521,A,1,R,1,0.0,0,0.000,20.212,1.268,374-NGR-45669851-ngr_sample_374-U1521A-1R-1-W_SHLF9281281_20181283331.zip,2018-01-28 09:03:31,SECT9281271,
374,U1521,A,1,R,1,10.0,0.1,0.100,23.087,0.529,,2018-01-28 09:03:31,SECT9281271,
374,U1521,A,1,R,1,20.0,0.2,0.200,28.152,0.347,,2018-01-28 09:03:31,SECT9281271,
374,U1521,A,1,R,1,30.0,0.3,0.300,33.892,0.374,,2018-01-28 09:03:31,SECT9281271,
374,U1521,A,1,R,1,40.0,0.4,0.400,35.633,0.382,,2018-01-28 09:03:31,SECT9281271,
374,U1521,A,1,R,1,50.0,0.5,0.500,35.403,0.381,,2018-01-28 09:03:31,SECT9281271,
374,U1521,A,1,R,1,60.0,0.6,0.600,36.956,0.388,,2018-01-28 09:03:31,SECT9281271,
374,U1521,A,1,R,1,70.0,0.7,0.700,37.836,0.392,,2018-01-28 09:03:31,SECT9281271,
374,U1521,A,1,R,1,80.0,0.8,0.800,35.033,0.379,,2018-01-28 09:03:31,SECT9281271,
374,U1521,A,1,R,1,90.0,0.9,0.900,32.950,0.744,,2018-01-28 09:03:31,SECT9281271,
374,U1521,A,1,R,1,100.0,1,1.000,30.079,1.722,,2018-01-28 09:03:31,SECT9281271,
374,U1521,A,1,R,2,0.0,1,1.000,31.919,1.920,374-NGR-45669901-ngr_sample_374-U1521A-1R-2-W_SHLF9281311_20181283333.zip,2018-01-28 09:03:33,SECT9281301,
374,U1521,A,1,R,2,10.0,1.1,1.100,31.926,0.676,,2018-01-28 09:03:33,SECT9281301,
374,U1521,A,1,R,2,20.0,1.2,1.200,31.805,0.364,,2018-01-28 09:03:33,SECT9281301,
374,U1521,A,1,R,2,30.0,1.3,1.300,31.395,0.363,,2018-01-28 09:03:33,SECT9281301,
374,U1521,A,1,R,2,40.0,1.4,1.400,32.499,0.368,,2018-01-28 09:03:33,SECT9281301,
374,U1521,A,1,R,2,50.0,1.5,1.500,32.849,0.370,,2018-01-28 09:03:33,SECT9281301,
374,U1521,A,1,R,2,60.0,1.6,1.600,33.906,0.375,,2018-01-28 09:03:33,SECT9281301,
374,U1521,A,1,R,2,70.0,1.7,1.700,34.146,0.376,,2018-01-28 09:03:33,SECT9281301,
374,U1521,A,1,R,2,80.0,1.8,1.800,32.436,0.367,,2018-01-28 09:03:33,SECT9281301,
374,U1521,A,1,R,2,90.0,1.9,1.900,30.596,0.359,,2018-01-28 09:03:33,SECT9281301,
374,U1521,A,1,R,2,100.0,2,2.000,31.023,0.360,,2018-01-28 09:03:33,SECT9281301,
374,U1521,A,1,R,2,110.0,2.1,2.100,37.789,0.390,,2018-01-28 09:03:33,SECT9281301,
374,U1521,A,1,R,2,120.0,2.2,2.200,40.618,0.395,,2018-01-28 09:03:33,SECT9281301,
374,U1521,A,1,R,2,130.0,2.3,2.300,34.831,0.370,,2018-01-28 09:03:33,SECT9281301,
374,U1521,A,1,R,2,140.0,2.4,2.400,30.191,0.647,,2018-01-28 09:03:33,SECT9281301,
374,U1521,A,1,R,2,150.0,2.5,2.500,25.761,1.575,,2018-01-28 09:03:33,SECT9281301,
374,U1521,A,1,R,3,0.0,2.5,2.500,27.864,1.693,374-NGR-45669941-ngr_sample_374-U1521A-1R-3-W_SHLF9281341_20181283334.zip,2018-01-28 09:03:34,SECT9281331,
374,U1521,A,1,R,3,10.0,2.6,2.600,30.797,0.657,,2018-01-28 09:03:34,SECT9281331,
374,U1521,A,1,R,3,20.0,2.7,2.700,34.479,0.376,,2018-01-28 09:03:34,SECT9281331,
