Exp,Site,Hole,Core,Type,Sect,Offset (cm),Depth CSF-A (m),Depth CSF-B (m),NGR total counts (cps),Absolute error (cps),NGR zip file,Timestamp (UTC),Text ID,Comments
374,U1523,B,3,F,1,0.0,46.7,46.700,41.726,2.471,374-NGR-45635541-ngr_sample_374-U1523B-3F-1-A_SHLF9340431_201813065519.zip,2018-01-30 12:55:19,SECT9340411,SHATTERED LINER
374,U1523,B,3,F,1,10.0,46.8,46.800,43.526,0.870,,2018-01-30 12:55:19,SECT9340411,SHATTERED LINER
374,U1523,B,3,F,1,20.0,46.9,46.900,48.894,0.432,,2018-01-30 12:55:19,SECT9340411,SHATTERED LINER
374,U1523,B,3,F,1,30.0,47,47.000,55.341,0.456,,2018-01-30 12:55:19,SECT9340411,SHATTERED LINER
374,U1523,B,3,F,1,40.0,47.1,47.100,53.372,0.449,,2018-01-30 12:55:19,SECT9340411,SHATTERED LINER
374,U1523,B,3,F,1,50.0,47.2,47.200,53.359,0.449,,2018-01-30 12:55:19,SECT9340411,SHATTERED LINER
374,U1523,B,3,F,1,60.0,47.3,47.300,53.256,0.449,,2018-01-30 12:55:19,SECT9340411,SHATTERED LINER
374,U1523,B,3,F,1,70.0,47.4,47.400,52.329,0.446,,2018-01-30 12:55:19,SECT9340411,SHATTERED LINER
374,U1523,B,3,F,1,80.0,47.5,47.500,51.195,0.441,,2018-01-30 12:55:19,SECT9340411,SHATTERED LINER
374,U1523,B,3,F,1,90.0,47.6,47.600,52.832,0.447,,2018-01-30 12:55:19,SECT9340411,SHATTERED LINER
374,U1523,B,3,F,1,100.0,47.7,47.700,46.771,0.423,,2018-01-30 12:55:19,SECT9340411,SHATTERED LINER
374,U1523,B,3,F,1,110.0,47.8,47.800,42.421,0.406,,2018-01-30 12:55:19,SECT9340411,SHATTERED LINER
374,U1523,B,3,F,1,120.0,47.9,47.900,42.062,0.397,,2018-01-30 12:55:19,SECT9340411,SHATTERED LINER
374,U1523,B,3,F,1,130.0,48,48.000,43.256,0.586,,2018-01-30 12:55:19,SECT9340411,SHATTERED LINER
374,U1523,B,3,F,1,140.0,48.1,48.100,38.597,1.232,,2018-01-30 12:55:19,SECT9340411,SHATTERED LINER
374,U1523,B,3,F,2,0.0,48.12,48.120,39.466,2.343,374-NGR-45635621-ngr_sample_374-U1523B-3F-2-A_SHLF9340461_20181307649.zip,2018-01-30 13:06:49,SECT9340441,SHATTERED LINER
374,U1523,B,3,F,2,10.0,48.22,48.220,38.168,0.779,,2018-01-30 13:06:49,SECT9340441,SHATTERED LINER
374,U1523,B,3,F,2,20.0,48.32,48.320,40.664,0.399,,2018-01-30 13:06:49,SECT9340441,SHATTERED LINER
374,U1523,B,3,F,2,30.0,48.42,48.420,45.794,0.420,,2018-01-30 13:06:49,SECT9340441,SHATTERED LINER
374,U1523,B,3,F,2,40.0,48.52,48.520,48.895,0.433,,2018-01-30 13:06:49,SECT9340441,SHATTERED LINER
374,U1523,B,3,F,2,50.0,48.62,48.620,50.102,0.437,,2018-01-30 13:06:49,SECT9340441,SHATTERED LINER
374,U1523,B,3,F,2,60.0,48.72,48.720,51.909,0.444,,2018-01-30 13:06:49,SECT9340441,SHATTERED LINER
