Exp,Site,Hole,Core,Type,Sect,Offset (cm),Depth CSF-A (m),Depth CSF-B (m),NGR total counts (cps),Absolute error (cps),NGR zip file,Timestamp (UTC),Text ID,Comments
374,U1523,E,1,H,1,0.0,0,0.000,41.029,2.432,374-NGR-45685991-ngr_sample_374-U1523E-1H-1-W_SHLF9348711_201823098.zip,2018-02-03 06:09:08,SECT9348701,
374,U1523,E,1,H,1,10.0,0.1,0.096,41.998,0.844,,2018-02-03 06:09:08,SECT9348701,
374,U1523,E,1,H,1,20.0,0.2,0.193,46.404,0.422,,2018-02-03 06:09:08,SECT9348701,
374,U1523,E,1,H,1,30.0,0.3,0.289,46.764,0.424,,2018-02-03 06:09:08,SECT9348701,
374,U1523,E,1,H,1,40.0,0.4,0.385,46.792,0.424,,2018-02-03 06:09:08,SECT9348701,
374,U1523,E,1,H,1,50.0,0.5,0.482,47.905,0.429,,2018-02-03 06:09:08,SECT9348701,
374,U1523,E,1,H,1,60.0,0.6,0.578,49.116,0.434,,2018-02-03 06:09:08,SECT9348701,
374,U1523,E,1,H,1,70.0,0.7,0.674,47.512,0.427,,2018-02-03 06:09:08,SECT9348701,
374,U1523,E,1,H,1,80.0,0.8,0.771,34.699,0.374,,2018-02-03 06:09:08,SECT9348701,
374,U1523,E,1,H,1,90.0,0.9,0.867,30.635,0.355,,2018-02-03 06:09:08,SECT9348701,
374,U1523,E,1,H,1,100.0,1,0.963,32.477,0.362,,2018-02-03 06:09:08,SECT9348701,
374,U1523,E,1,H,1,110.0,1.1,1.060,36.611,0.381,,2018-02-03 06:09:08,SECT9348701,
374,U1523,E,1,H,1,120.0,1.2,1.156,38.762,0.383,,2018-02-03 06:09:08,SECT9348701,
374,U1523,E,1,H,1,130.0,1.3,1.252,37.426,0.377,,2018-02-03 06:09:08,SECT9348701,
374,U1523,E,1,H,1,140.0,1.4,1.349,35.141,0.782,,2018-02-03 06:09:08,SECT9348701,
374,U1523,E,1,H,1,150.0,1.5,1.445,34.860,1.974,,2018-02-03 06:09:08,SECT9348701,
374,U1523,E,1,H,2,0.0,1.5,1.445,37.788,2.248,374-NGR-45686181-ngr_sample_374-U1523E-1H-2-A_SHLF9348751_20182302046.zip,2018-02-03 06:20:46,SECT9348731,
374,U1523,E,1,H,2,10.0,1.6,1.541,37.685,0.771,,2018-02-03 06:20:46,SECT9348731,
374,U1523,E,1,H,2,20.0,1.7,1.638,40.024,0.396,,2018-02-03 06:20:46,SECT9348731,
374,U1523,E,1,H,2,30.0,1.8,1.734,42.317,0.406,,2018-02-03 06:20:46,SECT9348731,
374,U1523,E,1,H,2,40.0,1.9,1.831,45.059,0.417,,2018-02-03 06:20:46,SECT9348731,
374,U1523,E,1,H,2,50.0,2,1.927,45.815,0.421,,2018-02-03 06:20:46,SECT9348731,
374,U1523,E,1,H,2,60.0,2.1,2.023,46.202,0.422,,2018-02-03 06:20:46,SECT9348731,
374,U1523,E,1,H,2,70.0,2.2,2.120,44.079,0.414,,2018-02-03 06:20:46,SECT9348731,
374,U1523,E,1,H,2,80.0,2.3,2.216,41.589,0.403,,2018-02-03 06:20:46,SECT9348731,
374,U1523,E,1,H,2,90.0,2.4,2.313,41.965,0.405,,2018-02-03 06:20:46,SECT9348731,
374,U1523,E,1,H,2,100.0,2.5,2.409,42.771,0.407,,2018-02-03 06:20:46,SECT9348731,
374,U1523,E,1,H,2,110.0,2.6,2.505,44.857,0.416,,2018-02-03 06:20:46,SECT9348731,
374,U1523,E,1,H,2,120.0,2.7,2.602,44.436,0.407,,2018-02-03 06:20:46,SECT9348731,
374,U1523,E,1,H,2,130.0,2.8,2.698,41.966,0.397,,2018-02-03 06:20:46,SECT9348731,
374,U1523,E,1,H,2,140.0,2.9,2.795,41.690,0.839,,2018-02-03 06:20:46,SECT9348731,
374,U1523,E,1,H,2,150.0,3,2.891,41.740,2.472,,2018-02-03 06:20:46,SECT9348731,
374,U1523,E,1,H,3,0.0,3,2.891,40.324,2.392,374-NGR-45686531-ngr_sample_374-U1523E-1H-3-A_SHLF9348781_20182303210.zip,2018-02-03 06:32:10,SECT9348761,
