Exp,Site,Hole,Core,Type,Sect,Offset (cm),Depth CSF-A (m),Depth CSF-B (m),NGR total counts (cps),Absolute error (cps),NGR zip file,Timestamp (UTC),Text ID,Comments
374,U1524,C,4,R,1,0.0,278.7,278.700,24.104,1.479,374-NGR-45963311-ngr_sample_374-U1524C-4R-1-W_SHLF9384881_201821002519.zip,2018-02-10 06:25:19,SECT9384871,
374,U1524,C,4,R,1,10.0,278.8,278.800,23.519,0.533,,2018-02-10 06:25:19,SECT9384871,
374,U1524,C,4,R,1,20.0,278.9,278.900,25.167,0.328,,2018-02-10 06:25:19,SECT9384871,
374,U1524,C,4,R,1,30.0,279,279.000,24.901,0.327,,2018-02-10 06:25:19,SECT9384871,
374,U1524,C,4,R,1,40.0,279.1,279.100,24.069,0.323,,2018-02-10 06:25:19,SECT9384871,
374,U1524,C,4,R,1,50.0,279.2,279.200,25.509,0.330,,2018-02-10 06:25:19,SECT9384871,
374,U1524,C,4,R,1,60.0,279.3,279.300,25.619,0.331,,2018-02-10 06:25:19,SECT9384871,
374,U1524,C,4,R,1,70.0,279.4,279.400,26.009,0.333,,2018-02-10 06:25:19,SECT9384871,
374,U1524,C,4,R,1,80.0,279.5,279.500,23.792,0.321,,2018-02-10 06:25:19,SECT9384871,
374,U1524,C,4,R,1,90.0,279.6,279.600,22.303,0.390,,2018-02-10 06:25:19,SECT9384871,
374,U1524,C,4,R,1,100.0,279.7,279.700,23.334,0.458,,2018-02-10 06:25:19,SECT9384871,
374,U1524,C,7,R,1,0.0,307.5,307.500,27.302,1.657,374-NGR-45964321-ngr_sample_374-U1524C-7R-1-W_SHLF9385101_20182103448.zip,2018-02-10 09:44:08,SECT9385091,
374,U1524,C,7,R,1,10.0,307.6,307.600,28.174,0.611,,2018-02-10 09:44:08,SECT9385091,
374,U1524,C,7,R,1,20.0,307.7,307.700,28.757,0.346,,2018-02-10 09:44:08,SECT9385091,
374,U1524,C,7,R,1,30.0,307.8,307.800,28.207,0.343,,2018-02-10 09:44:08,SECT9385091,
374,U1524,C,7,R,1,40.0,307.9,307.900,33.972,0.371,,2018-02-10 09:44:08,SECT9385091,
374,U1524,C,7,R,1,50.0,308,308.000,40.445,0.399,,2018-02-10 09:44:08,SECT9385091,
374,U1524,C,7,R,1,60.0,308.1,308.100,34.302,0.372,,2018-02-10 09:44:08,SECT9385091,
374,U1524,C,7,R,1,70.0,308.2,308.200,32.736,0.365,,2018-02-10 09:44:08,SECT9385091,
374,U1524,C,7,R,1,80.0,308.3,308.300,30.252,0.353,,2018-02-10 09:44:08,SECT9385091,
374,U1524,C,7,R,1,90.0,308.4,308.400,32.399,0.363,,2018-02-10 09:44:08,SECT9385091,
374,U1524,C,7,R,1,100.0,308.5,308.500,31.774,0.359,,2018-02-10 09:44:08,SECT9385091,
374,U1524,C,7,R,1,110.0,308.6,308.600,30.384,0.353,,2018-02-10 09:44:08,SECT9385091,
374,U1524,C,7,R,1,120.0,308.7,308.700,29.028,0.451,,2018-02-10 09:44:08,SECT9385091,
374,U1524,C,7,R,1,130.0,308.8,308.800,29.427,0.515,,2018-02-10 09:44:08,SECT9385091,
374,U1524,C,9,R,1,0.0,326.7,326.700,42.656,2.524,374-NGR-45965351-ngr_sample_374-U1524C-9R-1-A_SHLF9385411_201821064151.zip,2018-02-10 12:41:51,SECT9385391,
374,U1524,C,9,R,1,10.0,326.8,326.800,44.381,0.885,,2018-02-10 12:41:51,SECT9385391,
374,U1524,C,9,R,1,20.0,326.9,326.900,45.614,0.419,,2018-02-10 12:41:51,SECT9385391,
374,U1524,C,9,R,1,30.0,327,327.000,47.904,0.428,,2018-02-10 12:41:51,SECT9385391,
374,U1524,C,9,R,1,40.0,327.1,327.100,45.935,0.421,,2018-02-10 12:41:51,SECT9385391,
374,U1524,C,9,R,1,50.0,327.2,327.200,48.082,0.429,,2018-02-10 12:41:51,SECT9385391,
374,U1524,C,9,R,1,60.0,327.3,327.300,51.166,0.441,,2018-02-10 12:41:51,SECT9385391,
374,U1524,C,9,R,1,70.0,327.4,327.400,51.266,0.442,,2018-02-10 12:41:51,SECT9385391,
374,U1524,C,9,R,1,80.0,327.5,327.500,48.872,0.432,,2018-02-10 12:41:51,SECT9385391,
374,U1524,C,9,R,1,90.0,327.6,327.600,47.765,0.428,,2018-02-10 12:41:51,SECT9385391,
374,U1524,C,9,R,1,100.0,327.7,327.700,45.351,0.417,,2018-02-10 12:41:51,SECT9385391,
374,U1524,C,9,R,1,110.0,327.8,327.800,38.804,0.390,,2018-02-10 12:41:51,SECT9385391,
374,U1524,C,9,R,1,120.0,327.9,327.900,39.932,0.388,,2018-02-10 12:41:51,SECT9385391,
374,U1524,C,9,R,1,130.0,328,328.000,40.857,0.556,,2018-02-10 12:41:51,SECT9385391,
374,U1524,C,9,R,1,140.0,328.1,328.100,39.370,0.671,,2018-02-10 12:41:51,SECT9385391,
374,U1524,C,9,R,2,0.0,328.19,328.190,36.770,2.191,374-NGR-45965381-ngr_sample_374-U1524C-9R-2-W_SHLF9385431_201821065558.zip,2018-02-10 12:55:58,SECT9385421,
374,U1524,C,9,R,2,10.0,328.29,328.290,41.257,0.832,,2018-02-10 12:55:58,SECT9385421,
374,U1524,C,9,R,2,20.0,328.39,328.390,50.281,0.437,,2018-02-10 12:55:58,SECT9385421,
374,U1524,C,9,R,2,30.0,328.49,328.490,45.061,0.417,,2018-02-10 12:55:58,SECT9385421,
374,U1524,C,9,R,2,40.0,328.59,328.590,42.605,0.408,,2018-02-10 12:55:58,SECT9385421,
374,U1524,C,9,R,2,50.0,328.69,328.690,43.255,0.410,,2018-02-10 12:55:58,SECT9385421,
374,U1524,C,9,R,2,60.0,328.79,328.790,42.439,0.407,,2018-02-10 12:55:58,SECT9385421,
374,U1524,C,9,R,2,70.0,328.89,328.890,41.019,0.401,,2018-02-10 12:55:58,SECT9385421,
