Exp,Site,Hole,Core,Type,Sect,Top offset (cm),Bottom offset (cm),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Alkalinity (mM),pH (none),Timestamp (UTC),Text ID,Test No.,Sample comments,Test comments,Result comments
379,U1532,A,1,H,1,145.0,150.0,1.45,1.500,1.442,1.492,2.918,7.650,2019-02-02 03:33:06,LIQ9710461,112731051,"shipboard, untreated",,
379,U1532,A,1,H,3,145.0,150.0,4.45,4.500,4.426,4.476,2.999,7.451,2019-02-02 03:33:06,LIQ9710561,112731031,"shipboard, untreated",,
379,U1532,A,2,H,1,144.0,149.0,7.04,7.090,6.989,7.037,3.308,7.629,2019-02-02 03:33:06,LIQ9711101,112731041,"shipboard, untreated",,
379,U1532,A,2,H,3,144.0,149.0,10.03,10.080,9.873,9.921,3.460,7.542,2019-02-02 03:33:07,LIQ9711201,112731071,"shipboard, untreated",,
379,U1532,A,2,H,5,145.0,150.0,13.03,13.080,12.767,12.815,3.320,7.642,2019-02-02 03:33:07,LIQ9711301,112731081,"shipboard, untreated",,
379,U1532,A,3,H,2,144.0,149.0,18.04,18.090,17.921,17.969,3.795,7.738,2019-02-02 03:33:07,LIQ9711841,112731061,"shipboard, untreated",,
379,U1532,A,3,H,5,144.0,149.0,22.53,22.580,22.230,22.278,3.722,7.670,2019-02-02 03:33:07,LIQ9711941,112731101,"shipboard, untreated",,
379,U1532,A,4,H,2,145.0,150.0,27.55,27.600,27.463,27.512,3.972,7.664,2019-02-02 03:33:07,LIQ9712781,112731111,"shipboard, untreated",,
379,U1532,A,4,H,5,145.0,150.0,32.04,32.090,31.820,31.869,4.225,7.650,2019-02-02 03:33:07,LIQ9712871,112731091,"shipboard, untreated",,
379,U1532,A,5,H,2,145.0,150.0,37.05,37.100,36.905,36.953,4.535,7.677,2019-02-02 03:33:08,LIQ9713401,112731121,"shipboard, untreated",,
379,U1532,A,5,H,5,145.0,150.0,41.55,41.600,41.185,41.233,4.898,7.820,2019-02-02 03:33:08,LIQ9713491,112731141,"shipboard, untreated",,
379,U1532,A,6,H,2,144.0,149.0,46.55,46.600,46.397,46.444,5.158,7.809,2019-02-02 03:33:08,LIQ9713581,112731131,"shipboard, untreated",,
379,U1532,A,6,H,5,145.0,150.0,51.06,51.110,50.673,50.720,5.509,7.757,2019-02-02 03:33:08,LIQ9713671,112731151,"shipboard, untreated",,
379,U1532,A,7,H,2,146.0,151.0,56.06,56.110,55.912,55.959,5.821,7.869,2019-02-02 03:33:08,LIQ9714631,112731171,"shipboard, untreated",,
379,U1532,A,7,H,5,147.0,152.0,60.59,60.640,60.216,60.264,5.934,7.844,2019-02-02 03:33:08,LIQ9714721,112731161,"shipboard, untreated",,
379,U1532,A,8,H,2,145.0,150.0,65.55,65.600,65.550,65.600,6.246,7.886,2019-02-02 03:33:09,LIQ9715301,112731181,"shipboard, untreated",,
379,U1532,A,8,H,5,145.0,150.0,70.05,70.100,70.050,70.100,6.128,7.769,2019-02-02 04:45:27,LIQ9715391,112732771,"shipboard, untreated",,
379,U1532,A,9,H,2,145.0,150.0,75.05,75.100,74.940,74.988,6.725,7.840,2019-02-02 05:27:21,LIQ9715541,112733831,"shipboard, untreated",,
379,U1532,A,9,H,5,145.0,150.0,79.55,79.600,79.271,79.319,6.806,7.733,2019-02-02 06:37:26,LIQ9715631,112734261,"shipboard, untreated",,
379,U1532,A,10,H,2,145.0,150.0,84.56,84.610,84.478,84.527,7.082,7.792,2019-02-02 07:09:26,LIQ9716101,112734321,"shipboard, untreated",,
379,U1532,A,10,H,5,152.0,157.0,89.16,89.210,88.951,89.000,7.477,7.772,2019-02-02 07:47:51,LIQ9716191,112734511,"shipboard, untreated",,
379,U1532,A,11,H,5,137.0,147.0,98.35,98.400,98.150,98.199,7.753,7.763,2019-02-02 08:28:31,LIQ9716651,112735961,"shipboard, untreated",,
