Exp,Site,Hole,Core,Type,Sect,Top offset (cm),Bottom offset (cm),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Alkalinity (mM),pH (none),Timestamp (UTC),Text ID,Test No.,Sample comments,Test comments,Result comments
379,U1532,C,3,F,2,136.0,146.0,185.86,185.960,185.641,185.733,10.139,7.791,2019-02-05 01:16:55,LIQ9725971,112811081,"shipboard, untreated",,
379,U1532,C,5,F,2,137.0,147.0,195.28,195.380,195.055,195.147,9.671,7.782,2019-02-05 02:43:20,LIQ9726551,112812261,"shipboard, untreated",,
379,U1532,C,7,F,2,135.0,145.0,204.66,204.760,204.436,204.528,9.008,7.809,2019-02-05 03:28:20,LIQ9727391,112813321,"shipboard, untreated",,
379,U1532,C,9,F,2,136.0,146.0,214.06,214.160,213.883,213.977,9.310,7.690,2019-02-05 04:11:05,LIQ9728051,112813981,"shipboard, untreated",,
379,U1532,C,11,F,2,136.0,146.0,223.47,223.570,223.287,223.381,8.995,7.801,2019-02-05 04:45:10,LIQ9728831,112814781,,,
379,U1532,C,14,F,2,135.0,145.0,237.55,237.650,237.311,237.403,7.351,7.734,2019-02-05 12:15:05,LIQ9729781,112827731,"shipboard, untreated",,
379,U1532,C,16,F,2,135.0,145.0,246.95,247.050,246.741,246.834,6.483,7.701,2019-02-05 13:06:20,LIQ9730831,112828781,"shipboard, untreated",,
379,U1532,C,18,F,2,134.0,144.0,256.35,256.450,256.223,256.319,6.608,7.983,2019-02-05 17:26:55,LIQ9731731,112833761,"shipboard, untreated",,
379,U1532,C,22,X,3,136.0,146.0,285.77,285.870,285.770,285.870,5.770,7.712,2019-02-06 02:35:55,LIQ9733111,112843291,"shipboard, untreated",,
379,U1532,C,23,X,3,137.0,147.0,295.38,295.480,295.250,295.347,5.515,7.903,2019-02-06 09:47:35,LIQ9733821,112849131,"Sr trace isotopes, HNO3",,
379,U1532,C,24,X,3,135.0,145.0,304.86,304.960,304.860,304.960,5.577,7.648,2019-02-06 13:23:20,LIQ9734241,112850001,"shipboard, untreated",,
379,U1532,C,25,X,3,136.0,146.0,314.45,314.550,314.293,314.389,5.232,7.708,2019-02-07 05:14:34,LIQ9735151,112858881,,,
379,U1532,C,26,X,3,135.0,145.0,324.05,324.150,324.050,324.150,4.655,7.722,2019-02-07 07:34:59,LIQ9735701,112859121,,,
379,U1532,C,27,X,2,135.0,145.0,332.05,332.150,332.050,332.150,4.205,7.804,2019-02-07 10:35:19,LIQ9736131,112859951,shipboard untreated,,
379,U1532,C,29,X,3,130.0,145.0,352.7,352.850,352.691,352.841,3.351,7.745,2019-02-07 16:33:14,LIQ9736861,112873841,shipboard untreated,,
379,U1532,C,30,X,5,131.0,146.0,365.35,365.500,365.186,365.333,3.817,7.766,2019-02-07 19:13:54,LIQ9737541,112877281,shipboard untreated,,
379,U1532,C,31,X,4,131.0,146.0,373.44,373.590,373.229,373.374,4.017,7.675,2019-02-07 23:44:24,LIQ9738111,112881601,shipboard untreated,,
379,U1532,C,32,X,4,131.0,146.0,382.97,383.120,382.824,382.970,2.753,7.831,2019-02-08 00:12:14,LIQ9738691,112881721,shipboard untreated,,
379,U1532,C,33,X,2,131.0,146.0,389.62,389.770,389.620,389.770,3.528,7.812,2019-02-08 01:20:43,LIQ9739061,112883281,shipboard untreated,,
