Exp,Site,Hole,Core,Type,Sect,Top offset (cm),Bottom offset (cm),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Alkalinity (mM),pH (none),Timestamp (UTC),Text ID,Test No.,Sample comments,Test comments,Result comments
379,U1532,G,2,R,4,131.0,146.0,378.13,378.230,378.130,378.230,4.420,7.853,2019-02-16 07:05:04,LIQ9741511,112918881,shipboard untreated,,
379,U1532,G,4,R,5,128.0,143.0,398.7,398.800,398.700,398.800,3.885,7.780,2019-02-16 07:05:04,LIQ9741981,112918891,shipboard untreated,,
379,U1532,G,5,R,6,73.0,103.0,408.94,409.040,408.940,409.040,3.770,8.028,2019-02-16 07:05:04,LIQ9742471,112918871,shipboard untreated,,
379,U1532,G,8,R,4,115.0,145.0,435.43,435.730,435.430,435.730,4.400,7.958,2019-02-16 11:32:21,LIQ9743581,112922831,shipboard untreated,,
379,U1532,G,11,R,4,106.0,136.0,464.17,464.470,464.170,464.470,6.437,7.855,2019-02-16 19:05:12,LIQ9744931,112932911,shipboard untreated,,
379,U1532,G,14,R,5,59.0,86.0,493.88,494.150,493.880,494.150,5.208,7.761,2019-02-17 03:01:56,LIQ9746381,112941361,shipboard untreated,,
379,U1532,G,17,R,4,123.0,150.0,521.8,522.070,521.800,522.070,4.470,7.791,2019-02-18 17:28:17,LIQ9748421,112963111,shipboard untreated,,
379,U1532,G,20,R,3,116.0,146.0,548.86,549.160,548.860,549.160,3.566,7.897,2019-02-19 00:34:05,LIQ9749921,112969931,shipboard untreated,,
379,U1532,G,23,R,3,117.0,147.0,577.77,578.070,577.770,578.070,2.534,7.908,2019-02-19 05:53:55,LIQ9751091,112976471,shipboard untreated,,
379,U1532,G,26,R,4,115.0,145.0,608.03,608.130,608.030,608.130,1.316,8.411,2019-02-19 10:59:05,LIQ9752661,112984291,shipboard untreated,,
379,U1532,G,29,R,3,117.0,147.0,635.17,635.270,635.170,635.270,1.033,8.343,2019-02-19 17:46:45,LIQ9753951,112993931,shipboard untreated,,
379,U1532,G,32,R,3,116.0,146.0,663.86,663.960,663.860,663.960,1.343,8.819,2019-02-20 02:03:45,LIQ9755361,113003611,shipboard untreated,,
379,U1532,G,35,R,3,116.0,146.0,692.75,693.050,692.750,693.050,1.579,8.260,2019-02-20 12:10:50,LIQ9756901,113020531,shipboard untreated,,
379,U1532,G,39,R,3,112.0,142.0,721.41,721.710,721.410,721.710,2.405,8.333,2019-02-22 13:29:33,LIQ9759151,113049431,shipboard untreated,,
379,U1532,G,43,R,3,115.0,145.0,759.76,760.060,759.760,760.060,1.803,8.006,2019-02-23 03:38:33,LIQ9760801,113059841,shipboard untreated,,
