Exp,Site,Hole,Core,Type,Sect,Top offset (cm),Bottom offset (cm),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Alkalinity (mM),pH (none),Timestamp (UTC),Text ID,Test No.,Sample comments,Test comments,Result comments
379,U1533,B,2,H,5,145.0,150.0,33,33.050,32.499,32.546,3.881,7.611,2019-02-26 11:42:06,LIQ9764891,113086681,shipboard untreated,,
379,U1533,B,3,H,2,145.0,150.0,37.96,38.010,37.793,37.840,4.332,7.632,2019-02-26 12:23:31,LIQ9765381,113087181,shipboard untreated,,
379,U1533,B,3,H,5,145.0,150.0,42.49,42.540,42.066,42.113,4.665,7.668,2019-02-26 12:56:06,LIQ9765471,113087301,shipboard untreated,,
379,U1533,B,4,H,2,145.0,150.0,47.45,47.500,47.383,47.432,4.873,7.592,2019-02-26 13:37:11,LIQ9765871,113087721,shipboard untreated,,
379,U1533,B,4,H,5,143.0,148.0,51.93,51.980,51.762,51.811,5.383,7.674,2019-02-26 14:23:21,LIQ9765961,113090171,shipboard untreated,,
379,U1533,B,5,H,2,145.0,150.0,56.95,57.000,56.836,56.884,5.531,7.700,2019-02-26 15:06:46,LIQ9766741,113090971,shipboard untreated,,
379,U1533,B,5,H,5,142.0,147.0,61.36,61.410,61.076,61.124,5.812,7.654,2019-02-26 15:52:51,LIQ9766831,113091511,shipboard untreated,,
379,U1533,B,6,H,2,141.0,146.0,66.37,66.420,66.268,66.316,5.873,7.612,2019-02-26 16:30:26,LIQ9767321,113094901,shipboard untreated,,
379,U1533,B,6,H,5,141.0,146.0,70.79,70.840,70.531,70.579,5.970,7.732,2019-02-26 17:13:51,LIQ9767411,113096351,shipboard untreated,,
379,U1533,B,7,H,2,145.0,150.0,75.91,75.960,75.792,75.840,6.689,7.766,2019-02-26 18:26:36,LIQ9767901,113096931,shipboard untreated,,
379,U1533,B,7,H,5,142.0,147.0,80.33,80.380,80.034,80.082,6.583,7.598,2019-02-26 19:06:11,LIQ9767991,113097701,shipboard untreated,,
379,U1533,B,8,H,2,144.0,149.0,85.41,85.460,85.323,85.372,6.998,7.699,2019-02-26 21:07:12,LIQ9768951,113103721,shipboard untreated,,
379,U1533,B,8,H,5,144.0,149.0,89.86,89.910,89.642,89.691,7.094,7.594,2019-02-26 21:50:06,LIQ9769041,113104051,shipboard untreated,,
379,U1533,B,9,H,2,141.0,146.0,94.87,94.920,94.870,94.920,7.321,7.747,2019-02-27 00:19:56,LIQ9770101,113108281,shipboard untreated,,
379,U1533,B,9,H,5,141.0,146.0,99.26,99.310,99.260,99.310,7.415,7.684,2019-02-27 01:20:41,LIQ9770221,113110321,shipboard untreated,,
379,U1533,B,10,H,5,141.0,146.0,108.78,108.830,108.637,108.686,9.314,7.672,2019-02-27 01:55:11,LIQ9770821,113111581,shipboard untreated,,
379,U1533,B,10,H,5,141.0,146.0,108.78,108.830,108.637,108.686,7.950,7.750,2019-02-27 12:27:41,LIQ9770821,113134371,shipboard untreated,,
379,U1533,B,11,H,5,138.0,148.0,118.26,118.310,117.815,117.862,8.289,7.714,2019-02-27 02:36:51,LIQ9771401,113112171,shipboard untreated,,
379,U1533,B,12,H,5,134.0,144.0,127.72,127.770,127.198,127.244,8.603,7.683,2019-02-27 03:15:01,LIQ9771531,113113951,shipboard untreated,,
379,U1533,B,13,H,4,138.0,148.0,135.78,135.830,135.480,135.527,9.439,7.625,2019-02-27 05:42:41,LIQ9773021,113118931,shipboard untreated,,
379,U1533,B,14,H,4,138.0,148.0,145.29,145.390,145.006,145.101,9.319,7.644,2019-02-27 10:01:06,LIQ9773611,113130861,shipboard untreated,,
379,U1533,B,15,H,4,137.0,147.0,154.77,154.870,154.449,154.543,8.983,7.804,2019-02-27 10:37:26,LIQ9774191,113131901,shipboard untreated,,
379,U1533,B,16,H,7,98.0,108.0,168.16,168.260,167.506,167.599,10.116,7.572,2019-02-27 11:21:51,LIQ9774821,113133411,shipboard untreated,,
379,U1533,B,17,H,1,141.0,151.0,169.41,169.510,169.350,169.446,9.542,7.561,2019-02-27 11:54:26,LIQ9774921,113133901,shipboard untreated,,
379,U1533,B,18,H,5,136.0,146.0,184.75,184.850,184.750,184.850,10.481,7.542,2019-02-27 13:40:06,LIQ9775601,113136981,shipboard untreated,,
379,U1533,B,20,F,2,135.0,145.0,194.56,194.660,194.383,194.477,10.295,7.571,2019-03-01 13:15:29,LIQ9781191,113205531,shipboard untreated,,
379,U1533,B,22,F,2,137.0,147.0,203.98,204.080,203.980,204.080,10.003,7.596,2019-03-02 03:25:14,LIQ9782201,113247481,shipboard untreated,,
379,U1533,B,26,X,2,130.0,145.0,236.2,236.350,236.200,236.350,8.714,7.653,2019-03-02 17:58:33,LIQ9783961,113256321,shipboard untreated,,
379,U1533,B,28,X,2,131.0,146.0,255.31,255.460,255.310,255.460,8.686,7.565,2019-03-02 20:59:13,LIQ9784491,113269581,shipboard untreated,,
379,U1533,B,39,R,3,121.0,136.0,345.91,346.060,345.910,346.060,7.345,7.761,2019-03-06 12:55:34,LIQ9786641,113315941,shipboard untreated,,
379,U1533,B,42,R,3,131.0,146.0,374.82,374.970,374.820,374.970,7.627,7.821,2019-03-06 23:16:55,LIQ9787501,113320701,shipboard untreated,,
