Exp,Site,Hole,Core,Type,Sect,A/W,Top offset on section (cm),Bot offset on section (cm),Top depth CSF-A (m),Top depth CSF-B (m),Inorganic carbon (wt%),Calcium carbonate (wt%),Total carbon (wt%),Hydrogen (wt%),Nitrogen (wt%),Sulfur (wt%),Organic carbon (wt%) by difference (CHNS-COUL),Sample comments
379,U1532,A,1,H,1,W,135.0,136.0,1.35,1.343,0.031,0.258,0.1062,0.0,0.0357,0.15,0.08,
379,U1532,A,1,H,2,W,38.0,39.0,1.88,1.87,1.369,11.408,1.5061,0.0,0.0519,0.1577,0.14,
379,U1532,A,1,H,3,W,122.0,123.0,4.22,4.198,0.027,0.225,0.133,0.0,0.0344,0.0721,0.11,
379,U1532,A,2,H,4,W,116.0,117.0,11.24,11.04,0.049,0.408,0.063,0.0,0.0288,0.0766,0.01,
379,U1532,A,2,H,4,W,116.0,117.0,11.24,11.04,,,0.1005,0.0,0.0204,0.0462,,
379,U1532,A,2,H,6,W,61.0,62.0,13.69,13.402,0.018,0.15,0.279,0.0,0.0468,0.0908,0.26,
379,U1532,A,3,H,2,W,94.0,95.0,17.54,17.441,0.961,8.008,1.0244,0.0,0.0231,0.0605,0.06,
379,U1532,A,3,H,2,W,128.0,129.0,17.88,17.767,0.003,0.025,0.0857,0.0,0.0307,0.0905,0.08,
379,U1532,A,3,H,5,W,120.0,121.0,22.29,22.0,0.006,0.05,0.0961,0.0,0.0492,0.063,0.09,
379,U1532,A,3,H,6,W,96.0,97.0,23.55,23.209,1.14,9.5,1.1948,0.0,0.0369,0.0826,0.05,
379,U1532,A,4,H,2,W,58.0,59.0,26.68,26.619,0.023,0.192,0.1399,0.0,0.0967,0.1235,0.12,
379,U1532,A,4,H,4,W,30.0,31.0,29.39,29.248,0.044,0.367,0.111,0.0,0.0223,0.0793,0.07,
379,U1532,A,4,H,4,W,30.0,31.0,29.39,29.248,,,0.0883,0.0,0.0764,0.0793,,
379,U1532,A,5,H,3,W,80.0,81.0,37.9,37.714,0.033,0.275,0.1178,0.0,0.0234,0.0408,0.08,
379,U1532,A,5,H,5,W,104.0,105.0,41.14,40.795,0.029,0.242,0.096,0.0,0.059,0.0992,0.07,
379,U1532,A,6,H,1,W,76.0,77.0,44.36,44.321,0.013,0.108,0.1689,0.0,0.011,0.0482,0.16,
379,U1532,A,6,H,1,W,76.0,77.0,44.36,44.321,,,0.1919,0.0,0.0448,0.0251,,
379,U1532,A,6,H,5,W,63.0,64.0,50.24,49.895,0.067,0.558,0.1228,0.0,0.0182,0.0729,0.06,
379,U1532,A,6,H,5,W,63.0,64.0,50.24,49.895,,,0.1078,0.0,0.0454,0.0786,,
379,U1532,A,7,H,2,W,80.0,81.0,55.4,55.285,0.032,0.267,0.3566,0.0,0.0474,0.0623,0.32,
379,U1532,A,7,H,5,W,17.0,18.0,59.29,58.98,0.033,0.275,0.1171,0.0,0.0397,0.079,0.08,
379,U1532,A,8,H,1,W,18.0,19.0,62.78,62.78,0.021,0.175,0.0781,0.0,0.0088,0.0283,0.06,
379,U1532,A,8,H,5,W,61.0,62.0,69.17,69.17,0.008,0.067,0.6641,0.0,0.0478,0.0568,0.66,
379,U1532,A,8,H,5,W,61.0,62.0,69.17,69.17,,,0.6853,0.0,0.0434,0.0831,,
379,U1532,A,9,H,2,W,91.0,92.0,74.51,74.419,0.01,0.083,0.4587,0.0,0.0416,0.0505,0.45,
379,U1532,A,9,H,2,W,91.0,92.0,74.51,74.419,,,0.4485,0.0,0.0054,0.0318,,
379,U1532,A,9,H,5,W,57.0,58.0,78.67,78.424,0.014,0.117,0.4894,0.0,0.0162,0.0926,0.48,
379,U1532,A,9,H,5,W,57.0,58.0,78.67,78.424,,,0.4736,0.0,0.0266,0.0973,,
379,U1532,A,10,H,2,W,107.0,108.0,84.18,84.109,0.009,0.075,0.3988,0.0,0.0392,0.0825,0.39,
379,U1532,A,10,H,5,W,60.0,61.0,88.24,88.057,0.062,0.517,0.0944,0.0,0.0541,0.0773,0.03,
379,U1532,A,10,H,5,W,60.0,61.0,88.24,88.057,,,0.0755,0.0,0.0582,0.055,,
379,U1532,A,11,H,2,W,58.0,59.0,93.15,93.093,0.009,0.075,0.3223,0.0,0.066,0.0632,0.31,
379,U1532,A,11,H,5,W,58.0,59.0,97.56,97.382,0.036,0.3,0.2918,0.0,0.0312,0.0481,0.26,
379,U1532,A,11,H,5,W,58.0,59.0,97.56,97.382,,,0.2918,0.0,0.0312,0.0481,,
379,U1532,A,11,H,5,W,58.0,59.0,97.56,97.382,,,0.2988,0.0,0.004,0.0564,,
379,U1532,A,11,H,5,W,58.0,59.0,97.56,97.382,,,0.3128,0.0,0.0369,0.097,,
