Exp,Site,Hole,Core,Type,Sect,A/W,Top offset on section (cm),Bot offset on section (cm),Top depth CSF-A (m),Top depth CSF-B (m),Inorganic carbon (wt%),Calcium carbonate (wt%),Total carbon (wt%),Hydrogen (wt%),Nitrogen (wt%),Sulfur (wt%),Organic carbon (wt%) by difference (CHNS-COUL),Sample comments
379,U1532,C,2,F,2,W,113.0,114.0,180.93,180.719,0.055,0.458,0.1212,0.0,0.0288,0.1135,0.07,
379,U1532,C,2,F,4,W,37.0,38.0,182.84,182.476,0.057,0.475,0.3746,0.0,0.0219,0.0377,0.32,
379,U1532,C,2,F,4,W,37.0,38.0,182.84,182.476,,,0.3969,0.0,0.0307,0.0842,,
379,U1532,C,3,F,2,W,25.0,26.0,184.75,184.616,0.282,2.35,0.4171,0.0,0.0411,0.0599,0.14,
379,U1532,C,4,F,2,W,40.0,41.0,189.61,189.437,0.281,2.342,0.4068,0.0,0.0195,0.0959,0.13,
379,U1532,C,5,F,1,W,59.0,60.0,192.99,192.944,0.271,2.258,0.3964,0.0,0.0181,0.1433,0.13,
379,U1532,C,5,F,3,W,80.0,81.0,196.23,195.929,0.15,1.25,0.4477,0.0,0.0342,0.0569,0.3,
379,U1532,C,6,F,2,W,8.0,9.0,198.68,198.554,0.059,0.492,0.0783,0.0,0.0338,0.1002,0.02,
379,U1532,C,6,F,2,W,8.0,9.0,198.68,198.554,,,0.0783,0.0,0.0117,0.1226,,
379,U1532,C,7,F,2,W,102.0,103.0,204.33,204.132,0.156,1.3,0.4594,0.0,0.0644,0.0446,0.3,
379,U1532,C,7,F,2,W,102.0,103.0,204.33,204.132,,,0.4505,0.0,0.0076,0.046,,
379,U1532,C,8,F,1,W,55.0,56.0,207.05,207.013,0.022,0.183,0.3814,0.0,0.0117,0.0919,0.36,
379,U1532,C,8,F,1,W,55.0,56.0,207.05,207.013,,,0.391,0.0,0.038,0.1154,,
379,U1532,C,9,F,3,W,61.0,62.0,214.82,214.596,0.014,0.117,0.1503,0.0,0.0275,0.0704,0.14,
379,U1532,C,10,F,2,W,71.0,72.0,218.08,218.004,0.093,0.775,0.3643,0.0,0.0404,0.0691,0.27,
379,U1532,C,11,F,1,W,2.0,5.0,220.62,220.619,6.65,55.414,6.9052,0.0,0.0182,0.0,0.26,
379,U1532,C,11,F,3,W,14.0,15.0,223.76,223.559,0.019,0.158,0.0913,0.0,0.012,0.0452,0.07,
379,U1532,C,14,F,1,W,128.0,129.0,235.98,235.873,0.151,1.258,0.4065,0.0,0.0118,0.0333,0.26,
379,U1532,C,14,F,1,W,128.0,129.0,235.98,235.873,,,0.4056,0.0,0.0353,0.0408,,
379,U1532,C,15,F,2,W,90.0,91.0,241.62,241.569,0.103,0.858,0.3954,0.0,0.0307,0.0425,0.29,
379,U1532,C,16,F,2,W,81.0,82.0,246.41,246.241,0.143,1.192,0.4267,0.0,0.0137,0.057,0.28,
379,U1532,C,16,F,2,W,81.0,82.0,246.41,246.241,,,0.4679,0.0,0.0355,0.0341,,
379,U1532,C,17,F,2,W,70.0,71.0,251.0,250.836,0.169,1.408,0.4598,0.0,0.0161,0.0275,0.29,
379,U1532,C,17,F,2,W,70.0,71.0,251.0,250.836,,,0.4746,0.0,0.0473,0.0392,,
379,U1532,C,18,F,2,W,50.0,51.0,255.51,255.421,0.111,0.925,0.4912,0.0,0.0202,0.0397,0.38,
379,U1532,C,18,F,2,W,50.0,51.0,255.51,255.421,,,0.4682,0.0,0.0281,0.0357,,
379,U1532,C,19,X,2,W,70.0,71.0,260.41,260.41,0.174,1.45,0.4952,0.0,0.0205,0.0596,0.32,
379,U1532,C,19,X,2,W,70.0,71.0,260.41,260.41,,,0.5201,0.0,0.0244,0.0479,,
379,U1532,C,22,X,2,W,142.0,143.0,284.33,284.33,0.017,0.142,0.107,0.0,0.0327,0.0842,0.09,
379,U1532,C,23,X,2,W,40.0,41.0,292.9,292.844,0.151,1.258,0.4211,0.0,0.0329,0.0501,0.27,
379,U1532,C,23,X,4,W,112.0,113.0,296.65,296.483,0.031,0.258,0.0748,0.0,0.0136,0.0741,0.04,
379,U1532,C,24,X,2,W,32.0,33.0,302.32,302.32,0.134,1.117,0.4369,0.0,0.0354,0.0469,0.3,
379,U1532,C,24,X,2,W,32.0,33.0,302.32,302.32,,,0.4139,0.0,0.014,0.0338,,
379,U1532,C,24,X,5,W,96.0,97.0,307.47,307.47,0.099,0.825,0.3824,0.0,0.033,0.0421,0.28,
379,U1532,C,24,X,5,W,96.0,97.0,307.47,307.47,,,0.3679,0.0,0.0132,0.0721,,
379,U1532,C,25,X,1,W,43.0,44.0,310.53,310.514,0.158,1.317,0.4284,0.0,0.0561,0.0507,0.27,
379,U1532,C,25,X,1,W,43.0,44.0,310.53,310.514,,,0.4032,0.0,0.0073,0.0191,,
379,U1532,C,25,X,4,W,33.0,34.0,314.93,314.756,0.149,1.242,0.4205,0.0,0.0731,0.0607,0.27,
