Exp,Site,Hole,Core,Type,Sect,A/W,Top offset on section (cm),Bot offset on section (cm),Top depth CSF-A (m),Top depth CSF-B (m),Inorganic carbon (wt%),Calcium carbonate (wt%),Total carbon (wt%),Hydrogen (wt%),Nitrogen (wt%),Sulfur (wt%),Organic carbon (wt%) by difference (CHNS-COUL),Sample comments
379,U1532,G,4,R,1,W,33.0,34.0,391.73,391.73,0.12,1.0,0.4248,0.0,0.0319,0.0605,0.3,
379,U1532,G,4,R,4,W,26.0,27.0,396.17,396.17,0.195,1.625,0.4534,0.0,0.0248,0.0297,0.26,
379,U1532,G,5,R,1,W,104.0,105.0,402.04,402.04,0.159,1.325,0.3997,0.0,0.0291,0.0384,0.24,
379,U1532,G,5,R,4,W,31.0,32.0,405.79,405.79,0.013,0.108,0.1368,0.0,0.0422,0.1078,0.12,
379,U1532,G,6,R,3,W,128.0,129.0,414.88,414.88,0.125,1.042,0.4134,0.0,0.0349,0.0422,0.29,
379,U1532,G,6,R,6,W,107.0,108.0,419.17,419.17,4.992,41.598,5.0807,0.0,0.0167,0.0,0.09,
379,U1532,G,6,R,6,W,107.0,108.0,419.17,419.17,,,5.048,0.0,0.0035,0.0492,,
379,U1532,G,7,R,2,W,49.0,50.0,422.19,422.19,0.016,0.133,0.1985,0.0,0.0501,0.0666,0.18,
379,U1532,G,7,R,4,W,68.0,69.0,425.39,425.39,0.112,0.933,0.4988,0.0,0.0302,0.0372,0.39,
379,U1532,G,7,R,4,W,68.0,69.0,425.39,425.39,,,0.626,0.0,0.0367,0.0868,,
379,U1532,G,8,R,3,W,140.0,141.0,434.19,434.19,0.022,0.183,0.111,0.0,0.0209,0.0512,0.09,
379,U1532,G,8,R,6,W,52.0,53.0,437.79,437.79,0.015,0.125,0.2634,0.0,0.0355,0.0824,0.25,
379,U1532,G,9,R,2,W,120.0,121.0,442.07,442.07,0.022,0.183,0.3158,0.0,0.0366,0.0631,0.29,
379,U1532,G,9,R,5,W,25.0,26.0,445.42,445.42,0.164,1.367,0.4446,0.0,0.0496,0.1385,0.28,
379,U1532,G,9,R,5,W,25.0,26.0,445.42,445.42,0.013,0.108,,,,,,
379,U1532,G,10,R,3,W,83.0,84.0,452.82,452.82,0.066,0.55,0.3801,0.0,0.0404,0.0855,0.31,
379,U1532,G,10,R,4,W,21.5,22.5,453.705,453.705,0.071,0.592,0.355,0.0,0.0315,0.1119,0.28,
379,U1532,G,11,R,2,W,102.0,103.0,461.13,461.13,0.017,0.142,0.3283,0.0,0.0356,0.0991,0.31,
379,U1532,G,11,R,2,W,102.0,103.0,461.13,461.13,0.1432,1.193,,,,,,
379,U1532,G,11,R,4,W,42.0,43.0,463.53,463.53,0.012,0.1,0.1301,0.0,0.0314,0.0688,0.12,
