Exp,Site,Hole,Core,Type,Sect,A/W,Top offset on section (cm),Bot offset on section (cm),Top depth CSF-A (m),Top depth CSF-B (m),Inorganic carbon (wt%),Calcium carbonate (wt%),Total carbon (wt%),Hydrogen (wt%),Nitrogen (wt%),Sulfur (wt%),Organic carbon (wt%) by difference (CHNS-COUL),Sample comments
379,U1533,B,2,H,3,W,42.0,43.0,28.94,28.71,0.002,0.017,0.1488,0.0,0.0888,0.1074,0.15,
379,U1533,B,2,H,4,W,76.0,77.0,30.79,30.436,0.01,0.083,0.0171,0.0,0.0338,0.0404,0.01,
379,U1533,B,3,H,2,W,57.0,58.0,37.08,36.963,0.014,0.117,0.131,0.0,0.054,0.0504,0.12,
379,U1533,B,3,H,5,W,111.0,112.0,42.15,41.745,0.018,0.15,0.0831,0.0,0.0611,0.043,0.07,
379,U1533,B,4,H,2,W,86.0,87.0,46.86,46.807,0.02,0.167,0.1301,0.0,0.0525,0.0296,0.11,
379,U1533,B,4,H,6,W,28.0,29.0,52.26,52.085,0.011,0.092,0.0856,0.0,0.0464,0.0332,0.07,
379,U1533,B,5,H,3,W,99.0,100.0,57.99,57.837,0.022,0.183,0.2423,0.0,0.0317,0.0303,0.22,
379,U1533,B,5,H,5,W,50.0,51.0,60.44,60.192,0.021,0.175,0.0912,0.0,0.0571,0.0321,0.07,
379,U1533,B,6,H,2,W,30.0,31.0,65.26,65.197,0.011,0.092,0.3434,0.0,0.049,0.0342,0.33,
379,U1533,B,6,H,6,W,69.0,70.0,71.53,71.245,0.003,0.025,0.1185,0.0,0.0557,0.0981,0.12,
379,U1533,B,7,H,1,W,95.0,96.0,73.95,73.912,0.016,0.133,0.0992,0.0,0.0476,0.1281,0.08,
379,U1533,B,8,H,2,W,26.0,27.0,84.23,84.178,0.047,0.392,0.3182,0.0,0.0363,0.0392,0.27,
379,U1533,B,8,H,4,W,51.0,52.0,87.44,87.294,0.004,0.033,0.1163,0.0,0.0547,0.0843,0.11,
379,U1533,B,8,H,4,W,51.0,52.0,87.44,87.294,,,0.1032,0.0,0.0671,0.0846,,
379,U1533,B,9,H,4,W,28.0,29.0,96.66,96.66,0.015,0.125,0.1099,0.0,0.0516,0.0989,0.09,
379,U1533,B,9,H,6,W,71.0,72.0,100.02,100.02,0.015,0.125,0.2741,0.0,0.0548,0.059,0.26,
379,U1533,B,10,H,1,W,129.0,130.0,102.79,102.765,0.008,0.067,0.1073,0.0,0.0612,0.0757,0.1,
379,U1533,B,10,H,4,W,58.0,59.0,106.49,106.393,0.005,0.042,0.2544,0.0,0.0499,0.0463,0.25,
379,U1533,B,11,H,3,W,104.0,105.0,114.97,114.726,0.043,0.358,0.4313,0.0,0.0656,0.0438,0.39,
379,U1533,B,11,H,7,W,6.0,7.0,119.9,119.354,0.064,0.533,0.3772,0.0,0.0557,0.0324,0.31,
379,U1533,B,12,H,1,W,77.0,78.0,121.27,121.214,0.028,0.233,0.3262,0.0,0.0534,0.0339,0.3,
379,U1533,B,12,H,7,W,70.0,71.0,130.09,129.396,0.015,0.125,0.0716,0.0,0.0619,0.0525,0.06,
379,U1533,B,12,H,7,W,70.0,71.0,130.09,129.396,,,0.0943,0.0,0.034,0.0648,,
379,U1533,B,13,H,1,W,113.0,114.0,131.13,131.071,0.037,0.308,0.066,0.0,0.053,0.0384,0.03,
379,U1533,B,13,H,5,W,63.0,64.0,136.51,136.172,0.038,0.317,0.248,0.0,0.0466,0.0128,0.21,
379,U1533,B,14,H,1,W,20.0,21.0,139.7,139.69,0.305,2.542,0.4562,0.0,0.0379,0.0039,0.15,
379,U1533,B,14,H,4,W,67.0,68.0,144.58,144.331,0.038,0.317,0.0776,0.0,0.0332,0.0272,0.04,
379,U1533,B,15,H,3,W,49.0,50.0,152.42,152.23,0.164,1.367,0.373,0.0,0.0476,0.0443,0.21,
379,U1533,B,15,H,5,W,98.0,99.0,155.85,155.468,0.205,1.708,0.4143,0.0,0.0366,0.0114,0.21,
379,U1533,B,16,H,1,W,29.0,30.0,158.79,158.77,0.134,1.117,0.3406,0.0,0.0358,0.0259,0.21,
379,U1533,B,16,H,6,W,23.0,24.0,165.95,165.445,0.092,0.767,0.3191,0.0,0.0381,0.042,0.23,
379,U1533,B,17,H,2,W,92.0,93.0,170.43,170.327,0.023,0.192,0.2892,0.0,0.0432,0.0088,0.27,
379,U1533,B,17,H,4,W,42.0,43.0,172.34,172.156,0.049,0.408,0.0804,0.0,0.0826,0.0648,0.03,
379,U1533,B,18,H,1,W,74.0,75.0,178.24,178.24,0.083,0.692,0.1652,0.0,0.0599,0.0321,0.08,
379,U1533,B,18,H,5,W,85.0,86.0,184.24,184.24,0.046,0.383,0.0982,0.0,0.039,0.0132,0.05,
379,U1533,B,19,F,2,W,57.0,58.0,189.04,188.903,0.075,0.625,0.355,0.0,0.0417,0.0352,0.28,
379,U1533,B,19,F,4,W,20.0,21.0,191.46,191.159,0.078,0.65,0.3175,0.0,0.0418,0.0471,0.24,
379,U1533,B,20,F,2,W,77.0,78.0,193.98,193.839,0.122,1.017,0.3116,0.0,0.0473,0.0259,0.19,
379,U1533,B,20,F,CC,,7.0,8.0,196.49,196.194,0.091,0.758,0.1262,0.0,0.0459,0.0349,0.04,
379,U1533,B,21,F,2,W,102.0,103.0,198.92,198.745,0.075,0.625,0.2769,0.0,0.0407,0.0312,0.2,
379,U1533,B,22,F,CC,W,0.0,1.0,205.3,205.3,0.051,0.425,0.0993,0.0,0.0688,0.0599,0.05,
379,U1533,B,23,X,2,W,92.0,93.0,208.21,208.21,0.075,0.625,0.3712,0.0,0.0448,0.0711,0.3,
379,U1533,B,24,X,2,W,77.0,78.0,216.57,216.57,0.018,0.15,0.0898,0.0,0.0478,0.084,0.07,
379,U1533,B,24,X,4,W,90.0,91.0,219.7,219.7,0.016,0.133,0.354,0.0,0.0614,0.0333,0.34,
379,U1533,B,25,X,3,W,109.0,110.0,227.98,227.98,0.101,0.842,0.408,0.0,0.0731,0.0674,0.31,
379,U1533,B,25,X,4,W,136.0,137.0,229.75,229.75,0.022,0.183,0.0561,0.0,0.0491,0.0249,0.03,
379,U1533,B,26,X,3,W,54.0,55.0,236.94,236.94,0.055,0.458,0.3855,0.0,0.0455,0.0298,0.33,
379,U1533,B,26,X,4,W,123.0,124.0,239.13,239.13,0.14,1.167,0.4731,0.0,0.0549,0.086,0.33,
379,U1533,B,26,X,CC,W,34.0,35.0,240.19,240.19,0.01,0.083,0.1418,0.0,0.0391,0.0641,0.13,
379,U1533,B,27,X,1,W,14.0,15.0,243.04,243.04,0.011,0.092,0.0684,0.0,0.0733,0.017,0.06,
379,U1533,B,27,X,3,W,72.0,73.0,246.62,246.62,0.027,0.225,0.3532,0.0,0.0768,0.058,0.33,
379,U1533,B,28,X,2,W,24.0,25.0,254.24,254.24,0.111,0.925,0.4436,0.0,0.0439,0.0839,0.33,
379,U1533,B,28,X,3,W,77.0,78.0,256.28,256.28,0.021,0.175,0.0401,0.0,0.0472,0.0184,0.02,
379,U1533,B,29,X,1,W,145.0,146.0,263.55,263.55,0.144,1.2,0.497,0.0,0.083,0.031,0.35,
379,U1533,B,29,X,3,W,43.0,45.0,265.52,265.52,0.09,0.75,0.4879,0.0,0.0722,0.0469,0.4,
379,U1533,B,30,X,2,W,65.0,66.0,273.69,273.69,0.012,0.1,0.4186,0.0,0.0539,0.0208,0.41,
379,U1533,B,39,R,1,W,46.0,48.0,342.16,342.16,0.018,0.15,0.3434,0.0,0.0617,0.0434,0.33,
379,U1533,B,39,R,2,W,83.0,85.0,344.03,344.03,0.013,0.108,0.0851,0.0,0.0375,0.0584,0.07,
379,U1533,B,42,R,1,W,81.0,82.0,371.31,371.31,0.011,0.092,0.3603,0.0,0.0343,0.0474,0.35,
379,U1533,B,42,R,3,W,40.0,41.0,373.91,373.91,0.017,0.142,0.1801,0.0,0.0386,0.0898,0.16,
379,U1533,B,43,R,1,W,104.0,105.0,381.04,381.04,0.012,0.1,0.2685,0.0,0.0298,0.0367,0.26,
