Exp,Site,Hole,Core,Type,Sect,A/W,Top offset on section (cm),Bot offset on section (cm),Top depth CSF-A (m),Top depth CSF-B (m),Inorganic carbon (wt%),Calcium carbonate (wt%),Total carbon (wt%),Hydrogen (wt%),Nitrogen (wt%),Sulfur (wt%),Organic carbon (wt%) by difference (CHNS-COUL),Sample comments
379,U1533,D,1,H,1,W,11.0,12.0,0.11,0.11,0.018,0.15,0.2798,0.0,0.093,0.1503,0.26,
379,U1533,D,1,H,3,W,8.0,9.0,3.08,3.08,0.013,0.108,0.0998,0.0,0.0664,0.0511,0.09,
379,U1533,D,2,H,2,W,33.0,34.0,6.63,6.63,0.009,0.075,0.0639,0.0,0.048,0.1173,0.05,
379,U1533,D,2,H,4,W,116.0,117.0,10.47,10.47,0.014,0.117,0.0672,0.0,0.0503,0.1221,0.05,
379,U1533,D,3,H,1,W,35.0,36.0,12.95,12.95,0.017,0.142,0.0579,0.0,0.049,0.0713,0.04,
379,U1533,D,3,H,4,W,109.0,110.0,18.21,18.21,0.013,0.108,0.0354,0.0,0.0586,0.0632,0.02,
379,U1533,D,4,H,2,W,42.0,43.0,22.92,22.92,0.017,0.142,0.0654,0.0,0.0401,0.1197,0.05,
379,U1533,D,4,H,6,W,50.0,51.0,29.04,29.04,0.016,0.133,0.0357,0.0,0.0517,0.0281,0.02,
379,U1533,D,5,H,3,W,39.0,40.0,33.91,33.91,0.015,0.125,0.078,0.0,0.0321,0.0724,0.06,
379,U1533,D,5,H,6,W,78.0,79.0,38.85,38.85,0.011,0.092,0.2223,0.0,0.065,0.0356,0.21,
