Exp,Site,Hole,Core,Type,Sect,Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Top depth CCSF-379-U1533-ABCD-20191030 (m),Bottom depth CCSF-379-U1533-ABCD-20191030 (m),Element name,Element symbol,Concentration,Wavelength (nm),Excel filename,ICP file filename,Raw data filename,Timestamp (UTC),Text ID,Test No.,Sample comments,Test comments,Result comments
379,U1533,B,2,H,5,33,33.050,32.499,32.546,42.740,42.790,Boron,B (mM),462.27,249.678,,,,2019-03-03 16:02:04,LIQ9764911,113299051,20uL HNO3,,
379,U1533,B,2,H,5,33,33.050,32.499,32.546,42.740,42.790,Boron,B (mM),465.67,249.772,,,,2019-03-03 16:02:04,LIQ9764911,113299051,20uL HNO3,,
379,U1533,B,2,H,5,33,33.050,32.499,32.546,42.740,42.790,Barium,Ba (µM),rejected,230.424,,,,2019-03-03 16:02:04,LIQ9764911,113299051,20uL HNO3,,
379,U1533,B,2,H,5,33,33.050,32.499,32.546,42.740,42.790,Barium,Ba (µM),0.87,455.403,,,,2019-03-03 16:02:04,LIQ9764911,113299051,20uL HNO3,,
379,U1533,B,2,H,5,33,33.050,32.499,32.546,42.740,42.790,Calcium,Ca (mM),12.42,315.887,,,,2019-03-03 16:02:04,LIQ9764911,113299051,20uL HNO3,,
379,U1533,B,2,H,5,33,33.050,32.499,32.546,42.740,42.790,Calcium,Ca (mM),12.36,317.933,,,,2019-03-03 16:02:04,LIQ9764911,113299051,20uL HNO3,,
379,U1533,B,2,H,5,33,33.050,32.499,32.546,42.740,42.790,Calcium,Ca (mM),12.42,318.127,,,,2019-03-03 16:02:04,LIQ9764911,113299051,20uL HNO3,,
379,U1533,B,2,H,5,33,33.050,32.499,32.546,42.740,42.790,Iron,Fe (µM),bdl,238.204,,,,2019-03-03 16:02:04,LIQ9764911,113299051,20uL HNO3,,
379,U1533,B,2,H,5,33,33.050,32.499,32.546,42.740,42.790,Iron,Fe (µM),bdl,239.563,,,,2019-03-03 16:02:04,LIQ9764911,113299051,20uL HNO3,,
379,U1533,B,2,H,5,33,33.050,32.499,32.546,42.740,42.790,Iron,Fe (µM),bdl,259.94,,,,2019-03-03 16:02:04,LIQ9764911,113299051,20uL HNO3,,
379,U1533,B,2,H,5,33,33.050,32.499,32.546,42.740,42.790,Potassium,K (mM),9.62,766.491,,,,2019-03-03 16:02:04,LIQ9764911,113299051,20uL HNO3,,
379,U1533,B,2,H,5,33,33.050,32.499,32.546,42.740,42.790,Potassium,K (mM),9.25,769.897,,,,2019-03-03 16:02:04,LIQ9764911,113299051,20uL HNO3,,
379,U1533,B,2,H,5,33,33.050,32.499,32.546,42.740,42.790,Lithium,Li (µM),38.36,670.783,,,,2019-03-03 16:02:04,LIQ9764911,113299051,20uL HNO3,,
379,U1533,B,2,H,5,33,33.050,32.499,32.546,42.740,42.790,Magnesium,Mg (mM),49.62,202.582,,,,2019-03-03 16:02:04,LIQ9764911,113299051,20uL HNO3,,
379,U1533,B,2,H,5,33,33.050,32.499,32.546,42.740,42.790,Magnesium,Mg (mM),48.83,277.983,,,,2019-03-03 16:02:04,LIQ9764911,113299051,20uL HNO3,,
379,U1533,B,2,H,5,33,33.050,32.499,32.546,42.740,42.790,Magnesium,Mg (mM),49.42,279.078,,,,2019-03-03 16:02:04,LIQ9764911,113299051,20uL HNO3,,
379,U1533,B,2,H,5,33,33.050,32.499,32.546,42.740,42.790,Manganese,Mn (µM),225.54,257.61,,,,2019-03-03 16:02:04,LIQ9764911,113299051,20uL HNO3,,
379,U1533,B,2,H,5,33,33.050,32.499,32.546,42.740,42.790,Manganese,Mn (µM),221.37,259.372,,,,2019-03-03 16:02:04,LIQ9764911,113299051,20uL HNO3,,
379,U1533,B,2,H,5,33,33.050,32.499,32.546,42.740,42.790,Sodium,Na (mM),456.28,330.298,,,,2019-03-03 16:02:04,LIQ9764911,113299051,20uL HNO3,,
379,U1533,B,2,H,5,33,33.050,32.499,32.546,42.740,42.790,Sodium,Na (mM),449.48,589.592,,,,2019-03-03 16:02:04,LIQ9764911,113299051,20uL HNO3,,
379,U1533,B,2,H,5,33,33.050,32.499,32.546,42.740,42.790,Phosphorus,P (µM),rejected,213.618,,,,2019-03-03 16:02:04,LIQ9764911,113299051,20uL HNO3,,
379,U1533,B,2,H,5,33,33.050,32.499,32.546,42.740,42.790,Sulfur,S (mM),25.6,182.562,,,,2019-03-03 16:02:04,LIQ9764911,113299051,20uL HNO3,,
379,U1533,B,2,H,5,33,33.050,32.499,32.546,42.740,42.790,Silicon,Si (µM),455.35,221.667,,,,2019-03-03 16:02:04,LIQ9764911,113299051,20uL HNO3,,
379,U1533,B,2,H,5,33,33.050,32.499,32.546,42.740,42.790,Silicon,Si (µM),449.18,251.611,,,,2019-03-03 16:02:04,LIQ9764911,113299051,20uL HNO3,,
379,U1533,B,2,H,5,33,33.050,32.499,32.546,42.740,42.790,Silicon,Si (µM),448.49,288.158,,,,2019-03-03 16:02:04,LIQ9764911,113299051,20uL HNO3,,
379,U1533,B,2,H,5,33,33.050,32.499,32.546,42.740,42.790,Strontium,Sr (µM),85.8,407.771,,,,2019-03-03 16:02:04,LIQ9764911,113299051,20uL HNO3,,
379,U1533,B,2,H,5,33,33.050,32.499,32.546,42.740,42.790,Strontium,Sr (µM),89.14,421.552,,,,2019-03-03 16:02:04,LIQ9764911,113299051,20uL HNO3,,
379,U1533,B,2,H,5,33,33.050,32.499,32.546,42.740,42.790,Strontium,Sr (µM),84.51,460.733,,,,2019-03-03 16:02:04,LIQ9764911,113299051,20uL HNO3,,
379,U1533,B,3,H,2,37.96,38.010,37.793,37.840,50.130,50.180,Boron,B (mM),487.97,249.678,,,,2019-03-03 15:28:07,LIQ9765401,113298771,20uL HNO3,,
379,U1533,B,3,H,2,37.96,38.010,37.793,37.840,50.130,50.180,Boron,B (mM),492.82,249.772,,,,2019-03-03 15:28:07,LIQ9765401,113298771,20uL HNO3,,
379,U1533,B,3,H,2,37.96,38.010,37.793,37.840,50.130,50.180,Barium,Ba (µM),rejected,230.424,,,,2019-03-03 15:28:07,LIQ9765401,113298771,20uL HNO3,,
379,U1533,B,3,H,2,37.96,38.010,37.793,37.840,50.130,50.180,Barium,Ba (µM),0.91,455.403,,,,2019-03-03 15:28:07,LIQ9765401,113298771,20uL HNO3,,
379,U1533,B,3,H,2,37.96,38.010,37.793,37.840,50.130,50.180,Calcium,Ca (mM),12.86,315.887,,,,2019-03-03 15:28:07,LIQ9765401,113298771,20uL HNO3,,
379,U1533,B,3,H,2,37.96,38.010,37.793,37.840,50.130,50.180,Calcium,Ca (mM),12.87,317.933,,,,2019-03-03 15:28:07,LIQ9765401,113298771,20uL HNO3,,
379,U1533,B,3,H,2,37.96,38.010,37.793,37.840,50.130,50.180,Calcium,Ca (mM),12.76,318.127,,,,2019-03-03 15:28:07,LIQ9765401,113298771,20uL HNO3,,
379,U1533,B,3,H,2,37.96,38.010,37.793,37.840,50.130,50.180,Iron,Fe (µM),bdl,238.204,,,,2019-03-03 15:28:07,LIQ9765401,113298771,20uL HNO3,,
379,U1533,B,3,H,2,37.96,38.010,37.793,37.840,50.130,50.180,Iron,Fe (µM),bdl,239.563,,,,2019-03-03 15:28:07,LIQ9765401,113298771,20uL HNO3,,
379,U1533,B,3,H,2,37.96,38.010,37.793,37.840,50.130,50.180,Iron,Fe (µM),bdl,259.94,,,,2019-03-03 15:28:07,LIQ9765401,113298771,20uL HNO3,,
