Exp,Site,Hole,Core,Type,Sect,Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Element name,Element symbol,Concentration,Wavelength (nm),Excel filename,ICP file filename,Raw data filename,Timestamp (UTC),Text ID,Test No.,Sample comments,Test comments,Result comments
379,U1532,B,2,H,6,101.98,102.030,101.519,101.566,Boron,B (mM),302.83,249.678,,,,2019-02-08 05:28:03,LIQ9718611,112887031,20uL HNO3,,
379,U1532,B,2,H,6,101.98,102.030,101.519,101.566,Boron,B (mM),302.94,249.772,,,,2019-02-08 05:28:03,LIQ9718611,112887031,20uL HNO3,,
379,U1532,B,2,H,6,101.98,102.030,101.519,101.566,Barium,Ba (µM),1.27,230.424,,,,2019-02-08 05:28:03,LIQ9718611,112887031,20uL HNO3,,
379,U1532,B,2,H,6,101.98,102.030,101.519,101.566,Barium,Ba (µM),1.36,455.403,,,,2019-02-08 05:28:03,LIQ9718611,112887031,20uL HNO3,,
379,U1532,B,2,H,6,101.98,102.030,101.519,101.566,Calcium,Ca (mM),19.53,315.887,,,,2019-02-08 05:28:03,LIQ9718611,112887031,20uL HNO3,,
379,U1532,B,2,H,6,101.98,102.030,101.519,101.566,Calcium,Ca (mM),19.77,317.933,,,,2019-02-08 05:28:03,LIQ9718611,112887031,20uL HNO3,,
379,U1532,B,2,H,6,101.98,102.030,101.519,101.566,Calcium,Ca (mM),19.87,318.127,,,,2019-02-08 05:28:03,LIQ9718611,112887031,20uL HNO3,,
379,U1532,B,2,H,6,101.98,102.030,101.519,101.566,Iron,Fe (µM),1.67,238.204,,,,2019-02-08 05:28:03,LIQ9718611,112887031,20uL HNO3,,
379,U1532,B,2,H,6,101.98,102.030,101.519,101.566,Iron,Fe (µM),1.74,239.563,,,,2019-02-08 05:28:03,LIQ9718611,112887031,20uL HNO3,,
379,U1532,B,2,H,6,101.98,102.030,101.519,101.566,Iron,Fe (µM),1.19,259.94,,,,2019-02-08 05:28:03,LIQ9718611,112887031,20uL HNO3,,
379,U1532,B,2,H,6,101.98,102.030,101.519,101.566,Potassium,K (mM),5.32,766.491,,,,2019-02-08 05:28:03,LIQ9718611,112887031,20uL HNO3,,
379,U1532,B,2,H,6,101.98,102.030,101.519,101.566,Potassium,K (mM),4.97,769.897,,,,2019-02-08 05:28:03,LIQ9718611,112887031,20uL HNO3,,
379,U1532,B,2,H,6,101.98,102.030,101.519,101.566,Lithium,Li (µM),99.29,670.783,,,,2019-02-08 05:28:03,LIQ9718611,112887031,20uL HNO3,,
379,U1532,B,2,H,6,101.98,102.030,101.519,101.566,Magnesium,Mg (mM),47.84,202.582,,,,2019-02-08 05:28:03,LIQ9718611,112887031,20uL HNO3,,
379,U1532,B,2,H,6,101.98,102.030,101.519,101.566,Magnesium,Mg (mM),47.16,277.983,,,,2019-02-08 05:28:03,LIQ9718611,112887031,20uL HNO3,,
379,U1532,B,2,H,6,101.98,102.030,101.519,101.566,Magnesium,Mg (mM),47.58,279.078,,,,2019-02-08 05:28:03,LIQ9718611,112887031,20uL HNO3,,
379,U1532,B,2,H,6,101.98,102.030,101.519,101.566,Manganese,Mn (µM),67.44,257.61,,,,2019-02-08 05:28:03,LIQ9718611,112887031,20uL HNO3,,
379,U1532,B,2,H,6,101.98,102.030,101.519,101.566,Manganese,Mn (µM),65.66,259.372,,,,2019-02-08 05:28:03,LIQ9718611,112887031,20uL HNO3,,
379,U1532,B,2,H,6,101.98,102.030,101.519,101.566,Sodium,Na (mM),459.75,330.298,,,,2019-02-08 05:28:03,LIQ9718611,112887031,20uL HNO3,,
379,U1532,B,2,H,6,101.98,102.030,101.519,101.566,Sodium,Na (mM),461.87,589.592,,,,2019-02-08 05:28:03,LIQ9718611,112887031,20uL HNO3,,
379,U1532,B,2,H,6,101.98,102.030,101.519,101.566,Phosphorus,P (µM),2.51,213.618,,,,2019-02-08 05:28:03,LIQ9718611,112887031,20uL HNO3,,
