Exp,Site,Hole,Core,Type,Sect,Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Element name,Element symbol,Concentration,Wavelength (nm),Excel filename,ICP file filename,Raw data filename,Timestamp (UTC),Text ID,Test No.,Sample comments,Test comments,Result comments
379,U1532,G,2,R,4,378.13,378.230,378.130,378.230,Boron,B (mM),251.07,249.678,,,,2019-02-25 06:51:43,LIQ9741531,113081371,20uL HNO3,,
379,U1532,G,2,R,4,378.13,378.230,378.130,378.230,Boron,B (mM),251.17,249.772,,,,2019-02-25 06:51:43,LIQ9741531,113081371,20uL HNO3,,
379,U1532,G,2,R,4,378.13,378.230,378.130,378.230,Barium,Ba (µM),1.6,230.424,,,,2019-02-25 06:51:43,LIQ9741531,113081371,20uL HNO3,,
379,U1532,G,2,R,4,378.13,378.230,378.130,378.230,Barium,Ba (µM),1.98,455.403,,,,2019-02-25 06:51:43,LIQ9741531,113081371,20uL HNO3,,
379,U1532,G,2,R,4,378.13,378.230,378.130,378.230,Calcium,Ca (mM),29.95,315.887,,,,2019-02-25 06:51:43,LIQ9741531,113081371,20uL HNO3,,
379,U1532,G,2,R,4,378.13,378.230,378.130,378.230,Calcium,Ca (mM),29.68,317.933,,,,2019-02-25 06:51:43,LIQ9741531,113081371,20uL HNO3,,
379,U1532,G,2,R,4,378.13,378.230,378.130,378.230,Calcium,Ca (mM),29.9,318.127,,,,2019-02-25 06:51:43,LIQ9741531,113081371,20uL HNO3,,
379,U1532,G,2,R,4,378.13,378.230,378.130,378.230,Iron,Fe (µM),bdl,238.204,,,,2019-02-25 06:51:43,LIQ9741531,113081371,20uL HNO3,,
379,U1532,G,2,R,4,378.13,378.230,378.130,378.230,Iron,Fe (µM),bdl,239.563,,,,2019-02-25 06:51:43,LIQ9741531,113081371,20uL HNO3,,
379,U1532,G,2,R,4,378.13,378.230,378.130,378.230,Iron,Fe (µM),bdl,259.94,,,,2019-02-25 06:51:43,LIQ9741531,113081371,20uL HNO3,,
379,U1532,G,2,R,4,378.13,378.230,378.130,378.230,Potassium,K (mM),2.3,766.491,,,,2019-02-25 06:51:43,LIQ9741531,113081371,20uL HNO3,,
379,U1532,G,2,R,4,378.13,378.230,378.130,378.230,Potassium,K (mM),2.2,769.897,,,,2019-02-25 06:51:43,LIQ9741531,113081371,20uL HNO3,,
379,U1532,G,2,R,4,378.13,378.230,378.130,378.230,Lithium,Li (µM),457.24,670.783,,,,2019-02-25 06:51:43,LIQ9741531,113081371,20uL HNO3,,
379,U1532,G,2,R,4,378.13,378.230,378.130,378.230,Magnesium,Mg (mM),35.47,202.582,,,,2019-02-25 06:51:43,LIQ9741531,113081371,20uL HNO3,,
379,U1532,G,2,R,4,378.13,378.230,378.130,378.230,Magnesium,Mg (mM),34.9,277.983,,,,2019-02-25 06:51:43,LIQ9741531,113081371,20uL HNO3,,
379,U1532,G,2,R,4,378.13,378.230,378.130,378.230,Magnesium,Mg (mM),34.58,279.078,,,,2019-02-25 06:51:43,LIQ9741531,113081371,20uL HNO3,,
379,U1532,G,2,R,4,378.13,378.230,378.130,378.230,Manganese,Mn (µM),39.08,257.61,,,,2019-02-25 06:51:43,LIQ9741531,113081371,20uL HNO3,,
379,U1532,G,2,R,4,378.13,378.230,378.130,378.230,Manganese,Mn (µM),38.5,259.372,,,,2019-02-25 06:51:43,LIQ9741531,113081371,20uL HNO3,,
379,U1532,G,2,R,4,378.13,378.230,378.130,378.230,Sodium,Na (mM),463.19,330.298,,,,2019-02-25 06:51:43,LIQ9741531,113081371,20uL HNO3,,
379,U1532,G,2,R,4,378.13,378.230,378.130,378.230,Sodium,Na (mM),470.52,589.592,,,,2019-02-25 06:51:43,LIQ9741531,113081371,20uL HNO3,,
379,U1532,G,2,R,4,378.13,378.230,378.130,378.230,Phosphorus,P (µM),rejected,213.618,,,,2019-02-25 06:51:43,LIQ9741531,113081371,20uL HNO3,,
379,U1532,G,2,R,4,378.13,378.230,378.130,378.230,Sulfur,S (mM),9.21,182.562,,,,2019-02-25 06:51:43,LIQ9741531,113081371,20uL HNO3,,
379,U1532,G,2,R,4,378.13,378.230,378.130,378.230,Silicon,Si (µM),341.79,221.667,,,,2019-02-25 06:51:43,LIQ9741531,113081371,20uL HNO3,,
379,U1532,G,2,R,4,378.13,378.230,378.130,378.230,Silicon,Si (µM),343.03,251.611,,,,2019-02-25 06:51:43,LIQ9741531,113081371,20uL HNO3,,
379,U1532,G,2,R,4,378.13,378.230,378.130,378.230,Silicon,Si (µM),340.85,288.158,,,,2019-02-25 06:51:43,LIQ9741531,113081371,20uL HNO3,,
379,U1532,G,2,R,4,378.13,378.230,378.130,378.230,Strontium,Sr (µM),186.73,407.771,,,,2019-02-25 06:51:43,LIQ9741531,113081371,20uL HNO3,,
379,U1532,G,2,R,4,378.13,378.230,378.130,378.230,Strontium,Sr (µM),187.83,421.552,,,,2019-02-25 06:51:43,LIQ9741531,113081371,20uL HNO3,,
379,U1532,G,2,R,4,378.13,378.230,378.130,378.230,Strontium,Sr (µM),184.26,460.733,,,,2019-02-25 06:51:43,LIQ9741531,113081371,20uL HNO3,,
379,U1532,G,4,R,5,398.7,398.800,398.700,398.800,Boron,B (mM),326.53,249.678,,,,2019-02-25 06:49:38,LIQ9742001,113081301,20uL HNO3,,
379,U1532,G,4,R,5,398.7,398.800,398.700,398.800,Boron,B (mM),326.01,249.772,,,,2019-02-25 06:49:38,LIQ9742001,113081301,20uL HNO3,,
379,U1532,G,4,R,5,398.7,398.800,398.700,398.800,Barium,Ba (µM),1.77,230.424,,,,2019-02-25 06:49:38,LIQ9742001,113081301,20uL HNO3,,
379,U1532,G,4,R,5,398.7,398.800,398.700,398.800,Barium,Ba (µM),2.16,455.403,,,,2019-02-25 06:49:38,LIQ9742001,113081301,20uL HNO3,,
379,U1532,G,4,R,5,398.7,398.800,398.700,398.800,Calcium,Ca (mM),29.5,315.887,,,,2019-02-25 06:49:38,LIQ9742001,113081301,20uL HNO3,,
379,U1532,G,4,R,5,398.7,398.800,398.700,398.800,Calcium,Ca (mM),29.45,317.933,,,,2019-02-25 06:49:38,LIQ9742001,113081301,20uL HNO3,,
379,U1532,G,4,R,5,398.7,398.800,398.700,398.800,Calcium,Ca (mM),29.69,318.127,,,,2019-02-25 06:49:38,LIQ9742001,113081301,20uL HNO3,,
379,U1532,G,4,R,5,398.7,398.800,398.700,398.800,Iron,Fe (µM),rejected,238.204,,,,2019-02-25 06:49:38,LIQ9742001,113081301,20uL HNO3,,
379,U1532,G,4,R,5,398.7,398.800,398.700,398.800,Iron,Fe (µM),rejected,239.563,,,,2019-02-25 06:49:38,LIQ9742001,113081301,20uL HNO3,,
379,U1532,G,4,R,5,398.7,398.800,398.700,398.800,Iron,Fe (µM),rejected,259.94,,,,2019-02-25 06:49:38,LIQ9742001,113081301,20uL HNO3,,
379,U1532,G,4,R,5,398.7,398.800,398.700,398.800,Potassium,K (mM),2.73,766.491,,,,2019-02-25 06:49:38,LIQ9742001,113081301,20uL HNO3,,
379,U1532,G,4,R,5,398.7,398.800,398.700,398.800,Potassium,K (mM),2.58,769.897,,,,2019-02-25 06:49:38,LIQ9742001,113081301,20uL HNO3,,
379,U1532,G,4,R,5,398.7,398.800,398.700,398.800,Lithium,Li (µM),462.8,670.783,,,,2019-02-25 06:49:38,LIQ9742001,113081301,20uL HNO3,,
379,U1532,G,4,R,5,398.7,398.800,398.700,398.800,Magnesium,Mg (mM),36.56,202.582,,,,2019-02-25 06:49:38,LIQ9742001,113081301,20uL HNO3,,
379,U1532,G,4,R,5,398.7,398.800,398.700,398.800,Magnesium,Mg (mM),35.99,277.983,,,,2019-02-25 06:49:38,LIQ9742001,113081301,20uL HNO3,,
379,U1532,G,4,R,5,398.7,398.800,398.700,398.800,Magnesium,Mg (mM),35.68,279.078,,,,2019-02-25 06:49:38,LIQ9742001,113081301,20uL HNO3,,
379,U1532,G,4,R,5,398.7,398.800,398.700,398.800,Manganese,Mn (µM),49.51,257.61,,,,2019-02-25 06:49:38,LIQ9742001,113081301,20uL HNO3,,
379,U1532,G,4,R,5,398.7,398.800,398.700,398.800,Manganese,Mn (µM),49.2,259.372,,,,2019-02-25 06:49:38,LIQ9742001,113081301,20uL HNO3,,
379,U1532,G,4,R,5,398.7,398.800,398.700,398.800,Sodium,Na (mM),459.66,330.298,,,,2019-02-25 06:49:38,LIQ9742001,113081301,20uL HNO3,,
379,U1532,G,4,R,5,398.7,398.800,398.700,398.800,Sodium,Na (mM),466.31,589.592,,,,2019-02-25 06:49:38,LIQ9742001,113081301,20uL HNO3,,
379,U1532,G,4,R,5,398.7,398.800,398.700,398.800,Phosphorus,P (µM),rejected,213.618,,,,2019-02-25 06:49:38,LIQ9742001,113081301,20uL HNO3,,
379,U1532,G,4,R,5,398.7,398.800,398.700,398.800,Sulfur,S (mM),9.57,182.562,,,,2019-02-25 06:49:38,LIQ9742001,113081301,20uL HNO3,,
379,U1532,G,4,R,5,398.7,398.800,398.700,398.800,Silicon,Si (µM),277.7,221.667,,,,2019-02-25 06:49:38,LIQ9742001,113081301,20uL HNO3,,
379,U1532,G,4,R,5,398.7,398.800,398.700,398.800,Silicon,Si (µM),274.64,251.611,,,,2019-02-25 06:49:38,LIQ9742001,113081301,20uL HNO3,,
379,U1532,G,4,R,5,398.7,398.800,398.700,398.800,Silicon,Si (µM),273.51,288.158,,,,2019-02-25 06:49:38,LIQ9742001,113081301,20uL HNO3,,
379,U1532,G,4,R,5,398.7,398.800,398.700,398.800,Strontium,Sr (µM),186.61,407.771,,,,2019-02-25 06:49:38,LIQ9742001,113081301,20uL HNO3,,
379,U1532,G,4,R,5,398.7,398.800,398.700,398.800,Strontium,Sr (µM),188.17,421.552,,,,2019-02-25 06:49:38,LIQ9742001,113081301,20uL HNO3,,
379,U1532,G,4,R,5,398.7,398.800,398.700,398.800,Strontium,Sr (µM),182.31,460.733,,,,2019-02-25 06:49:38,LIQ9742001,113081301,20uL HNO3,,
379,U1532,G,5,R,6,408.94,409.040,408.940,409.040,Boron,B (mM),296.36,249.678,,,,2019-02-25 06:48:00,LIQ9742491,113081261,20uL HNO3,,
379,U1532,G,5,R,6,408.94,409.040,408.940,409.040,Boron,B (mM),292.93,249.772,,,,2019-02-25 06:48:00,LIQ9742491,113081261,20uL HNO3,,
379,U1532,G,5,R,6,408.94,409.040,408.940,409.040,Barium,Ba (µM),1.8,230.424,,,,2019-02-25 06:48:00,LIQ9742491,113081261,20uL HNO3,,
379,U1532,G,5,R,6,408.94,409.040,408.940,409.040,Barium,Ba (µM),2.16,455.403,,,,2019-02-25 06:48:00,LIQ9742491,113081261,20uL HNO3,,
379,U1532,G,5,R,6,408.94,409.040,408.940,409.040,Calcium,Ca (mM),32.41,315.887,,,,2019-02-25 06:48:00,LIQ9742491,113081261,20uL HNO3,,
