Exp,Site,Hole,Core,Type,Sect,Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Element name,Element symbol,Concentration,Wavelength (nm),Excel filename,ICP file filename,Raw data filename,Timestamp (UTC),Text ID,Test No.,Sample comments,Test comments,Result comments
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,Boron,B (mM),467.32,249.678,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,Boron,B (mM),467.41,249.772,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,Barium,Ba (µM),0.48,230.424,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,Barium,Ba (µM),0.95,455.403,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,Calcium,Ca (mM),10.37,315.887,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,Calcium,Ca (mM),10.5,317.933,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,Calcium,Ca (mM),10.31,318.127,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,Iron,Fe (µM),rejected,238.204,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,Iron,Fe (µM),bdl,239.563,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,Iron,Fe (µM),bdl,259.94,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,Potassium,K (mM),11.12,766.491,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,Potassium,K (mM),11.13,769.897,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,Lithium,Li (µM),24.45,670.783,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,Magnesium,Mg (mM),50.25,202.582,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,Magnesium,Mg (mM),48.99,277.983,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,Magnesium,Mg (mM),49.61,279.078,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,Manganese,Mn (µM),0.84,257.61,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,Manganese,Mn (µM),0.91,259.372,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,Sodium,Na (mM),458.11,330.298,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,Sodium,Na (mM),458.06,589.592,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,Phosphorus,P (µM),rejected,213.618,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,Sulfur,S (mM),27.58,182.562,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,Silicon,Si (µM),475.03,221.667,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,Silicon,Si (µM),469.96,251.611,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,Silicon,Si (µM),469.9,288.158,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,Strontium,Sr (µM),82.38,407.771,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,Strontium,Sr (µM),84.83,421.552,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,1,1.46,1.510,1.434,1.483,Strontium,Sr (µM),82.15,460.733,,,,2019-03-03 16:04:20,LIQ9763121,113299081,20uL HNO3,,
379,U1533,A,1,H,3,4.48,4.530,4.401,4.450,Boron,B (mM),451,249.678,,,,2019-03-03 15:33:44,LIQ9763211,113298861,20uL HNO3,,
379,U1533,A,1,H,3,4.48,4.530,4.401,4.450,Boron,B (mM),451.77,249.772,,,,2019-03-03 15:33:44,LIQ9763211,113298861,20uL HNO3,,
379,U1533,A,1,H,3,4.48,4.530,4.401,4.450,Barium,Ba (µM),0.4,230.424,,,,2019-03-03 15:33:44,LIQ9763211,113298861,20uL HNO3,,
379,U1533,A,1,H,3,4.48,4.530,4.401,4.450,Barium,Ba (µM),0.87,455.403,,,,2019-03-03 15:33:44,LIQ9763211,113298861,20uL HNO3,,
379,U1533,A,1,H,3,4.48,4.530,4.401,4.450,Calcium,Ca (mM),10.57,315.887,,,,2019-03-03 15:33:44,LIQ9763211,113298861,20uL HNO3,,
379,U1533,A,1,H,3,4.48,4.530,4.401,4.450,Calcium,Ca (mM),10.63,317.933,,,,2019-03-03 15:33:44,LIQ9763211,113298861,20uL HNO3,,
379,U1533,A,1,H,3,4.48,4.530,4.401,4.450,Calcium,Ca (mM),10.5,318.127,,,,2019-03-03 15:33:44,LIQ9763211,113298861,20uL HNO3,,
379,U1533,A,1,H,3,4.48,4.530,4.401,4.450,Iron,Fe (µM),bdl,238.204,,,,2019-03-03 15:33:44,LIQ9763211,113298861,20uL HNO3,,
379,U1533,A,1,H,3,4.48,4.530,4.401,4.450,Iron,Fe (µM),bdl,239.563,,,,2019-03-03 15:33:44,LIQ9763211,113298861,20uL HNO3,,
379,U1533,A,1,H,3,4.48,4.530,4.401,4.450,Iron,Fe (µM),bdl,259.94,,,,2019-03-03 15:33:44,LIQ9763211,113298861,20uL HNO3,,
379,U1533,A,1,H,3,4.48,4.530,4.401,4.450,Potassium,K (mM),11.11,766.491,,,,2019-03-03 15:33:44,LIQ9763211,113298861,20uL HNO3,,
379,U1533,A,1,H,3,4.48,4.530,4.401,4.450,Potassium,K (mM),11.16,769.897,,,,2019-03-03 15:33:44,LIQ9763211,113298861,20uL HNO3,,
379,U1533,A,1,H,3,4.48,4.530,4.401,4.450,Lithium,Li (µM),25.36,670.783,,,,2019-03-03 15:33:44,LIQ9763211,113298861,20uL HNO3,,
