Exp,Site,Hole,Core,Type,Sect,Top offset (cm),Bottom offset (cm),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Salinity,Timestamp (UTC),Text ID,Test No.,Sample comments,Test comments,Result comments
379,U1532,A,1,H,1,145.0,150.0,1.45,1.500,1.442,1.492,35,2019-02-02 09:46:58,LIQ9710461,112737571,"shipboard, untreated",,
379,U1532,A,1,H,3,145.0,150.0,4.45,4.500,4.426,4.476,35,2019-02-02 09:46:59,LIQ9710561,112737581,"shipboard, untreated",,
379,U1532,A,2,H,1,144.0,149.0,7.04,7.090,6.989,7.037,35,2019-02-02 09:47:00,LIQ9711101,112737591,"shipboard, untreated",,
379,U1532,A,2,H,3,144.0,149.0,10.03,10.080,9.873,9.921,35,2019-02-02 09:47:02,LIQ9711201,112737601,"shipboard, untreated",,
379,U1532,A,2,H,5,145.0,150.0,13.03,13.080,12.767,12.815,35,2019-02-02 09:47:03,LIQ9711301,112737611,"shipboard, untreated",,
379,U1532,A,3,H,2,144.0,149.0,18.04,18.090,17.921,17.969,35,2019-02-02 09:47:04,LIQ9711841,112737621,"shipboard, untreated",,
379,U1532,A,3,H,5,144.0,149.0,22.53,22.580,22.230,22.278,35,2019-02-02 09:47:05,LIQ9711941,112737631,"shipboard, untreated",,
379,U1532,A,4,H,2,145.0,150.0,27.55,27.600,27.463,27.512,35,2019-02-02 09:47:06,LIQ9712781,112737641,"shipboard, untreated",,
379,U1532,A,4,H,5,145.0,150.0,32.04,32.090,31.820,31.869,35,2019-02-02 09:47:07,LIQ9712871,112737651,"shipboard, untreated",,
379,U1532,A,5,H,2,145.0,150.0,37.05,37.100,36.905,36.953,35,2019-02-02 09:47:08,LIQ9713401,112737661,"shipboard, untreated",,
379,U1532,A,5,H,5,145.0,150.0,41.55,41.600,41.185,41.233,35,2019-02-02 09:47:09,LIQ9713491,112737671,"shipboard, untreated",,
379,U1532,A,6,H,2,144.0,149.0,46.55,46.600,46.397,46.444,35,2019-02-02 09:47:11,LIQ9713581,112737681,"shipboard, untreated",,
379,U1532,A,6,H,5,145.0,150.0,51.06,51.110,50.673,50.720,35,2019-02-02 09:47:12,LIQ9713671,112737691,"shipboard, untreated",,
379,U1532,A,7,H,2,146.0,151.0,56.06,56.110,55.912,55.959,35,2019-02-02 09:47:13,LIQ9714631,112737701,"shipboard, untreated",,
379,U1532,A,7,H,5,147.0,152.0,60.59,60.640,60.216,60.264,35,2019-02-02 09:47:14,LIQ9714721,112737711,"shipboard, untreated",,
379,U1532,A,8,H,2,145.0,150.0,65.55,65.600,65.550,65.600,35,2019-02-02 09:47:15,LIQ9715301,112737731,"shipboard, untreated",,
379,U1532,A,8,H,5,145.0,150.0,70.05,70.100,70.050,70.100,35,2019-02-02 09:47:16,LIQ9715391,112737741,"shipboard, untreated",,
379,U1532,A,9,H,2,145.0,150.0,75.05,75.100,74.940,74.988,35,2019-02-02 09:47:17,LIQ9715541,112737751,"shipboard, untreated",,
379,U1532,A,9,H,5,145.0,150.0,79.55,79.600,79.271,79.319,35,2019-02-02 09:47:17,LIQ9715631,112737761,"shipboard, untreated",,
379,U1532,A,10,H,2,145.0,150.0,84.56,84.610,84.478,84.527,35,2019-02-02 09:47:18,LIQ9716101,112737771,"shipboard, untreated",,
379,U1532,A,10,H,5,152.0,157.0,89.16,89.210,88.951,89.000,35,2019-02-02 09:47:19,LIQ9716191,112737781,"shipboard, untreated",,
379,U1532,A,11,H,5,137.0,147.0,98.35,98.400,98.150,98.199,35,2019-02-02 09:47:19,LIQ9716651,112737791,"shipboard, untreated",,
