Exp,Site,Hole,Core,Type,Sect,Top offset (cm),Bottom offset (cm),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Salinity,Timestamp (UTC),Text ID,Test No.,Sample comments,Test comments,Result comments
379,U1532,C,3,F,2,136.0,146.0,185.86,185.960,185.641,185.733,35,2019-03-09 12:29:52,LIQ9725971,113332321,"shipboard, untreated",,
379,U1532,C,5,F,2,137.0,147.0,195.28,195.380,195.055,195.147,35,2019-03-09 12:29:53,LIQ9726551,113332331,"shipboard, untreated",,
379,U1532,C,7,F,2,135.0,145.0,204.66,204.760,204.436,204.528,35,2019-03-09 12:29:54,LIQ9727391,113332341,"shipboard, untreated",,
379,U1532,C,9,F,2,136.0,146.0,214.06,214.160,213.883,213.977,35,2019-03-09 12:29:55,LIQ9728051,113332351,"shipboard, untreated",,
379,U1532,C,11,F,2,136.0,146.0,223.47,223.570,223.287,223.381,35,2019-03-09 12:29:56,LIQ9728831,113332361,,,
379,U1532,C,14,F,2,135.0,145.0,237.55,237.650,237.311,237.403,35,2019-03-09 12:29:57,LIQ9729781,113332371,"shipboard, untreated",,
379,U1532,C,16,F,2,135.0,145.0,246.95,247.050,246.741,246.834,35,2019-03-09 12:29:58,LIQ9730831,113332381,"shipboard, untreated",,
379,U1532,C,18,F,2,134.0,144.0,256.35,256.450,256.223,256.319,35,2019-03-09 12:29:59,LIQ9731731,113332391,"shipboard, untreated",,
379,U1532,C,22,X,3,136.0,146.0,285.77,285.870,285.770,285.870,35,2019-03-09 12:30:00,LIQ9733111,113332401,"shipboard, untreated",,
379,U1532,C,23,X,3,137.0,147.0,295.38,295.480,295.250,295.347,35,2019-03-09 12:30:01,LIQ9733771,113332411,"shipboard, untreated",,
379,U1532,C,24,X,3,135.0,145.0,304.86,304.960,304.860,304.960,35,2019-03-09 12:30:02,LIQ9734241,113332421,"shipboard, untreated",,
379,U1532,C,25,X,3,136.0,146.0,314.45,314.550,314.293,314.389,35,2019-03-09 12:30:04,LIQ9735151,113332431,,,
379,U1532,C,26,X,3,135.0,145.0,324.05,324.150,324.050,324.150,35,2019-03-09 12:30:05,LIQ9735701,113332441,,,
379,U1532,C,27,X,2,135.0,145.0,332.05,332.150,332.050,332.150,34.5,2019-03-09 12:30:07,LIQ9736131,113332451,shipboard untreated,,
379,U1532,C,29,X,3,130.0,145.0,352.7,352.850,352.691,352.841,34,2019-03-09 12:30:08,LIQ9736861,113332461,shipboard untreated,,
379,U1532,C,30,X,5,131.0,146.0,365.35,365.500,365.186,365.333,34,2019-03-09 12:30:09,LIQ9737541,113332471,shipboard untreated,,
379,U1532,C,31,X,4,131.0,146.0,373.44,373.590,373.229,373.374,33,2019-03-09 12:30:11,LIQ9738111,113332481,shipboard untreated,,
379,U1532,C,32,X,4,131.0,146.0,382.97,383.120,382.824,382.970,34,2019-03-09 12:30:12,LIQ9738691,113332491,shipboard untreated,,
379,U1532,C,33,X,2,131.0,146.0,389.62,389.770,389.620,389.770,34,2019-03-09 12:30:14,LIQ9739061,113332501,shipboard untreated,,
