Exp,Site,Hole,Core,Type,Sect,Top offset (cm),Bottom offset (cm),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Salinity,Timestamp (UTC),Text ID,Test No.,Sample comments,Test comments,Result comments
379,U1533,B,2,H,5,145.0,150.0,33,33.050,32.499,32.546,35,2019-03-09 12:30:49,LIQ9764891,113332731,shipboard untreated,,
379,U1533,B,3,H,2,145.0,150.0,37.96,38.010,37.793,37.840,35,2019-03-09 12:30:50,LIQ9765381,113332741,shipboard untreated,,
379,U1533,B,3,H,5,145.0,150.0,42.49,42.540,42.066,42.113,35,2019-03-09 12:30:51,LIQ9765471,113332751,shipboard untreated,,
379,U1533,B,4,H,2,145.0,150.0,47.45,47.500,47.383,47.432,35,2019-03-09 12:30:52,LIQ9765871,113332761,shipboard untreated,,
379,U1533,B,4,H,5,143.0,148.0,51.93,51.980,51.762,51.811,34.5,2019-03-09 12:30:53,LIQ9765961,113332771,shipboard untreated,,
379,U1533,B,5,H,2,145.0,150.0,56.95,57.000,56.836,56.884,34.5,2019-03-09 12:30:54,LIQ9766741,113332781,shipboard untreated,,
379,U1533,B,5,H,5,142.0,147.0,61.36,61.410,61.076,61.124,35,2019-03-09 12:30:56,LIQ9766831,113332791,shipboard untreated,,
379,U1533,B,6,H,2,141.0,146.0,66.37,66.420,66.268,66.316,35,2019-03-09 12:30:57,LIQ9767321,113332801,shipboard untreated,,
379,U1533,B,6,H,5,141.0,146.0,70.79,70.840,70.531,70.579,35,2019-03-09 12:30:58,LIQ9767411,113332811,shipboard untreated,,
379,U1533,B,7,H,2,145.0,150.0,75.91,75.960,75.792,75.840,35,2019-03-09 12:30:59,LIQ9767901,113332821,shipboard untreated,,
379,U1533,B,7,H,5,142.0,147.0,80.33,80.380,80.034,80.082,35,2019-03-09 12:31:00,LIQ9767991,113332831,shipboard untreated,,
379,U1533,B,8,H,2,144.0,149.0,85.41,85.460,85.323,85.372,35,2019-03-09 12:31:01,LIQ9768951,113332841,shipboard untreated,,
379,U1533,B,8,H,5,144.0,149.0,89.86,89.910,89.642,89.691,35,2019-03-09 12:31:03,LIQ9769041,113332851,shipboard untreated,,
379,U1533,B,9,H,2,141.0,146.0,94.87,94.920,94.870,94.920,35,2019-03-09 12:31:04,LIQ9770101,113332861,shipboard untreated,,
379,U1533,B,9,H,5,141.0,146.0,99.26,99.310,99.260,99.310,35,2019-03-09 12:31:05,LIQ9770221,113332871,shipboard untreated,,
379,U1533,B,10,H,5,141.0,146.0,108.78,108.830,108.637,108.686,35,2019-03-09 12:31:06,LIQ9770821,113332881,shipboard untreated,,
379,U1533,B,11,H,5,138.0,148.0,118.26,118.310,117.815,117.862,35,2019-03-09 12:31:07,LIQ9771401,113332891,shipboard untreated,,
379,U1533,B,12,H,5,134.0,144.0,127.72,127.770,127.198,127.244,35,2019-03-09 12:31:08,LIQ9771531,113332901,shipboard untreated,,
379,U1533,B,13,H,4,138.0,148.0,135.78,135.830,135.480,135.527,35,2019-03-09 12:31:09,LIQ9773021,113332911,shipboard untreated,,
379,U1533,B,14,H,4,138.0,148.0,145.29,145.390,145.006,145.101,35,2019-03-09 12:31:11,LIQ9773611,113332921,shipboard untreated,,
379,U1533,B,15,H,4,137.0,147.0,154.77,154.870,154.449,154.543,35,2019-03-09 12:31:12,LIQ9774191,113332931,shipboard untreated,,
379,U1533,B,16,H,7,98.0,108.0,168.16,168.260,167.506,167.599,35,2019-03-09 12:31:13,LIQ9774821,113332941,shipboard untreated,,
379,U1533,B,17,H,1,141.0,151.0,169.41,169.510,169.350,169.446,35,2019-03-09 12:31:14,LIQ9774921,113332951,shipboard untreated,,
379,U1533,B,18,H,5,136.0,146.0,184.75,184.850,184.750,184.850,35,2019-03-09 12:31:16,LIQ9775601,113332961,shipboard untreated,,
379,U1533,B,20,F,2,135.0,145.0,194.56,194.660,194.383,194.477,35,2019-03-09 12:31:17,LIQ9781191,113332971,shipboard untreated,,
379,U1533,B,22,F,2,137.0,147.0,203.98,204.080,203.980,204.080,34,2019-03-09 12:31:18,LIQ9782201,113332981,shipboard untreated,,
379,U1533,B,24,X,4,132.0,147.0,220.12,220.270,220.120,220.270,35,2019-03-09 12:31:19,LIQ9782971,113332991,shipboard untreated,,
379,U1533,B,26,X,2,130.0,145.0,236.2,236.350,236.200,236.350,35,2019-03-09 12:31:20,LIQ9783961,113333001,shipboard untreated,,
379,U1533,B,28,X,2,131.0,146.0,255.31,255.460,255.310,255.460,34,2019-03-09 12:31:22,LIQ9784491,113333011,shipboard untreated,,
379,U1533,B,39,R,3,121.0,136.0,345.91,346.060,345.910,346.060,34,2019-03-09 12:31:23,LIQ9786641,113333021,shipboard untreated,,
379,U1533,B,42,R,3,131.0,146.0,374.82,374.970,374.820,374.970,33,2019-03-09 12:31:24,LIQ9787501,113333031,shipboard untreated,,
