Exp,Site,Hole,Core,Type,Depth CSF-A (m),Depth CSF-B (m),Hx (nT),Hv (nT),Azimuth (deg),Dip (deg),Tool acceleration (g),Magnetic dip (deg),Total magnetic field (nT),Magnetic tool face (deg),Temperature (deg C),Tool ID,Excel filename,Timestamp (UTC),Text ID,Test No.,Sample comments,Test comments,Result comments
379,U1532,A,1,H,0,0.000,-4080,-18802,104.8,-89.6,,64.1,43979,102.5,-0.3,Icefield 2007,379-ORIENT-47959771-Exp379_U1532A_1.xlsx,2019-02-07 14:24:06,CORE9710041,112871171,,,
379,U1532,A,2,H,5.6,5.600,15306,6945,175.7,-88.9,,52.3,41225,302.6,-0.2,Icefield 2007,379-ORIENT-47959771-Exp379_U1532A_1.xlsx,2019-02-07 14:24:09,CORE9710661,112871181,,,
379,U1532,A,3,H,15.1,15.100,19186,-1763,247.1,-89.2,,63.9,43978,38.8,-0.2,Icefield 2007,379-ORIENT-47959771-Exp379_U1532A_1.xlsx,2019-02-07 14:24:13,CORE9711401,112871191,,,
379,U1532,A,4,H,24.6,24.600,18743,-4069,261.9,-88.5,,63.7,43835,21.5,-0.3,Icefield 2007,379-ORIENT-47959771-Exp379_U1532A_1.xlsx,2019-02-07 14:24:16,CORE9711831,112871201,,,
379,U1532,A,5,H,34.1,34.100,-12784,15081,234.1,-89.1,,62.4,43573,228.3,-0.2,Icefield 2007,379-ORIENT-47959771-Exp379_U1532A_1.xlsx,2019-02-07 14:24:19,CORE9712421,112871231,,,
379,U1532,A,6,H,43.6,43.600,-18146,9077,247,-89.3,,62.3,44037,205.4,-0.2,Icefield 2007,379-ORIENT-47959771-Exp379_U1532A_1.xlsx,2019-02-07 14:24:27,CORE9713011,112871251,,,
379,U1532,A,7,H,53.1,53.100,-2071,19910,255.3,-89,,62.5,43704,262.2,-0.3,Icefield 2007,379-ORIENT-47959771-Exp379_U1532A_1.xlsx,2019-02-07 14:24:29,CORE9713761,112871261,,,
379,U1532,A,8,H,62.6,62.600,6218,-19219,261.3,-89.1,,61.6,43022,70.6,1.0,Icefield 2043,379-ORIENT-47932691-Exp379_U1532A_2.xlsx,2019-02-07 11:53:43,CORE9714231,112862251,,,
379,U1532,A,9,H,72.1,72.100,-8174,17614,267.8,-88.8,,62.6,42425,243.0,-0.5,Icefield 2043,379-ORIENT-47932691-Exp379_U1532A_2.xlsx,2019-02-07 11:53:47,CORE9714811,112862281,,,
379,U1532,A,10,H,81.6,81.600,-16396,-12126,263.1,-88.7,,61.5,42967,141.1,-0.5,Icefield 2043,379-ORIENT-47932691-Exp379_U1532A_2.xlsx,2019-02-07 14:37:21,CORE9715491,112871421,,,
379,U1532,A,11,H,91.1,91.100,-6937,18072,265.9,-88.7,,62.8,42438,246.6,-0.6,Icefield 2043,379-ORIENT-47932691-Exp379_U1532A_2.xlsx,2019-02-07 11:53:52,CORE9716281,112862321,,,
