Exp,Site,Hole,Core,Type,Sect,A/W,Top offset (cm),Top depth CSF-A (m),Top depth CSF-B (m),Treatment type,Treatment value (mT or deg C or Agico code),Inclination (deg),Declination (deg),Inclination geographic (deg),Declination geographic (deg),Total intensity (A/m),Intensity X (A/m),Intensity Y (A/m),Intensity Z (A/m),Azimuth (deg),Dip (deg),Sample type,Remasoft TXT file,Remasoft JR6ODP file,Remasoft JR6 file,Remasoft DAT file,Instrument,Timestamp (UTC),Text ID,Test No.,Sample comments,Test comments,Result comments
379,U1532,A,1,H,1,W,128.0,1.28,1.273,AD,60,-15.5,330.8,-57.3,240.4,0.027032,2.27E-02,-1.27E-02,-7.21E-03,0,90,CUBE,379-SPINNER-47949541-U1532A.txt,,379-SPINNER-47949531-U1532A.jr6,,JR6,2019-02-07 13:59:49,CUBE9715221,112868431,,,
379,U1532,A,1,H,1,W,128.0,1.28,1.273,AD,25,-17.2,3.2,-72.5,169.7,0.046808,4.46E-02,2.52E-03,-1.39E-02,0,90,CUBE,379-SPINNER-47949541-U1532A.txt,,379-SPINNER-47949531-U1532A.jr6,,JR6,2019-02-07 13:59:02,CUBE9715221,112868261,,,
379,U1532,A,1,H,1,W,128.0,1.28,1.273,AD,5,-18.4,358,-71.5,186,0.070087,6.65E-02,-2.32E-03,-2.21E-02,0,90,CUBE,379-SPINNER-47949541-U1532A.txt,,379-SPINNER-47949531-U1532A.jr6,,JR6,2019-02-07 13:58:02,CUBE9715221,112868051,,,
379,U1532,A,1,H,1,W,128.0,1.28,1.273,AD,100,-9.9,3.8,-79.4,159.1,0.017639,1.73E-02,1.16E-03,-3.02E-03,0,90,CUBE,379-SPINNER-47949541-U1532A.txt,,379-SPINNER-47949531-U1532A.jr6,,JR6,2019-02-07 14:00:49,CUBE9715221,112868631,,,
379,U1532,A,1,H,1,W,128.0,1.28,1.273,AD,20,-14,7.6,-74.1,151.9,0.049599,4.77E-02,6.39E-03,-1.20E-02,0,90,CUBE,379-SPINNER-47949541-U1532A.txt,,379-SPINNER-47949531-U1532A.jr6,,JR6,2019-02-07 13:58:35,CUBE9715221,112868171,,,
379,U1532,A,1,H,1,W,128.0,1.28,1.273,AD,40,-20.2,7.4,-68.6,160.5,0.037729,3.51E-02,4.59E-03,-1.30E-02,0,90,CUBE,379-SPINNER-47949541-U1532A.txt,,379-SPINNER-47949531-U1532A.jr6,,JR6,2019-02-07 13:59:30,CUBE9715221,112868361,,,
379,U1532,A,1,H,1,W,128.0,1.28,1.273,AD,50,-13.5,3,-76.1,167.6,0.031673,3.08E-02,1.63E-03,-7.41E-03,0,90,CUBE,379-SPINNER-47949541-U1532A.txt,,379-SPINNER-47949531-U1532A.jr6,,JR6,2019-02-07 13:59:33,CUBE9715221,112868371,,,
379,U1532,A,1,H,1,W,128.0,1.28,1.273,AD,70,-9,13.8,-73.6,123.6,0.02498,2.40E-02,5.87E-03,-3.90E-03,0,90,CUBE,379-SPINNER-47949541-U1532A.txt,,379-SPINNER-47949531-U1532A.jr6,,JR6,2019-02-07 14:00:13,CUBE9715221,112868511,,,
379,U1532,A,1,H,1,W,128.0,1.28,1.273,AD,15,-17.1,2.9,-72.6,170.7,0.055251,5.27E-02,2.68E-03,-1.63E-02,0,90,CUBE,379-SPINNER-47949541-U1532A.txt,,379-SPINNER-47949531-U1532A.jr6,,JR6,2019-02-07 13:58:32,CUBE9715221,112868161,,,
379,U1532,A,1,H,1,W,128.0,1.28,1.273,AD,10,-16.1,15,-68.1,138.1,0.060057,5.57E-02,1.50E-02,-1.67E-02,0,90,CUBE,379-SPINNER-47949541-U1532A.txt,,379-SPINNER-47949531-U1532A.jr6,,JR6,2019-02-07 13:58:12,CUBE9715221,112868091,,,
