Exp,Site,Hole,Core,Type,Sect,A/W,Top offset (cm),Top depth CSF-A (m),Top depth CSF-B (m),Treatment type,Treatment value (mT or deg C or Agico code),Inclination (deg),Declination (deg),Inclination geographic (deg),Declination geographic (deg),Total intensity (A/m),Intensity X (A/m),Intensity Y (A/m),Intensity Z (A/m),Azimuth (deg),Dip (deg),Sample type,Remasoft TXT file,Remasoft JR6ODP file,Remasoft JR6 file,Remasoft DAT file,Instrument,Timestamp (UTC),Text ID,Test No.,Sample comments,Test comments,Result comments
379,U1532,C,2,F,3,W,18.0,181.49,181.235,AD,5,-16.2,210.8,55.6,240.4,0.065436,-5.40E-02,-3.22E-02,-1.83E-02,0,90,CUBE,379-SPINNER-47935241-U1532C.txt,,379-SPINNER-47935221-U1532C.jr6,,JR6,2019-02-07 13:37:00,CUBE9727641,112863201,,,
379,U1532,C,2,F,3,W,18.0,181.49,181.235,AD,90,-18.8,205.1,59.1,231.3,0.006888,-5.91E-03,-2.76E-03,-2.21E-03,0,90,CUBE,379-SPINNER-47935241-U1532C.txt,,379-SPINNER-47935221-U1532C.jr6,,JR6,2019-02-07 13:38:17,CUBE9727641,112864421,,,
379,U1532,C,2,F,3,W,18.0,181.49,181.235,AD,30,-14.2,225.8,42.5,250.6,0.040393,-2.73E-02,-2.81E-02,-9.90E-03,0,90,CUBE,379-SPINNER-47935241-U1532C.txt,,379-SPINNER-47935221-U1532C.jr6,,JR6,2019-02-07 13:37:37,CUBE9727641,112863771,,,
379,U1532,C,2,F,3,W,18.0,181.49,181.235,AD,60,-11.7,213.1,55.1,249.2,0.012869,-1.05E-02,-6.89E-03,-2.62E-03,0,90,CUBE,379-SPINNER-47935241-U1532C.txt,,379-SPINNER-47935221-U1532C.jr6,,JR6,2019-02-07 13:38:01,CUBE9727641,112864161,,,
379,U1532,C,2,F,3,W,18.0,181.49,181.235,AD,10,-16.1,222.0,45.6,246.7,0.062969,-4.50E-02,-4.05E-02,-1.74E-02,0,90,CUBE,379-SPINNER-47935241-U1532C.txt,,379-SPINNER-47935221-U1532C.jr6,,JR6,2019-02-07 13:37:06,CUBE9727641,112863291,,,
379,U1532,C,2,F,3,W,18.0,181.49,181.235,AD,80,-12.7,201.6,65.1,238.4,0.007056,-6.40E-03,-2.53E-03,-1.56E-03,0,90,CUBE,379-SPINNER-47935241-U1532C.txt,,379-SPINNER-47935221-U1532C.jr6,,JR6,2019-02-07 13:38:11,CUBE9727641,112864311,,,
379,U1532,C,2,F,3,W,18.0,181.49,181.235,AD,25,-15.9,191.8,70.3,215.6,0.045682,-4.30E-02,-8.95E-03,-1.25E-02,0,90,CUBE,379-SPINNER-47935241-U1532C.txt,,379-SPINNER-47935221-U1532C.jr6,,JR6,2019-02-07 13:37:27,CUBE9727641,112863611,,,
379,U1532,C,2,F,3,W,18.0,181.49,181.235,AD,20,-15.9,220.5,47.0,246.3,0.051643,-3.78E-02,-3.22E-02,-1.41E-02,0,90,CUBE,379-SPINNER-47935241-U1532C.txt,,379-SPINNER-47935221-U1532C.jr6,,JR6,2019-02-07 13:37:25,CUBE9727641,112863571,,,
379,U1532,C,2,F,3,W,18.0,181.49,181.235,AD,40,-14.0,188.9,73.5,211.7,0.028901,-2.77E-02,-4.32E-03,-6.99E-03,0,90,CUBE,379-SPINNER-47935241-U1532C.txt,,379-SPINNER-47935221-U1532C.jr6,,JR6,2019-02-07 13:37:46,CUBE9727641,112863911,,,
379,U1532,C,2,F,3,W,18.0,181.49,181.235,AD,15,-15.2,209.5,57.1,241.2,0.058836,-4.94E-02,-2.80E-02,-1.54E-02,0,90,CUBE,379-SPINNER-47935241-U1532C.txt,,379-SPINNER-47935221-U1532C.jr6,,JR6,2019-02-07 13:37:15,CUBE9727641,112863411,,,
