Exp,Site,Hole,Core,Type,Sect,A/W,Top offset (cm),Top depth CSF-A (m),Top depth CSF-B (m),Treatment type,Treatment value (mT or deg C or Agico code),Inclination (deg),Declination (deg),Inclination geographic (deg),Declination geographic (deg),Total intensity (A/m),Intensity X (A/m),Intensity Y (A/m),Intensity Z (A/m),Azimuth (deg),Dip (deg),Sample type,Remasoft TXT file,Remasoft JR6ODP file,Remasoft JR6 file,Remasoft DAT file,Instrument,Timestamp (UTC),Text ID,Test No.,Sample comments,Test comments,Result comments
379,U1532,G,2,R,5,W,29.0,378.62,378.620,AD,50,8.1,324.8,-54.0,283.9,0.006657," 5.39E-03",-3.80E-03," 9.37E-04",0,90,CUBE,379-SPINNER-48271101-U1532G.txt,,379-SPINNER-48271091-U1532G.jr6,,JR6,2019-02-25 04:24:29,CUBE9742561,113081021,,,
379,U1532,G,2,R,5,W,29.0,378.62,378.620,AD,15,8.9,326.2,-55.2,285.7,0.020574," 1.69E-02",-1.13E-02," 3.19E-03",0,90,CUBE,379-SPINNER-48271101-U1532G.txt,,379-SPINNER-48271091-U1532G.jr6,,JR6,2019-02-25 04:24:10,CUBE9742561,113080971,,,
379,U1532,G,2,R,5,W,29.0,378.62,378.620,AD,20,8.3,319.4,-48.7,282.7,0.018356," 1.38E-02",-1.18E-02," 2.65E-03",0,90,CUBE,379-SPINNER-48271101-U1532G.txt,,379-SPINNER-48271091-U1532G.jr6,,JR6,2019-02-25 04:24:15,CUBE9742561,113080981,,,
379,U1532,G,2,R,5,W,29.0,378.62,378.620,NRM,0,6.2,322.4,-51.9,280.1,0.026684," 2.10E-02",-1.62E-02," 2.89E-03",0,90,CUBE,379-SPINNER-48271101-U1532G.txt,,379-SPINNER-48271091-U1532G.jr6,,JR6,2019-02-25 04:23:57,CUBE9742561,113080941,,,
379,U1532,G,2,R,5,W,29.0,378.62,378.620,AD,60,11.7,331.0,-58.9,293.1,0.004683," 4.01E-03",-2.23E-03," 9.48E-04",0,90,CUBE,379-SPINNER-48271101-U1532G.txt,,379-SPINNER-48271091-U1532G.jr6,,JR6,2019-02-25 04:24:33,CUBE9742561,113081031,,,
379,U1532,G,2,R,5,W,29.0,378.62,378.620,AD,100,5.6,344.2,-73.3,289.7,0.001736," 1.66E-03",-4.69E-04," 1.68E-04",0,90,CUBE,379-SPINNER-48271101-U1532G.txt,,379-SPINNER-48271091-U1532G.jr6,,JR6,2019-02-25 04:24:47,CUBE9742561,113081071,,,
379,U1532,G,2,R,5,W,29.0,378.62,378.620,AD,25,8.4,328.3,-57.3,285.6,0.014550," 1.22E-02",-7.57E-03," 2.11E-03",0,90,CUBE,379-SPINNER-48271101-U1532G.txt,,379-SPINNER-48271091-U1532G.jr6,,JR6,2019-02-25 04:24:18,CUBE9742561,113080991,,,
379,U1532,G,2,R,5,W,29.0,378.62,378.620,AD,80,7.7,336.3,-65.1,288.6,0.003025," 2.74E-03",-1.21E-03," 4.07E-04",0,90,CUBE,379-SPINNER-48271101-U1532G.txt,,379-SPINNER-48271091-U1532G.jr6,,JR6,2019-02-25 04:24:40,CUBE9742561,113081051,,,
379,U1532,G,2,R,5,W,29.0,378.62,378.620,AD,10,8.7,320.1,-49.3,283.4,0.023502," 1.78E-02",-1.49E-02," 3.54E-03",0,90,CUBE,379-SPINNER-48271101-U1532G.txt,,379-SPINNER-48271091-U1532G.jr6,,JR6,2019-02-25 04:24:06,CUBE9742561,113080961,,,
379,U1532,G,2,R,5,W,29.0,378.62,378.620,AD,70,2.1,327.5,-57.4,273.9,0.003543," 2.99E-03",-1.90E-03," 1.30E-04",0,90,CUBE,379-SPINNER-48271101-U1532G.txt,,379-SPINNER-48271091-U1532G.jr6,,JR6,2019-02-25 04:24:37,CUBE9742561,113081041,,,
379,U1532,G,2,R,5,W,29.0,378.62,378.620,AD,90,5.3,335.3,-64.8,282.6,0.002530," 2.29E-03",-1.05E-03," 2.36E-04",0,90,CUBE,379-SPINNER-48271101-U1532G.txt,,379-SPINNER-48271091-U1532G.jr6,,JR6,2019-02-25 04:24:44,CUBE9742561,113081061,,,
379,U1532,G,2,R,5,W,29.0,378.62,378.620,AD,40,7.9,333.7,-62.6,287.3,0.009262," 8.22E-03",-4.07E-03," 1.27E-03",0,90,CUBE,379-SPINNER-48271101-U1532G.txt,,379-SPINNER-48271091-U1532G.jr6,,JR6,2019-02-25 04:24:25,CUBE9742561,113081011,,,
379,U1532,G,2,R,5,W,29.0,378.62,378.620,AD,5,8.3,323.0,-52.2,283.6,0.025845," 2.04E-02",-1.54E-02," 3.73E-03",0,90,CUBE,379-SPINNER-48271101-U1532G.txt,,379-SPINNER-48271091-U1532G.jr6,,JR6,2019-02-25 04:24:02,CUBE9742561,113080951,,,
379,U1532,G,2,R,5,W,29.0,378.62,378.620,AD,30,8.0,325.0,-54.2,283.8,0.012860," 1.04E-02",-7.31E-03," 1.79E-03",0,90,CUBE,379-SPINNER-48271101-U1532G.txt,,379-SPINNER-48271091-U1532G.jr6,,JR6,2019-02-25 04:24:22,CUBE9742561,113081001,,,
379,U1532,G,4,R,3,W,97.0,395.38,395.380,AD,25,22.6,341.1,-60.9,322.2,0.009712," 8.48E-03",-2.90E-03," 3.73E-03",0,90,CUBE,379-SPINNER-48069031-U1532G.txt,,379-SPINNER-48069021-U1532G.jr6,,JR6,2019-02-17 07:32:23,CUBE9743671,112946941,,,
379,U1532,G,4,R,3,W,97.0,395.38,395.380,AD,5,19.7,342.6,-63.9,320.2,0.015590," 1.40E-02",-4.39E-03," 5.26E-03",0,90,CUBE,379-SPINNER-48069031-U1532G.txt,,379-SPINNER-48069021-U1532G.jr6,,JR6,2019-02-17 07:32:00,CUBE9743671,112946731,,,
379,U1532,G,4,R,3,W,97.0,395.38,395.380,NRM,0,22.6,339.8,-60.1,320.3,0.017250," 1.49E-02",-5.50E-03," 6.62E-03",0,90,CUBE,379-SPINNER-48069031-U1532G.txt,,379-SPINNER-48069021-U1532G.jr6,,JR6,2019-02-17 07:31:33,CUBE9743671,112946631,,,
379,U1532,G,4,R,3,W,97.0,395.38,395.380,NRM,0,22.3,339.7,0.0,0.0,0.017216," 1.49E-02",-5.54E-03," 6.54E-03",0,0,CUBE,379-SPINNER-48069031-U1532G.txt,,379-SPINNER-48069021-U1532G.jr6,,JR6,2019-02-17 07:31:22,CUBE9743671,112946601,,,
379,U1532,G,4,R,3,W,97.0,395.38,395.380,AD,90,35.6,358.5,-54.4,357.9,0.001237," 1.01E-03",-2.64E-05," 7.21E-04",0,90,CUBE,379-SPINNER-48069031-U1532G.txt,,379-SPINNER-48069021-U1532G.jr6,,JR6,2019-02-17 07:33:09,CUBE9743671,112947391,,,
379,U1532,G,4,R,3,W,97.0,395.38,395.380,AD,15,21.7,342.7,-62.5,323.2,0.012883," 1.14E-02",-3.56E-03," 4.76E-03",0,90,CUBE,379-SPINNER-48069031-U1532G.txt,,379-SPINNER-48069021-U1532G.jr6,,JR6,2019-02-17 07:32:09,CUBE9743671,112946821,,,
379,U1532,G,4,R,3,W,97.0,395.38,395.380,AD,60,23.3,345.7,-62.8,330.2,0.003142," 2.80E-03",-7.13E-04," 1.24E-03",0,90,CUBE,379-SPINNER-48069031-U1532G.txt,,379-SPINNER-48069021-U1532G.jr6,,JR6,2019-02-17 07:32:47,CUBE9743671,112947181,,,
379,U1532,G,4,R,3,W,97.0,395.38,395.380,AD,70,23.4,357.5,-66.5,354.1,0.002123," 1.95E-03",-8.65E-05," 8.44E-04",0,90,CUBE,379-SPINNER-48069031-U1532G.txt,,379-SPINNER-48069021-U1532G.jr6,,JR6,2019-02-17 07:32:54,CUBE9743671,112947241,,,
