Exp,Site,Hole,Core,Type,Sect,A/W,Top offset (cm),Top depth CSF-A (m),Top depth CSF-B (m),Treatment type,Treatment value (mT or deg C or Agico code),Inclination (deg),Declination (deg),Inclination geographic (deg),Declination geographic (deg),Total intensity (A/m),Intensity X (A/m),Intensity Y (A/m),Intensity Z (A/m),Azimuth (deg),Dip (deg),Sample type,Remasoft TXT file,Remasoft JR6ODP file,Remasoft JR6 file,Remasoft DAT file,Instrument,Timestamp (UTC),Text ID,Test No.,Sample comments,Test comments,Result comments
379,U1533,B,2,H,2,W,64.0,27.65,27.506,AD,70,3.7,24.1,-65.7,81.1,0.011715," 1.07E-02"," 4.77E-03"," 7.50E-04",0,90,CUBE,379-SPINNER-48351301-U1533A.txt,,379-SPINNER-48351291-U1533A.jr6,,JR6,2019-02-27 20:53:22,CUBE9770341,113149791,,,
379,U1533,B,2,H,2,W,64.0,27.65,27.506,AD,5,-11.9,25.4,-62.1,116.2,0.042979," 3.80E-02"," 1.80E-02",-8.88E-03,0,90,CUBE,379-SPINNER-48351301-U1533A.txt,,379-SPINNER-48351291-U1533A.jr6,,JR6,2019-02-27 20:51:57,CUBE9770341,113149201,,,
379,U1533,B,2,H,2,W,64.0,27.65,27.506,AD,60,1.5,58.3,-31.6,88.2,0.012948," 6.79E-03"," 1.10E-02"," 3.38E-04",0,90,CUBE,379-SPINNER-48351301-U1533A.txt,,379-SPINNER-48351291-U1533A.jr6,,JR6,2019-02-27 20:53:15,CUBE9770341,113149721,,,
379,U1533,B,2,H,2,W,64.0,27.65,27.506,AD,10,-10.3,28.3,-60.1,111.0,0.039366," 3.41E-02"," 1.84E-02",-7.04E-03,0,90,CUBE,379-SPINNER-48351301-U1533A.txt,,379-SPINNER-48351291-U1533A.jr6,,JR6,2019-02-27 20:52:11,CUBE9770341,113149281,,,
379,U1533,B,2,H,2,W,64.0,27.65,27.506,AD,80,-7.0,34.4,-55.0,102.3,0.008117," 6.65E-03"," 4.55E-03",-9.89E-04,0,90,CUBE,379-SPINNER-48351301-U1533A.txt,,379-SPINNER-48351291-U1533A.jr6,,JR6,2019-02-27 20:53:24,CUBE9770341,113149811,,,
379,U1533,B,2,H,2,W,64.0,27.65,27.506,AD,15,-7.8,29.8,-59.3,105.4,0.034157," 2.94E-02"," 1.68E-02",-4.64E-03,0,90,CUBE,379-SPINNER-48351301-U1533A.txt,,379-SPINNER-48351291-U1533A.jr6,,JR6,2019-02-27 20:52:29,CUBE9770341,113149381,,,
379,U1533,B,2,H,2,W,64.0,27.65,27.506,AD,20,-3.6,32.6,-57.2,96.6,0.030460," 2.56E-02"," 1.64E-02",-1.90E-03,0,90,CUBE,379-SPINNER-48351301-U1533A.txt,,379-SPINNER-48351291-U1533A.jr6,,JR6,2019-02-27 20:52:34,CUBE9770341,113149411,,,
379,U1533,B,2,H,2,W,64.0,27.65,27.506,AD,25,-2.7,38.8,-51.1,94.2,0.024748," 1.93E-02"," 1.55E-02",-1.15E-03,0,90,CUBE,379-SPINNER-48351301-U1533A.txt,,379-SPINNER-48351291-U1533A.jr6,,JR6,2019-02-27 20:52:46,CUBE9770341,113149481,,,
379,U1533,B,2,H,2,W,64.0,27.65,27.506,NRM,0,-16.8,26.6,-58.9,124.0,0.049547," 4.24E-02"," 2.12E-02",-1.43E-02,0,90,CUBE,379-SPINNER-48351301-U1533A.txt,,379-SPINNER-48351291-U1533A.jr6,,JR6,2019-02-27 20:51:49,CUBE9770341,113149151,,,
379,U1533,B,2,H,2,W,64.0,27.65,27.506,AD,50,1.0,39.8,-50.2,88.4,0.015944," 1.23E-02"," 1.02E-02"," 2.85E-04",0,90,CUBE,379-SPINNER-48351301-U1533A.txt,,379-SPINNER-48351291-U1533A.jr6,,JR6,2019-02-27 20:53:08,CUBE9770341,113149661,,,
