Exp,Site,Hole,Core,Type,Sect,A/W,Top offset (cm),Top depth CSF-A (m),Top depth CSF-B (m),Treatment type,Treatment value (mT or deg C or Agico code),Inclination (deg),Declination (deg),Inclination geographic (deg),Declination geographic (deg),Total intensity (A/m),Intensity X (A/m),Intensity Y (A/m),Intensity Z (A/m),Azimuth (deg),Dip (deg),Sample type,Remasoft TXT file,Remasoft JR6ODP file,Remasoft JR6 file,Remasoft DAT file,Instrument,Timestamp (UTC),Text ID,Test No.,Sample comments,Test comments,Result comments
379,U1533,D,2,H,3,W,102.0,8.83,8.830,AD,5,-6.0,15.5,-73.4,111.7,0.048769," 4.67E-02"," 1.29E-02",-5.13E-03,0,90,CUBE,379-SPINNER-48454841-U1533D.txt,,379-SPINNER-48454831-U1533D.jr6,,JR6,2019-03-02 07:19:40,CUBE9780091,113250971,,,
379,U1533,D,2,H,3,W,102.0,8.83,8.830,AD,90,-23.6,11.3,-64.0,155.9,0.009886," 8.89E-03"," 1.77E-03",-3.95E-03,0,90,CUBE,379-SPINNER-48454841-U1533D.txt,,379-SPINNER-48454831-U1533D.jr6,,JR6,2019-03-02 07:22:35,CUBE9780091,113251591,,,
379,U1533,D,2,H,3,W,102.0,8.83,8.830,AD,40,-2.8,1.8,-86.7,148.2,0.028125," 2.81E-02"," 8.61E-04",-1.39E-03,0,90,CUBE,379-SPINNER-48454841-U1533D.txt,,379-SPINNER-48454831-U1533D.jr6,,JR6,2019-03-02 07:21:25,CUBE9780091,113251311,,,
379,U1533,D,2,H,3,W,102.0,8.83,8.830,AD,30,-8.7,8.5,-77.9,135.7,0.032108," 3.14E-02"," 4.72E-03",-4.83E-03,0,90,CUBE,379-SPINNER-48454841-U1533D.txt,,379-SPINNER-48454831-U1533D.jr6,,JR6,2019-03-02 07:21:08,CUBE9780091,113251251,,,
379,U1533,D,2,H,3,W,102.0,8.83,8.830,AD,70,2.0,354.0,-83.7,288.6,0.017886," 1.78E-02",-1.86E-03," 6.25E-04",0,90,CUBE,379-SPINNER-48454841-U1533D.txt,,379-SPINNER-48454831-U1533D.jr6,,JR6,2019-03-02 07:22:15,CUBE9780091,113251481,,,
379,U1533,D,2,H,3,W,102.0,8.83,8.830,AD,10,-5.7,15.3,-73.7,110.6,0.044416," 4.26E-02"," 1.16E-02",-4.38E-03,0,90,CUBE,379-SPINNER-48454841-U1533D.txt,,379-SPINNER-48454831-U1533D.jr6,,JR6,2019-03-02 07:19:52,CUBE9780091,113251011,,,
379,U1533,D,2,H,3,W,102.0,8.83,8.830,AD,50,-8.7,7.6,-78.5,139.0,0.021581," 2.11E-02"," 2.82E-03",-3.25E-03,0,90,CUBE,379-SPINNER-48454841-U1533D.txt,,379-SPINNER-48454831-U1533D.jr6,,JR6,2019-03-02 07:21:38,CUBE9780091,113251351,,,
379,U1533,D,2,H,3,W,102.0,8.83,8.830,AD,100,18.3,17.2,-65.1,41.9,0.012257," 1.11E-02"," 3.45E-03"," 3.84E-03",0,90,CUBE,379-SPINNER-48454841-U1533D.txt,,379-SPINNER-48454831-U1533D.jr6,,JR6,2019-03-02 07:22:54,CUBE9780091,113251701,,,
379,U1533,D,2,H,3,W,102.0,8.83,8.830,AD,20,-5.5,7.6,-80.6,126.4,0.037478," 3.70E-02"," 4.92E-03",-3.62E-03,0,90,CUBE,379-SPINNER-48454841-U1533D.txt,,379-SPINNER-48454831-U1533D.jr6,,JR6,2019-03-02 07:20:31,CUBE9780091,113251131,,,
379,U1533,D,2,H,3,W,102.0,8.83,8.830,AD,60,-2.8,354.0,-83.3,244.7,0.019713," 1.96E-02",-2.07E-03,-9.74E-04,0,90,CUBE,379-SPINNER-48454841-U1533D.txt,,379-SPINNER-48454831-U1533D.jr6,,JR6,2019-03-02 07:22:03,CUBE9780091,113251431,,,
379,U1533,D,2,H,3,W,102.0,8.83,8.830,AD,25,-2.8,13.1,-76.6,102.0,0.035185," 3.42E-02"," 7.99E-03",-1.71E-03,0,90,CUBE,379-SPINNER-48454841-U1533D.txt,,379-SPINNER-48454831-U1533D.jr6,,JR6,2019-03-02 07:20:44,CUBE9780091,113251171,,,
379,U1533,D,2,H,3,W,102.0,8.83,8.830,AD,15,-5.4,11.3,-77.5,115.8,0.038906," 3.80E-02"," 7.60E-03",-3.68E-03,0,90,CUBE,379-SPINNER-48454841-U1533D.txt,,379-SPINNER-48454831-U1533D.jr6,,JR6,2019-03-02 07:20:22,CUBE9780091,113251101,,,
379,U1533,D,2,H,3,W,102.0,8.83,8.830,NRM,0,-11.4,11.8,-73.6,134.5,0.052554," 5.04E-02"," 1.05E-02",-1.04E-02,0,90,CUBE,379-SPINNER-48454841-U1533D.txt,,379-SPINNER-48454831-U1533D.jr6,,JR6,2019-03-02 07:19:10,CUBE9780091,113250871,,,
379,U1533,D,2,H,3,W,102.0,8.83,8.830,AD,80,-34.7,35.0,-42.3,140.4,0.012928," 8.70E-03"," 6.09E-03",-7.37E-03,0,90,CUBE,379-SPINNER-48454841-U1533D.txt,,379-SPINNER-48454831-U1533D.jr6,,JR6,2019-03-02 07:22:32,CUBE9780091,113251571,,,
379,U1533,D,2,H,5,W,34.0,11.15,11.150,AD,90,11.3,351.6,-76.0,323.9,0.004578," 4.44E-03",-6.53E-04," 8.95E-04",0,90,CUBE,379-SPINNER-48454841-U1533D.txt,,379-SPINNER-48454831-U1533D.jr6,,JR6,2019-03-02 07:22:43,CUBE9780101,113251641,,,
379,U1533,D,2,H,5,W,34.0,11.15,11.150,AD,80,10.9,7.8,-76.6,35.3,0.009962," 9.69E-03"," 1.33E-03"," 1.88E-03",0,90,CUBE,379-SPINNER-48454841-U1533D.txt,,379-SPINNER-48454831-U1533D.jr6,,JR6,2019-03-02 07:22:28,CUBE9780101,113251551,,,
379,U1533,D,2,H,5,W,34.0,11.15,11.150,NRM,0,3.1,0.4,-86.9,7.8,0.040618," 4.06E-02"," 2.99E-04"," 2.18E-03",0,90,CUBE,379-SPINNER-48454841-U1533D.txt,,379-SPINNER-48454831-U1533D.jr6,,JR6,2019-03-02 07:19:13,CUBE9780101,113250881,,,
379,U1533,D,2,H,5,W,34.0,11.15,11.150,AD,40,6.9,1.2,-83.0,9.7,0.022533," 2.24E-02"," 4.65E-04"," 2.72E-03",0,90,CUBE,379-SPINNER-48454841-U1533D.txt,,379-SPINNER-48454831-U1533D.jr6,,JR6,2019-03-02 07:21:28,CUBE9780101,113251321,,,
