Exp,Site,Hole,Core,Type,Sect,A/W,Top offset (cm),Top depth CSF-A (m),Top depth CSF-B (m),Top depth CCSF-379-U1533-ABCD-20191030 (m),Sample vol (cm^3),Measurement field (A/m),Holder susceptibility (SI),Mean susceptibility (SI),Bulk susceptibility (SI),Kmax susceptibility (SI),Kint susceptibility (SI),Kmin susceptibility (SI),Kmax dec (deg),Kmax inc (deg),Kint dec (deg),Kint inc (deg),Kmin dec (deg),Kmin inc (deg),Raw filename,Configuration filename,Instrument,Timestamp (UTC),Text ID,Test No.,Sample comments,Test comments,Result comments
379,U1533,B,2,H,2,W,64.0,27.65,27.506,37.390,8.00,300,-9.25E-06,996.3E-06,,1.0227,1.0154,0.9619,359,6,269,1,173,84,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:57:38,CUBE9770341,113345981,,,
379,U1533,B,2,H,5,W,60.0,32.15,31.706,41.890,8.00,300,-9.25E-06,550.7E-06,,1.0085,1.0061,0.9854,177,1,267,2,73,88,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:57:41,CUBE9770351,113345991,,,
379,U1533,B,3,H,2,W,127.0,37.78,37.623,49.950,8.00,300,-9.25E-06,424.4E-06,,1.0119,1.0094,0.9787,52,1,322,3,159,87,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:57:43,CUBE9771831,113346001,,,
379,U1533,B,3,H,6,W,127.0,43.81,43.311,55.980,8.00,300,-9.25E-06,454.9E-06,,1.0151,1.0071,0.9779,199,9,291,13,75,75,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:57:46,CUBE9771841,113346011,,,
379,U1533,B,4,H,2,W,103.0,47.03,46.973,47.030,8.00,300,-9.25E-06,819.2E-06,,1.0361,1.0251,0.9387,331,3,241,4,93,85,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:57:52,CUBE9772011,113346031,,,
379,U1533,B,4,H,5,W,59.0,51.09,50.941,51.090,8.00,300,-9.25E-06,252.3E-06,,1.0162,1.0122,0.9715,69,3,339,4,193,85,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:57:49,CUBE9772021,113346021,,,
379,U1533,B,5,H,2,W,109.0,56.59,56.490,56.590,8.00,300,-9.94E-06,756.7E-06,,1.0185,1.0148,0.9667,4,3,273,5,121,84,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:57:54,CUBE9772521,113346041,,,
379,U1533,B,5,H,6,W,108.0,62.49,62.163,62.490,8.00,300,-9.94E-06,373.3E-06,,1.0456,1.0250,0.9294,353,1,263,12,89,78,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:57:57,CUBE9772531,113346051,,,
379,U1533,B,6,H,2,W,80.0,65.76,65.680,65.760,8.00,300,-9.94E-06,632.4E-06,,1.0530,1.0377,0.9092,359,3,269,5,115,84,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:58:00,CUBE9774281,113346061,,,
379,U1533,B,6,H,6,W,80.0,71.64,71.351,71.640,8.00,300,-9.94E-06,86.13E-06,,1.0093,1.0061,0.9846,170,1,260,12,77,78,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:58:02,CUBE9774291,113346071,,,
379,U1533,B,7,H,1,W,106.0,74.06,74.017,74.060,8.00,300,-9.94E-06,192.2E-06,,1.0115,1.0021,0.9864,26,8,295,6,171,80,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:58:05,CUBE9774811,113346081,,,
379,U1533,B,8,H,4,W,40.0,87.33,87.187,87.330,8.00,300,-9.94E-06,116.1E-06,,1.0106,1.0050,0.9844,37,6,306,10,158,79,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:58:07,CUBE9775491,113346091,,,
379,U1533,B,8,H,6,W,110.0,91.01,90.758,91.010,8.00,300,-9.94E-06,436.3E-06,,1.0393,1.0308,0.9299,187,2,277,4,68,86,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:58:10,CUBE9775501,113346101,,,
379,U1533,B,9,H,4,W,124.0,97.62,97.620,97.620,8.00,300,-9.94E-06,544.0E-06,,1.0437,1.0246,0.9317,160,8,252,14,42,74,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:58:13,CUBE9775771,113346111,,,
379,U1533,B,9,H,6,W,50.0,99.81,99.810,99.810,8.00,300,-9.94E-06,203.4E-06,,1.0158,1.0006,0.9836,205,49,310,13,51,38,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:58:16,CUBE9775781,113346121,,,
379,U1533,B,10,H,2,W,59.0,103.56,103.519,103.560,8.00,300,-9.94E-06,784.4E-06,,1.0434,1.0316,0.9251,173,1,263,3,63,87,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:58:18,CUBE9775981,113346131,,,
379,U1533,B,10,H,5,W,70.0,108.07,107.941,108.070,8.00,300,-9.94E-06,269.7E-06,,1.0235,1.0080,0.9684,1,2,271,3,129,86,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:58:21,CUBE9775991,113346141,,,
379,U1533,B,11,H,3,W,122.0,115.15,114.895,115.150,8.00,300,-9.94E-06,811.1E-06,,1.0956,1.0530,0.8514,11,3,281,2,158,86,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:58:23,CUBE9776581,113346151,,,
379,U1533,B,11,H,4,W,79.0,116.2,115.882,116.200,8.00,300,-9.94E-06,651.6E-06,,1.0617,1.0465,0.8918,6,1,96,1,215,88,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:58:26,CUBE9776591,113346161,,,
379,U1533,B,12,H,1,W,62.0,121.12,121.075,121.120,8.00,300,-9.94E-06,400.2E-06,,1.0631,1.0582,0.8787,354,5,84,1,181,85,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:58:28,CUBE9776741,113346171,,,
379,U1533,B,13,H,2,W,45.0,131.91,131.811,131.910,8.00,300,-9.94E-06,935.9E-06,,1.0403,1.0346,0.9251,360,6,269,3,149,84,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:58:31,CUBE9776911,113346181,,,
379,U1533,B,13,H,4,W,120.0,135.6,135.310,135.600,8.00,300,-9.94E-06,581.2E-06,,1.0405,1.0308,0.9287,341,5,251,4,123,84,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:58:34,CUBE9776921,113346191,,,
379,U1533,B,14,H,2,W,71.0,141.67,141.563,141.670,8.00,300,-9.94E-06,633.6E-06,,1.0444,1.0366,0.9191,173,3,264,4,44,85,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:58:37,CUBE9776981,113346201,,,
379,U1533,B,14,H,4,W,28.0,144.19,143.960,144.190,8.00,300,-9.94E-06,251.9E-06,,1.0397,1.0317,0.9286,184,0,274,7,91,83,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:58:39,CUBE9776991,113346211,,,
379,U1533,B,15,H,2,W,48.0,150.95,150.841,150.950,8.00,300,-9.94E-06,624.8E-06,,1.0682,1.0465,0.8853,9,2,278,3,133,86,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:58:42,CUBE9777161,113346221,,,
379,U1533,B,15,H,5,W,78.0,155.65,155.280,155.650,8.00,300,-9.94E-06,465.6E-06,,1.0838,1.0615,0.8547,2,2,272,1,155,88,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:58:45,CUBE9777171,113346231,,,
379,U1533,B,16,H,6,W,5.0,165.77,165.278,165.770,8.00,300,-9.94E-06,553.6E-06,,1.0686,1.0490,0.8824,6,2,276,1,154,88,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:58:48,CUBE9777261,113346241,,,
379,U1533,B,17,H,2,W,90.0,170.41,170.308,170.410,8.00,300,-9.94E-06,570.9E-06,,1.0711,1.0336,0.8953,7,3,277,6,125,83,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:58:59,CUBE9778301,113346281,,,
379,U1533,B,17,H,4,W,44.0,172.36,172.175,172.360,7.00,300,-9.94E-06,412.5E-06,,1.0173,1.0096,0.9730,5,2,95,3,245,87,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:58:56,CUBE9778311,113346271,,,
379,U1533,B,18,H,1,W,61.0,178.11,178.110,178.110,8.00,300,-9.94E-06,627.1E-06,,1.0614,1.0327,0.9058,10,4,280,7,132,82,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:58:50,CUBE9777381,113346251,,,
379,U1533,B,18,H,1,W,123.0,178.73,178.730,178.730,8.00,300,-9.94E-06,584.0E-06,,1.0521,1.0313,0.9166,5,2,95,1,216,88,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:58:52,CUBE9777391,113346261,,,
379,U1533,B,19,F,2,W,110.0,189.57,189.397,189.570,7.00,300,-9.94E-06,535.0E-06,,1.0555,1.0490,0.8955,345,3,75,5,225,85,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:59:01,CUBE9781511,113346291,,,
379,U1533,B,20,F,3,W,80.0,195.51,195.274,195.510,7.00,300,-9.94E-06,493.5E-06,,1.0669,1.0618,0.8713,153,3,63,4,281,85,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:59:04,CUBE9781591,113346301,,,
379,U1533,B,21,F,1,W,44.0,196.84,196.810,196.840,7.00,300,-9.94E-06,453.5E-06,,1.0731,1.0383,0.8886,173,0,263,3,78,87,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:59:07,CUBE9782351,113346311,,,
379,U1533,B,22,F,1,W,33.0,201.43,201.430,201.430,7.00,300,-9.94E-06,446.7E-06,,1.0539,1.0402,0.9059,171,3,261,2,31,87,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:59:10,CUBE9782391,113346321,,,
379,U1533,B,23,X,2,W,58.0,207.87,207.870,207.870,7.00,300,-9.94E-06,462.1E-06,,1.0639,1.0537,0.8823,85,1,355,6,189,84,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:59:13,CUBE9783311,113346331,,,
379,U1533,B,24,X,3,W,56.0,217.86,217.860,217.860,7.00,300,-9.94E-06,547.1E-06,,1.0675,1.0397,0.8928,22,7,292,6,161,81,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:59:19,CUBE9784061,113346351,,,
379,U1533,B,24,X,5,W,86.0,221.18,221.180,221.180,7.00,300,-9.94E-06,305.8E-06,,1.0858,1.0715,0.8427,6,0,96,2,267,88,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:59:16,CUBE9784071,113346341,,,
379,U1533,B,25,X,1,W,86.0,224.76,224.760,224.760,7.00,300,-9.94E-06,533.3E-06,,1.0774,1.0665,0.8560,360,1,270,1,135,88,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:59:24,CUBE9784611,113346371,,,
379,U1533,B,25,X,3,W,109.0,227.98,227.980,227.980,7.00,300,-9.94E-06,409.9E-06,,1.0638,1.0534,0.8828,93,87,1,0,271,3,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:59:21,CUBE9784621,113346361,,,
379,U1533,B,26,X,2,W,94.0,235.84,235.840,235.840,7.00,300,-9.94E-06,479.3E-06,,1.0776,1.0648,0.8576,179,1,89,3,293,87,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:59:30,CUBE9784821,113346391,,,
379,U1533,B,26,X,4,W,15.0,238.05,238.050,238.050,7.00,300,-9.94E-06,439.0E-06,,1.0689,1.0547,0.8764,1,1,91,1,226,89,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:59:27,CUBE9784831,113346381,,,
379,U1533,B,27,X,1,W,25.0,243.15,243.150,243.150,8.00,300,-9.94E-06,614.9E-06,,1.0461,1.0338,0.9201,21,1,291,0,200,89,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:59:32,CUBE9785001,113346401,,,
379,U1533,B,27,X,5,W,72.0,249.62,249.620,249.620,8.00,300,-9.94E-06,411.4E-06,,1.0579,1.0570,0.8851,325,2,55,1,182,88,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:59:35,CUBE9785011,113346411,,,
379,U1533,B,28,X,2,W,70.0,254.7,254.700,254.700,8.00,300,-9.94E-06,395.4E-06,,1.0568,1.0553,0.8879,262,1,352,1,121,88,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:59:37,CUBE9785231,113346421,,,
379,U1533,B,29,X,3,W,43.0,265.52,265.520,265.520,8.00,300,-9.94E-06,682.3E-06,,1.0651,1.0634,0.8715,263,4,173,3,51,85,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:59:39,CUBE9785691,113346431,,,
379,U1533,B,30,X,2,W,74.0,273.78,273.780,273.780,8.00,300,-9.94E-06,632.1E-06,,1.0687,1.0678,0.8635,160,5,70,4,297,84,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:59:42,CUBE9785791,113346441,,,
379,U1533,B,39,R,1,W,46.0,342.16,342.160,342.160,8.00,300,-9.94E-06,663.4E-06,,1.0615,1.0584,0.8802,163,2,73,1,314,88,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:59:44,CUBE9786741,113346451,,,
379,U1533,B,39,R,2,W,83.0,344.03,344.030,344.030,8.00,300,-9.94E-06,491.3E-06,,1.0267,1.0225,0.9508,132,5,41,3,281,84,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:59:47,CUBE9786751,113346461,,,
379,U1533,B,42,R,2,W,128.0,373.29,373.290,373.290,8.00,300,-9.94E-06,179.1E-06,,1.0235,1.0201,0.9564,353,2,263,1,140,88,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:59:50,CUBE9787931,113346471,,,
379,U1533,B,42,R,4,W,140.0,376.42,376.420,376.420,8.00,300,-9.94E-06,334.8E-06,,1.0295,1.0253,0.9452,40,0,130,1,298,89,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:59:53,CUBE9787941,113346481,,,
379,U1533,B,43,R,1,W,22.0,380.22,380.220,380.220,8.00,300,-9.94E-06,139.8E-06,,1.0206,1.0174,0.9620,129,1,39,1,259,89,379-KAPPA-48529441-U1533B.ASC,379-KAPPA-48529151-U1533B.RAN,KLY-4S,2019-03-11 11:59:55,CUBE9788031,113346491,,,
