Exp,Site,Hole,Core,Type,Sect,A/W,Offset (cm),Depth CSF-A (m),Depth CSF-B (m),Depth CCSF-379-U1533-ABCD-20191030 (m),Magnetic susceptibility (SI x 10^-5),Configuration filename,Run filename,Auxiliary file filename,Instrument,Instrument group,Timestamp (UTC),Text ID,Test No.,Sample comments,Test comments,Result comments
379,U1533,A,1,H,1,A,2.0,0.02,0.020,2.910,37.00,379-MSPOINT-47740531-i_pi_ms.ini,379-MSPOINT-48283031-379-U1533A-1H-1-A_20190226072458.MSPOINT,379-MSPOINT-48283001-raw_379-u1533a-1h-1-a_1902260724583_mspoint..csv,,SHMSL,2019-02-26 13:24:58,SHLF9762691,113087531,,,
379,U1533,A,1,H,1,A,4.0,0.04,0.039,2.930,73.00,,,,,SHMSL,2019-02-26 13:24:58,SHLF9762691,113087531,,,
379,U1533,A,1,H,1,A,6.0,0.06,0.059,2.950,71.00,,,,,SHMSL,2019-02-26 13:24:58,SHLF9762691,113087531,,,
379,U1533,A,1,H,1,A,8.0,0.08,0.079,2.970,77.00,,,,,SHMSL,2019-02-26 13:24:58,SHLF9762691,113087531,,,
379,U1533,A,1,H,1,A,10.0,0.1,0.098,2.990,76.00,,,,,SHMSL,2019-02-26 13:24:58,SHLF9762691,113087531,,,
379,U1533,A,1,H,1,A,12.0,0.12,0.118,3.010,58.33,,,,,SHMSL,2019-02-26 13:24:58,SHLF9762691,113087531,,,
379,U1533,A,1,H,1,A,14.0,0.14,0.137,3.030,54.00,,,,,SHMSL,2019-02-26 13:24:58,SHLF9762691,113087531,,,
379,U1533,A,1,H,1,A,16.0,0.16,0.157,3.050,37.33,,,,,SHMSL,2019-02-26 13:24:58,SHLF9762691,113087531,,,
379,U1533,A,1,H,1,A,18.0,0.18,0.177,3.070,32.00,,,,,SHMSL,2019-02-26 13:24:58,SHLF9762691,113087531,,,
379,U1533,A,1,H,1,A,20.0,0.2,0.196,3.090,30.00,,,,,SHMSL,2019-02-26 13:24:58,SHLF9762691,113087531,,,
379,U1533,A,1,H,1,A,22.0,0.22,0.216,3.110,30.67,,,,,SHMSL,2019-02-26 13:24:58,SHLF9762691,113087531,,,
379,U1533,A,1,H,1,A,24.0,0.24,0.236,3.130,26.67,,,,,SHMSL,2019-02-26 13:24:58,SHLF9762691,113087531,,,
379,U1533,A,1,H,1,A,26.0,0.26,0.255,3.150,26.00,,,,,SHMSL,2019-02-26 13:24:58,SHLF9762691,113087531,,,
379,U1533,A,1,H,1,A,28.0,0.28,0.275,3.170,24.33,,,,,SHMSL,2019-02-26 13:24:58,SHLF9762691,113087531,,,
379,U1533,A,1,H,1,A,30.0,0.3,0.295,3.190,26.00,,,,,SHMSL,2019-02-26 13:24:58,SHLF9762691,113087531,,,
379,U1533,A,1,H,1,A,32.0,0.32,0.314,3.210,27.00,,,,,SHMSL,2019-02-26 13:24:58,SHLF9762691,113087531,,,
379,U1533,A,1,H,1,A,34.0,0.34,0.334,3.230,26.00,,,,,SHMSL,2019-02-26 13:24:58,SHLF9762691,113087531,,,
379,U1533,A,1,H,1,A,36.0,0.36,0.354,3.250,28.67,,,,,SHMSL,2019-02-26 13:24:58,SHLF9762691,113087531,,,
379,U1533,A,1,H,1,A,38.0,0.38,0.373,3.270,36.00,,,,,SHMSL,2019-02-26 13:24:58,SHLF9762691,113087531,,,
379,U1533,A,1,H,1,A,40.0,0.4,0.393,3.290,40.33,,,,,SHMSL,2019-02-26 13:24:58,SHLF9762691,113087531,,,
