Exp,Site,Hole,Core,Type,Sect,A/W,Offset (cm),Depth CSF-A (m),Depth CSF-B (m),Depth CCSF-379-U1533-ABCD-20191030 (m),Magnetic susceptibility (SI x 10^-5),Configuration filename,Run filename,Auxiliary file filename,Instrument,Instrument group,Timestamp (UTC),Text ID,Test No.,Sample comments,Test comments,Result comments
379,U1533,B,2,H,1,A,2.0,25.52,25.519,35.260,34.00,379-MSPOINT-47740531-i_pi_ms.ini,379-MSPOINT-48301671-379-U1533B-2H-1-A_20190226151838.MSPOINT,379-MSPOINT-48301641-raw_379-u1533b-2h-1-a_1902261518383_mspoint..csv,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
379,U1533,B,2,H,1,A,4.0,25.54,25.537,35.280,58.67,,,,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
379,U1533,B,2,H,1,A,6.0,25.56,25.556,35.300,59.67,,,,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
379,U1533,B,2,H,1,A,8.0,25.58,25.575,35.320,56.67,,,,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
379,U1533,B,2,H,1,A,10.0,25.6,25.593,35.340,56.67,,,,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
379,U1533,B,2,H,1,A,12.0,25.62,25.612,35.360,57.00,,,,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
379,U1533,B,2,H,1,A,14.0,25.64,25.631,35.380,54.67,,,,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
379,U1533,B,2,H,1,A,16.0,25.66,25.649,35.400,63.67,,,,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
379,U1533,B,2,H,1,A,18.0,25.68,25.668,35.420,58.33,,,,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
379,U1533,B,2,H,1,A,20.0,25.7,25.687,35.440,55.67,,,,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
379,U1533,B,2,H,1,A,22.0,25.72,25.705,35.460,60.00,,,,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
379,U1533,B,2,H,1,A,24.0,25.74,25.724,35.480,61.67,,,,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
379,U1533,B,2,H,1,A,26.0,25.76,25.743,35.500,64.33,,,,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
379,U1533,B,2,H,1,A,28.0,25.78,25.761,35.520,52.00,,,,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
379,U1533,B,2,H,1,A,30.0,25.8,25.780,35.540,103.00,,,,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
379,U1533,B,2,H,1,A,32.0,25.82,25.799,35.560,124.33,,,,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
379,U1533,B,2,H,1,A,34.0,25.84,25.817,35.580,61.00,,,,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
379,U1533,B,2,H,1,A,36.0,25.86,25.836,35.600,54.00,,,,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
379,U1533,B,2,H,1,A,38.0,25.88,25.855,35.620,49.33,,,,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
379,U1533,B,2,H,1,A,40.0,25.9,25.873,35.640,62.33,,,,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
379,U1533,B,2,H,1,A,42.0,25.92,25.892,35.660,66.33,,,,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
379,U1533,B,2,H,1,A,44.0,25.94,25.911,35.680,62.33,,,,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
379,U1533,B,2,H,1,A,46.0,25.96,25.929,35.700,56.33,,,,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
379,U1533,B,2,H,1,A,48.0,25.98,25.948,35.720,55.00,,,,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
379,U1533,B,2,H,1,A,50.0,26,25.967,35.740,51.33,,,,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
379,U1533,B,2,H,1,A,52.0,26.02,25.985,35.760,50.33,,,,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
379,U1533,B,2,H,1,A,54.0,26.04,26.004,35.780,60.67,,,,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
379,U1533,B,2,H,1,A,56.0,26.06,26.023,35.800,71.00,,,,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
379,U1533,B,2,H,1,A,58.0,26.08,26.041,35.820,57.33,,,,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
379,U1533,B,2,H,1,A,60.0,26.1,26.060,35.840,54.00,,,,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
379,U1533,B,2,H,1,A,62.0,26.12,26.079,35.860,58.33,,,,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
379,U1533,B,2,H,1,A,64.0,26.14,26.097,35.880,56.33,,,,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
379,U1533,B,2,H,1,A,66.0,26.16,26.116,35.900,53.67,,,,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
379,U1533,B,2,H,1,A,68.0,26.18,26.135,35.920,54.67,,,,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
379,U1533,B,2,H,1,A,70.0,26.2,26.153,35.940,56.00,,,,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
379,U1533,B,2,H,1,A,72.0,26.22,26.172,35.960,56.67,,,,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
379,U1533,B,2,H,1,A,74.0,26.24,26.191,35.980,57.67,,,,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
379,U1533,B,2,H,1,A,76.0,26.26,26.209,36.000,55.33,,,,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
379,U1533,B,2,H,1,A,78.0,26.28,26.228,36.020,53.00,,,,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
379,U1533,B,2,H,1,A,80.0,26.3,26.246,36.040,50.67,,,,,SHMSL,2019-02-26 21:18:38,SHLF9764601,113103751,,,
