Exp,Site,Hole,Core,Type,Sect,A/W,Offset (cm),Depth CSF-A (m),Depth CSF-B (m),Depth CCSF-379-U1533-ABCD-20191030 (m),Magnetic susceptibility (SI x 10^-5),Configuration filename,Run filename,Auxiliary file filename,Instrument,Instrument group,Timestamp (UTC),Text ID,Test No.,Sample comments,Test comments,Result comments
379,U1533,C,1,H,1,A,2.0,0.02,0.020,2.270,12.67,379-MSPOINT-47740531-i_pi_ms.ini,379-MSPOINT-48395021-379-U1533C-1H-1-A_20190228082450.MSPOINT,379-MSPOINT-48395001-raw_379-u1533c-1h-1-a_1902280824503_mspoint..csv,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,4.0,0.04,0.040,2.290,33.00,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,6.0,0.06,0.060,2.310,40.00,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,8.0,0.08,0.080,2.330,55.33,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,10.0,0.1,0.100,2.350,44.33,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,12.0,0.12,0.120,2.370,60.33,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,14.0,0.14,0.140,2.390,67.00,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,16.0,0.16,0.160,2.410,71.33,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,18.0,0.18,0.180,2.430,78.67,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,20.0,0.2,0.200,2.450,101.67,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,22.0,0.22,0.220,2.470,72.33,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,24.0,0.24,0.240,2.490,54.00,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,26.0,0.26,0.260,2.510,55.00,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,28.0,0.28,0.280,2.530,59.67,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,30.0,0.3,0.300,2.550,68.33,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,32.0,0.32,0.320,2.570,68.67,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,34.0,0.34,0.340,2.590,64.00,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,36.0,0.36,0.360,2.610,62.00,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,38.0,0.38,0.380,2.630,62.00,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,40.0,0.4,0.400,2.650,69.67,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,42.0,0.42,0.420,2.670,72.00,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,44.0,0.44,0.440,2.690,72.00,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,46.0,0.46,0.460,2.710,68.00,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,48.0,0.48,0.480,2.730,64.33,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,50.0,0.5,0.500,2.750,64.33,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,52.0,0.52,0.520,2.770,67.33,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,54.0,0.54,0.540,2.790,71.67,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,56.0,0.56,0.560,2.810,74.33,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,58.0,0.58,0.580,2.830,66.33,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,60.0,0.6,0.600,2.850,64.33,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,62.0,0.62,0.620,2.870,62.00,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,64.0,0.64,0.640,2.890,64.67,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,66.0,0.66,0.660,2.910,105.00,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,68.0,0.68,0.680,2.930,78.33,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,70.0,0.7,0.700,2.950,66.00,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,72.0,0.72,0.720,2.970,73.00,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,74.0,0.74,0.740,2.990,62.67,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,76.0,0.76,0.760,3.010,43.00,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,78.0,0.78,0.780,3.030,37.67,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,80.0,0.8,0.800,3.050,31.00,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,82.0,0.82,0.820,3.070,29.00,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,84.0,0.84,0.840,3.090,28.67,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,86.0,0.86,0.860,3.110,33.33,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,88.0,0.88,0.880,3.130,23.33,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,90.0,0.9,0.900,3.150,25.00,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,92.0,0.92,0.920,3.170,25.00,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,94.0,0.94,0.940,3.190,26.00,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,96.0,0.96,0.960,3.210,27.33,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,98.0,0.98,0.980,3.230,31.67,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,100.0,1,1.000,3.250,34.33,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,102.0,1.02,1.020,3.270,38.67,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,104.0,1.04,1.040,3.290,41.00,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,106.0,1.06,1.060,3.310,33.33,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,108.0,1.08,1.080,3.330,39.67,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,110.0,1.1,1.100,3.350,36.00,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,112.0,1.12,1.120,3.370,35.00,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,114.0,1.14,1.140,3.390,33.67,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,116.0,1.16,1.160,3.410,30.33,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,118.0,1.18,1.180,3.430,30.00,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
379,U1533,C,1,H,1,A,120.0,1.2,1.200,3.450,25.33,,,,,SHMSL,2019-02-28 14:24:50,SHLF9776231,113181981,,,
