Exp,Site,Hole,Core,Type,Sect,A/W,Offset (cm),Depth CSF-A (m),Depth CSF-B (m),Depth CCSF-379-U1533-ABCD-20191030 (m),Magnetic susceptibility (SI x 10^-5),Configuration filename,Run filename,Auxiliary file filename,Instrument,Instrument group,Timestamp (UTC),Text ID,Test No.,Sample comments,Test comments,Result comments
379,U1533,D,1,H,1,A,2.0,0.02,0.020,0.020,11.33,379-MSPOINT-47740531-i_pi_ms.ini,379-MSPOINT-48407571-379-U1533D-1H-1-A_20190228193745.MSPOINT,379-MSPOINT-48407551-raw_379-u1533d-1h-1-a_1902281937453_mspoint..csv,,SHMSL,2019-03-01 01:37:45,SHLF9778031,113190461,,,
379,U1533,D,1,H,1,A,4.0,0.04,0.040,0.040,33.00,,,,,SHMSL,2019-03-01 01:37:45,SHLF9778031,113190461,,,
379,U1533,D,1,H,1,A,6.0,0.06,0.060,0.060,39.33,,,,,SHMSL,2019-03-01 01:37:45,SHLF9778031,113190461,,,
379,U1533,D,1,H,1,A,8.0,0.08,0.080,0.080,36.00,,,,,SHMSL,2019-03-01 01:37:45,SHLF9778031,113190461,,,
379,U1533,D,1,H,1,A,10.0,0.1,0.100,0.100,42.33,,,,,SHMSL,2019-03-01 01:37:45,SHLF9778031,113190461,,,
379,U1533,D,1,H,1,A,12.0,0.12,0.120,0.120,56.67,,,,,SHMSL,2019-03-01 01:37:45,SHLF9778031,113190461,,,
379,U1533,D,1,H,1,A,14.0,0.14,0.140,0.140,55.00,,,,,SHMSL,2019-03-01 01:37:45,SHLF9778031,113190461,,,
379,U1533,D,1,H,1,A,16.0,0.16,0.160,0.160,58.00,,,,,SHMSL,2019-03-01 01:37:45,SHLF9778031,113190461,,,
379,U1533,D,1,H,1,A,18.0,0.18,0.180,0.180,69.33,,,,,SHMSL,2019-03-01 01:37:45,SHLF9778031,113190461,,,
379,U1533,D,1,H,1,A,20.0,0.2,0.200,0.200,66.00,,,,,SHMSL,2019-03-01 01:37:45,SHLF9778031,113190461,,,
