Exp,Site,Hole,Core,Type,Sect,Offset (cm),Depth CSF-A (m),Depth CSF-B (m),Depth CCSF-379-U1533-ABCD-20191030 (m),NGR total counts (cps),Absolute error (cps),NGR zip file,Timestamp (UTC),Text ID,Test No.,Sample comments,Test comments,Result comments
379,U1533,A,1,H,1,0.0,0,0.000,2.890,54.158,3.177,379-NGR-48279061-379-u1533a-1h-1_sect9762671_20190226022451.zip,2019-02-26 08:24:51,SECT9762671,113134551,,,
379,U1533,A,1,H,1,10.0,0.1,0.098,2.990,50.110,0.982,,2019-02-26 08:24:51,SECT9762671,113134551,,,
379,U1533,A,1,H,1,20.0,0.2,0.196,3.090,51.478,0.455,,2019-02-26 08:24:51,SECT9762671,113134551,,,
379,U1533,A,1,H,1,30.0,0.3,0.295,3.190,51.698,0.456,,2019-02-26 08:24:51,SECT9762671,113134551,,,
379,U1533,A,1,H,1,40.0,0.4,0.393,3.290,52.001,0.444,,2019-02-26 08:24:51,SECT9762671,113134551,,,
379,U1533,A,1,H,1,50.0,0.5,0.491,3.390,49.081,0.433,,2019-02-26 08:24:51,SECT9762671,113134551,,,
379,U1533,A,1,H,1,60.0,0.6,0.589,3.490,52.091,0.444,,2019-02-26 08:24:51,SECT9762671,113134551,,,
379,U1533,A,1,H,1,70.0,0.7,0.687,3.590,51.058,0.440,,2019-02-26 08:24:51,SECT9762671,113134551,,,
379,U1533,A,1,H,1,80.0,0.8,0.786,3.690,47.785,0.428,,2019-02-26 08:24:51,SECT9762671,113134551,,,
379,U1533,A,1,H,1,90.0,0.9,0.884,3.790,42.039,0.405,,2019-02-26 08:24:51,SECT9762671,113134551,,,
379,U1533,A,1,H,1,100.0,1,0.982,3.890,41.476,0.403,,2019-02-26 08:24:51,SECT9762671,113134551,,,
379,U1533,A,1,H,1,110.0,1.1,1.080,3.990,42.419,0.406,,2019-02-26 08:24:51,SECT9762671,113134551,,,
379,U1533,A,1,H,1,120.0,1.2,1.179,4.090,40.655,0.392,,2019-02-26 08:24:51,SECT9762671,113134551,,,
379,U1533,A,1,H,1,130.0,1.3,1.277,4.190,33.239,0.473,,2019-02-26 08:24:51,SECT9762671,113134551,,,
379,U1533,A,1,H,1,140.0,1.4,1.375,4.290,27.985,0.598,,2019-02-26 08:24:51,SECT9762671,113134551,,,
379,U1533,A,1,H,2,0.0,1.51,1.483,4.400,36.427,2.171,379-NGR-48279181-379-u1533a-1h-2_sect9762701_20190226023822.zip,2019-02-26 08:38:22,SECT9762701,113134541,,,
379,U1533,A,1,H,2,10.0,1.61,1.581,4.500,32.368,0.681,,2019-02-26 08:38:22,SECT9762701,113134541,,,
379,U1533,A,1,H,2,20.0,1.71,1.680,4.600,31.361,0.374,,2019-02-26 08:38:22,SECT9762701,113134541,,,
379,U1533,A,1,H,2,30.0,1.81,1.778,4.700,32.291,0.379,,2019-02-26 08:38:22,SECT9762701,113134541,,,
379,U1533,A,1,H,2,40.0,1.91,1.876,4.800,34.617,0.373,,2019-02-26 08:38:22,SECT9762701,113134541,,,
379,U1533,A,1,H,2,50.0,2.01,1.974,4.900,35.731,0.378,,2019-02-26 08:38:22,SECT9762701,113134541,,,
379,U1533,A,1,H,2,60.0,2.11,2.073,5.000,36.551,0.381,,2019-02-26 08:38:22,SECT9762701,113134541,,,
379,U1533,A,1,H,2,70.0,2.21,2.171,5.100,39.761,0.395,,2019-02-26 08:38:22,SECT9762701,113134541,,,
379,U1533,A,1,H,2,80.0,2.31,2.269,5.200,41.545,0.403,,2019-02-26 08:38:22,SECT9762701,113134541,,,
379,U1533,A,1,H,2,90.0,2.41,2.368,5.300,43.105,0.410,,2019-02-26 08:38:22,SECT9762701,113134541,,,
379,U1533,A,1,H,2,100.0,2.51,2.466,5.400,43.696,0.412,,2019-02-26 08:38:22,SECT9762701,113134541,,,
379,U1533,A,1,H,2,110.0,2.61,2.564,5.500,42.229,0.406,,2019-02-26 08:38:22,SECT9762701,113134541,,,
379,U1533,A,1,H,2,120.0,2.71,2.662,5.600,39.365,0.386,,2019-02-26 08:38:22,SECT9762701,113134541,,,
379,U1533,A,1,H,2,130.0,2.81,2.761,5.700,31.681,0.351,,2019-02-26 08:38:22,SECT9762701,113134541,,,
379,U1533,A,1,H,2,140.0,2.91,2.859,5.800,31.073,0.705,,2019-02-26 08:38:22,SECT9762701,113134541,,,
379,U1533,A,1,H,2,150.0,3.01,2.957,5.900,31.202,1.778,,2019-02-26 08:38:22,SECT9762701,113134541,,,
379,U1533,A,1,H,3,0.0,3.02,2.967,5.910,28.027,1.697,379-NGR-48279301-379-u1533a-1h-3_sect9762731_20190226025203.zip,2019-02-26 08:52:03,SECT9762731,113134561,,,
379,U1533,A,1,H,3,10.0,3.12,3.065,6.010,25.619,0.567,,2019-02-26 08:52:03,SECT9762731,113134561,,,
379,U1533,A,1,H,3,20.0,3.22,3.163,6.110,24.471,0.342,,2019-02-26 08:52:03,SECT9762731,113134561,,,
379,U1533,A,1,H,3,30.0,3.32,3.262,6.210,26.474,0.352,,2019-02-26 08:52:03,SECT9762731,113134561,,,
379,U1533,A,1,H,3,40.0,3.42,3.360,6.310,25.561,0.330,,2019-02-26 08:52:03,SECT9762731,113134561,,,
379,U1533,A,1,H,3,50.0,3.52,3.458,6.410,26.117,0.333,,2019-02-26 08:52:03,SECT9762731,113134561,,,
379,U1533,A,1,H,3,60.0,3.62,3.556,6.510,28.964,0.347,,2019-02-26 08:52:03,SECT9762731,113134561,,,
379,U1533,A,1,H,3,70.0,3.72,3.654,6.610,29.098,0.347,,2019-02-26 08:52:03,SECT9762731,113134561,,,
379,U1533,A,1,H,3,80.0,3.82,3.753,6.710,26.725,0.336,,2019-02-26 08:52:03,SECT9762731,113134561,,,
379,U1533,A,1,H,3,90.0,3.92,3.851,6.810,27.229,0.339,,2019-02-26 08:52:03,SECT9762731,113134561,,,
379,U1533,A,1,H,3,100.0,4.02,3.949,6.910,27.386,0.339,,2019-02-26 08:52:03,SECT9762731,113134561,,,
379,U1533,A,1,H,3,110.0,4.12,4.047,7.010,26.592,0.335,,2019-02-26 08:52:03,SECT9762731,113134561,,,
379,U1533,A,1,H,3,120.0,4.22,4.146,7.110,27.415,0.331,,2019-02-26 08:52:03,SECT9762731,113134561,,,
379,U1533,A,1,H,3,130.0,4.32,4.244,7.210,29.652,0.439,,2019-02-26 08:52:03,SECT9762731,113134561,,,
379,U1533,A,1,H,3,140.0,4.42,4.342,7.310,28.756,0.609,,2019-02-26 08:52:03,SECT9762731,113134561,,,
379,U1533,A,1,H,4,0.0,4.53,4.450,7.420,32.205,1.932,379-NGR-48279341-379-u1533a-1h-4_sect9762761_20190226030516.zip,2019-02-26 09:05:16,SECT9762761,113134571,,,
379,U1533,A,1,H,4,10.0,4.63,4.548,7.520,26.269,0.578,,2019-02-26 09:05:16,SECT9762761,113134571,,,
379,U1533,A,1,H,4,20.0,4.73,4.647,7.620,23.124,0.336,,2019-02-26 09:05:16,SECT9762761,113134571,,,
379,U1533,A,1,H,4,30.0,4.83,4.745,7.720,21.288,0.327,,2019-02-26 09:05:16,SECT9762761,113134571,,,
379,U1533,A,1,H,4,40.0,4.93,4.843,7.820,18.754,0.293,,2019-02-26 09:05:16,SECT9762761,113134571,,,
379,U1533,A,1,H,4,50.0,5.03,4.941,7.920,18.161,0.290,,2019-02-26 09:05:16,SECT9762761,113134571,,,
379,U1533,A,1,H,4,60.0,5.13,5.040,8.020,18.231,0.290,,2019-02-26 09:05:16,SECT9762761,113134571,,,
379,U1533,A,1,H,4,70.0,5.23,5.138,8.120,19.064,0.295,,2019-02-26 09:05:16,SECT9762761,113134571,,,
379,U1533,A,1,H,4,80.0,5.33,5.236,8.220,19.019,0.296,,2019-02-26 09:05:16,SECT9762761,113134571,,,
379,U1533,A,1,H,4,90.0,5.43,5.335,8.320,20.165,0.302,,2019-02-26 09:05:16,SECT9762761,113134571,,,
379,U1533,A,1,H,4,100.0,5.53,5.433,8.420,22.599,0.315,,2019-02-26 09:05:16,SECT9762761,113134571,,,
379,U1533,A,1,H,4,110.0,5.63,5.531,8.520,27.346,0.339,,2019-02-26 09:05:16,SECT9762761,113134571,,,
379,U1533,A,1,H,4,120.0,5.73,5.629,8.620,30.291,0.345,,2019-02-26 09:05:16,SECT9762761,113134571,,,
379,U1533,A,1,H,4,130.0,5.83,5.728,8.720,31.918,0.353,,2019-02-26 09:05:16,SECT9762761,113134571,,,
379,U1533,A,1,H,4,140.0,5.93,5.826,8.820,29.326,0.672,,2019-02-26 09:05:16,SECT9762761,113134571,,,
379,U1533,A,1,H,4,150.0,6.03,5.924,8.920,23.955,1.392,,2019-02-26 09:05:16,SECT9762761,113134571,,,
379,U1533,A,1,H,5,0.0,6.04,5.934,8.930,40.801,2.418,379-NGR-48279401-379-u1533a-1h-5_sect9762791_20190226031717.zip,2019-02-26 09:17:17,SECT9762791,113134581,,,
379,U1533,A,1,H,5,10.0,6.14,6.032,9.030,39.383,0.800,,2019-02-26 09:17:17,SECT9762791,113134581,,,
379,U1533,A,1,H,5,20.0,6.24,6.130,9.130,40.174,0.412,,2019-02-26 09:17:17,SECT9762791,113134581,,,
379,U1533,A,1,H,5,30.0,6.34,6.229,9.230,38.678,0.406,,2019-02-26 09:17:17,SECT9762791,113134581,,,
379,U1533,A,1,H,5,40.0,6.44,6.327,9.330,34.604,0.373,,2019-02-26 09:17:17,SECT9762791,113134581,,,
379,U1533,A,1,H,5,50.0,6.54,6.425,9.430,29.297,0.348,,2019-02-26 09:17:17,SECT9762791,113134581,,,
379,U1533,A,1,H,5,60.0,6.64,6.523,9.530,24.941,0.327,,2019-02-26 09:17:17,SECT9762791,113134581,,,
379,U1533,A,1,H,5,70.0,6.74,6.621,9.630,21.921,0.311,,2019-02-26 09:17:17,SECT9762791,113134581,,,
379,U1533,A,1,H,5,80.0,6.84,6.720,9.730,19.352,0.298,,2019-02-26 09:17:17,SECT9762791,113134581,,,
379,U1533,A,1,H,5,90.0,6.94,6.818,9.830,17.619,0.288,,2019-02-26 09:17:17,SECT9762791,113134581,,,
379,U1533,A,1,H,5,100.0,7.04,6.916,9.930,17.112,0.284,,2019-02-26 09:17:17,SECT9762791,113134581,,,
379,U1533,A,1,H,5,110.0,7.14,7.014,10.030,17.166,0.285,,2019-02-26 09:17:17,SECT9762791,113134581,,,
379,U1533,A,1,H,5,120.0,7.24,7.112,10.130,17.465,0.276,,2019-02-26 09:17:17,SECT9762791,113134581,,,
379,U1533,A,1,H,5,130.0,7.34,7.210,10.230,17.511,0.323,,2019-02-26 09:17:17,SECT9762791,113134581,,,
379,U1533,A,1,H,5,140.0,7.44,7.309,10.330,16.776,0.436,,2019-02-26 09:17:17,SECT9762791,113134581,,,
379,U1533,A,1,H,6,0.0,7.53,7.397,10.420,25.825,1.574,379-NGR-48280561-379-u1533a-1h-6_sect9762821_20190226050611.zip,2019-02-26 11:06:11,SECT9762821,113134591,,,
379,U1533,A,1,H,6,10.0,7.63,7.495,10.520,29.400,0.631,,2019-02-26 11:06:11,SECT9762821,113134591,,,
379,U1533,A,1,H,6,20.0,7.73,7.594,10.620,35.998,0.395,,2019-02-26 11:06:11,SECT9762821,113134591,,,
379,U1533,A,1,H,6,30.0,7.83,7.692,10.720,36.121,0.395,,2019-02-26 11:06:11,SECT9762821,113134591,,,
379,U1533,A,1,H,6,40.0,7.93,7.790,10.820,33.397,0.367,,2019-02-26 11:06:11,SECT9762821,113134591,,,
379,U1533,A,1,H,6,50.0,8.03,7.888,10.920,35.341,0.376,,2019-02-26 11:06:11,SECT9762821,113134591,,,
379,U1533,A,1,H,6,60.0,8.13,7.987,11.020,33.644,0.368,,2019-02-26 11:06:11,SECT9762821,113134591,,,
379,U1533,A,1,H,6,70.0,8.23,8.085,11.120,35.031,0.375,,2019-02-26 11:06:11,SECT9762821,113134591,,,
379,U1533,A,1,H,6,80.0,8.33,8.183,11.220,33.545,0.369,,2019-02-26 11:06:11,SECT9762821,113134591,,,
379,U1533,A,1,H,6,90.0,8.43,8.281,11.320,32.209,0.362,,2019-02-26 11:06:11,SECT9762821,113134591,,,
379,U1533,A,1,H,6,100.0,8.53,8.380,11.420,32.206,0.362,,2019-02-26 11:06:11,SECT9762821,113134591,,,
379,U1533,A,1,H,6,110.0,8.63,8.478,11.520,35.219,0.376,,2019-02-26 11:06:11,SECT9762821,113134591,,,
379,U1533,A,1,H,6,120.0,8.73,8.576,11.620,35.799,0.493,,2019-02-26 11:06:11,SECT9762821,113134591,,,
379,U1533,A,1,H,6,130.0,8.83,8.674,11.720,31.845,0.510,,2019-02-26 11:06:11,SECT9762821,113134591,,,
379,U1533,A,1,H,7,0.0,8.91,8.753,11.800,27.314,1.657,379-NGR-48280321-379-u1533a-1h-7_sect9762851_20190226044617.zip,2019-02-26 10:46:17,SECT9762851,113134601,,,
379,U1533,A,1,H,7,10.0,9.01,8.851,11.900,24.179,0.543,,2019-02-26 10:46:17,SECT9762851,113134601,,,
379,U1533,A,1,H,7,20.0,9.11,8.950,12.000,23.981,0.340,,2019-02-26 10:46:17,SECT9762851,113134601,,,
379,U1533,A,1,H,7,30.0,9.21,9.048,12.100,22.268,0.332,,2019-02-26 10:46:17,SECT9762851,113134601,,,
379,U1533,A,1,H,7,40.0,9.31,9.146,12.200,18.948,0.348,,2019-02-26 10:46:17,SECT9762851,113134601,,,
379,U1533,A,1,H,7,50.0,9.41,9.245,12.300,15.831,0.370,,2019-02-26 10:46:17,SECT9762851,113134601,,,
379,U1533,A,2,H,1,0.0,9.5,9.500,14.230,17.316,1.102,379-NGR-48280101-379-u1533a-2h-1_sect9763381_20190226042922.zip,2019-02-26 10:29:22,SECT9763381,113134611,,,
379,U1533,A,2,H,1,10.0,9.6,9.596,14.330,15.576,0.401,,2019-02-26 10:29:22,SECT9763381,113134611,,,
379,U1533,A,2,H,1,20.0,9.7,9.693,14.430,15.054,0.293,,2019-02-26 10:29:22,SECT9763381,113134611,,,
379,U1533,A,2,H,1,30.0,9.8,9.789,14.530,14.528,0.290,,2019-02-26 10:29:22,SECT9763381,113134611,,,
379,U1533,A,2,H,1,40.0,9.9,9.886,14.630,13.577,0.262,,2019-02-26 10:29:22,SECT9763381,113134611,,,
379,U1533,A,2,H,1,50.0,10,9.982,14.730,13.574,0.262,,2019-02-26 10:29:22,SECT9763381,113134611,,,
379,U1533,A,2,H,1,60.0,10.1,10.079,14.830,14.661,0.269,,2019-02-26 10:29:22,SECT9763381,113134611,,,
379,U1533,A,2,H,1,70.0,10.2,10.175,14.930,15.794,0.276,,2019-02-26 10:29:22,SECT9763381,113134611,,,
379,U1533,A,2,H,1,80.0,10.3,10.271,15.030,17.222,0.285,,2019-02-26 10:29:22,SECT9763381,113134611,,,
379,U1533,A,2,H,1,90.0,10.4,10.368,15.130,19.515,0.298,,2019-02-26 10:29:22,SECT9763381,113134611,,,
379,U1533,A,2,H,1,100.0,10.5,10.464,15.230,23.342,0.319,,2019-02-26 10:29:22,SECT9763381,113134611,,,
379,U1533,A,2,H,1,110.0,10.6,10.561,15.330,31.986,0.361,,2019-02-26 10:29:22,SECT9763381,113134611,,,
379,U1533,A,2,H,1,120.0,10.7,10.657,15.430,36.898,0.375,,2019-02-26 10:29:22,SECT9763381,113134611,,,
379,U1533,A,2,H,1,130.0,10.8,10.754,15.530,33.521,0.360,,2019-02-26 10:29:22,SECT9763381,113134611,,,
379,U1533,A,2,H,1,140.0,10.9,10.850,15.630,29.562,0.677,,2019-02-26 10:29:22,SECT9763381,113134611,,,
379,U1533,A,2,H,1,150.0,11,10.946,15.730,27.535,1.582,,2019-02-26 10:29:22,SECT9763381,113134611,,,
379,U1533,A,2,H,2,0.0,11.01,10.956,15.740,38.116,2.266,379-NGR-48280641-379-u1533a-2h-2_sect9763411_20190226053156.zip,2019-02-26 11:31:56,SECT9763411,113134621,,,
379,U1533,A,2,H,2,10.0,11.11,11.052,15.840,36.635,0.753,,2019-02-26 11:31:56,SECT9763411,113134621,,,
379,U1533,A,2,H,2,20.0,11.21,11.149,15.940,37.221,0.400,,2019-02-26 11:31:56,SECT9763411,113134621,,,
379,U1533,A,2,H,2,30.0,11.31,11.245,16.040,38.341,0.404,,2019-02-26 11:31:56,SECT9763411,113134621,,,
379,U1533,A,2,H,2,40.0,11.41,11.342,16.140,45.447,0.418,,2019-02-26 11:31:56,SECT9763411,113134621,,,
379,U1533,A,2,H,2,50.0,11.51,11.438,16.240,40.647,0.399,,2019-02-26 11:31:56,SECT9763411,113134621,,,
379,U1533,A,2,H,2,60.0,11.61,11.535,16.340,37.558,0.386,,2019-02-26 11:31:56,SECT9763411,113134621,,,
379,U1533,A,2,H,2,70.0,11.71,11.631,16.440,39.894,0.396,,2019-02-26 11:31:56,SECT9763411,113134621,,,
379,U1533,A,2,H,2,80.0,11.81,11.728,16.540,38.489,0.390,,2019-02-26 11:31:56,SECT9763411,113134621,,,
379,U1533,A,2,H,2,90.0,11.91,11.824,16.640,38.759,0.391,,2019-02-26 11:31:56,SECT9763411,113134621,,,
379,U1533,A,2,H,2,100.0,12.01,11.921,16.740,41.252,0.402,,2019-02-26 11:31:56,SECT9763411,113134621,,,
379,U1533,A,2,H,2,110.0,12.11,12.017,16.840,42.262,0.406,,2019-02-26 11:31:56,SECT9763411,113134621,,,
379,U1533,A,2,H,2,120.0,12.21,12.114,16.940,40.298,0.390,,2019-02-26 11:31:56,SECT9763411,113134621,,,
379,U1533,A,2,H,2,130.0,12.31,12.210,17.040,35.447,0.494,,2019-02-26 11:31:56,SECT9763411,113134621,,,
379,U1533,A,2,H,2,140.0,12.41,12.307,17.140,27.748,0.594,,2019-02-26 11:31:56,SECT9763411,113134621,,,
379,U1533,A,2,H,3,0.0,12.51,12.403,17.240,22.889,1.410,379-NGR-48280831-379-u1533a-2h-3_sect9763441_20190226054542.zip,2019-02-26 11:45:42,SECT9763441,113134631,,,
379,U1533,A,2,H,3,10.0,12.61,12.499,17.340,22.465,0.515,,2019-02-26 11:45:42,SECT9763441,113134631,,,
379,U1533,A,2,H,3,20.0,12.71,12.596,17.440,21.318,0.327,,2019-02-26 11:45:42,SECT9763441,113134631,,,
379,U1533,A,2,H,3,30.0,12.81,12.692,17.540,21.264,0.326,,2019-02-26 11:45:42,SECT9763441,113134631,,,
379,U1533,A,2,H,3,40.0,12.91,12.789,17.640,26.423,0.334,,2019-02-26 11:45:42,SECT9763441,113134631,,,
379,U1533,A,2,H,3,50.0,13.01,12.885,17.740,38.544,0.390,,2019-02-26 11:45:42,SECT9763441,113134631,,,
379,U1533,A,2,H,3,60.0,13.11,12.982,17.840,48.104,0.429,,2019-02-26 11:45:42,SECT9763441,113134631,,,
379,U1533,A,2,H,3,70.0,13.21,13.078,17.940,54.058,0.451,,2019-02-26 11:45:42,SECT9763441,113134631,,,
