Exp,Site,Hole,Core,Type,Sect,Offset (cm),Depth CSF-A (m),Depth CSF-B (m),Depth CCSF-379-U1533-ABCD-20191030 (m),NGR total counts (cps),Absolute error (cps),NGR zip file,Timestamp (UTC),Text ID,Test No.,Sample comments,Test comments,Result comments
379,U1533,B,2,H,1,0.0,25.5,25.500,35.240,32.961,1.975,379-NGR-48280001-379-u1533b-2h-1_sect9764581_20190226041338.zip,2019-02-26 10:13:38,SECT9764581,113134751,,,
379,U1533,B,2,H,1,10.0,25.6,25.593,35.340,29.229,0.628,,2019-02-26 10:13:38,SECT9764581,113134751,,,
379,U1533,B,2,H,1,20.0,25.7,25.687,35.440,28.611,0.362,,2019-02-26 10:13:38,SECT9764581,113134751,,,
379,U1533,B,2,H,1,30.0,25.8,25.780,35.540,26.934,0.354,,2019-02-26 10:13:38,SECT9764581,113134751,,,
379,U1533,B,2,H,1,40.0,25.9,25.873,35.640,26.677,0.335,,2019-02-26 10:13:38,SECT9764581,113134751,,,
379,U1533,B,2,H,1,50.0,26,25.967,35.740,26.317,0.334,,2019-02-26 10:13:38,SECT9764581,113134751,,,
379,U1533,B,2,H,1,60.0,26.1,26.060,35.840,26.654,0.335,,2019-02-26 10:13:38,SECT9764581,113134751,,,
379,U1533,B,2,H,1,70.0,26.2,26.153,35.940,27.058,0.337,,2019-02-26 10:13:38,SECT9764581,113134751,,,
379,U1533,B,2,H,1,80.0,26.3,26.246,36.040,27.685,0.341,,2019-02-26 10:13:38,SECT9764581,113134751,,,
379,U1533,B,2,H,1,90.0,26.4,26.340,36.140,28.642,0.346,,2019-02-26 10:13:38,SECT9764581,113134751,,,
379,U1533,B,2,H,1,100.0,26.5,26.433,36.240,31.732,0.360,,2019-02-26 10:13:38,SECT9764581,113134751,,,
379,U1533,B,2,H,1,110.0,26.6,26.526,36.340,33.939,0.370,,2019-02-26 10:13:38,SECT9764581,113134751,,,
379,U1533,B,2,H,1,120.0,26.7,26.620,36.440,38.511,0.382,,2019-02-26 10:13:38,SECT9764581,113134751,,,
379,U1533,B,2,H,1,130.0,26.8,26.713,36.540,46.838,0.417,,2019-02-26 10:13:38,SECT9764581,113134751,,,
379,U1533,B,2,H,1,140.0,26.9,26.806,36.640,48.419,1.035,,2019-02-26 10:13:38,SECT9764581,113134751,,,
379,U1533,B,2,H,1,150.0,27,26.900,36.740,43.815,2.455,,2019-02-26 10:13:38,SECT9764581,113134751,,,
379,U1533,B,2,H,2,0.0,27.01,26.909,36.750,48.239,2.841,379-NGR-48285811-379-u1533b-2h-2_sect9764611_20190226083241.zip,2019-02-26 14:32:41,SECT9764611,113134771,,,
379,U1533,B,2,H,2,10.0,27.11,27.002,36.850,49.783,0.977,,2019-02-26 14:32:41,SECT9764611,113134771,,,
379,U1533,B,2,H,2,20.0,27.21,27.096,36.950,56.604,0.474,,2019-02-26 14:32:41,SECT9764611,113134771,,,
379,U1533,B,2,H,2,30.0,27.31,27.189,37.050,59.118,0.482,,2019-02-26 14:32:41,SECT9764611,113134771,,,
379,U1533,B,2,H,2,40.0,27.41,27.282,37.150,60.321,0.474,,2019-02-26 14:32:41,SECT9764611,113134771,,,
379,U1533,B,2,H,2,50.0,27.51,27.376,37.250,61.684,0.479,,2019-02-26 14:32:41,SECT9764611,113134771,,,
379,U1533,B,2,H,2,60.0,27.61,27.469,37.350,60.191,0.473,,2019-02-26 14:32:41,SECT9764611,113134771,,,
379,U1533,B,2,H,2,70.0,27.71,27.562,37.450,42.794,0.408,,2019-02-26 14:32:41,SECT9764611,113134771,,,
379,U1533,B,2,H,2,80.0,27.81,27.655,37.550,28.782,0.346,,2019-02-26 14:32:41,SECT9764611,113134771,,,
379,U1533,B,2,H,2,90.0,27.91,27.749,37.650,27.759,0.341,,2019-02-26 14:32:41,SECT9764611,113134771,,,
379,U1533,B,2,H,2,100.0,28.01,27.842,37.750,28.846,0.346,,2019-02-26 14:32:41,SECT9764611,113134771,,,
379,U1533,B,2,H,2,110.0,28.11,27.935,37.850,31.359,0.358,,2019-02-26 14:32:41,SECT9764611,113134771,,,
379,U1533,B,2,H,2,120.0,28.21,28.029,37.950,34.278,0.364,,2019-02-26 14:32:41,SECT9764611,113134771,,,
379,U1533,B,2,H,2,130.0,28.31,28.122,38.050,36.601,0.374,,2019-02-26 14:32:41,SECT9764611,113134771,,,
