Exp,Site,Hole,Core,Type,Sect,Offset (cm),Depth CSF-A (m),Depth CSF-B (m),Depth CCSF-379-U1533-ABCD-20191030 (m),NGR total counts (cps),Absolute error (cps),NGR zip file,Timestamp (UTC),Text ID,Test No.,Sample comments,Test comments,Result comments
379,U1533,C,1,H,1,0.0,0,0.000,2.250,47.203,2.782,379-NGR-48368071-379-u1533c-1h-1_sect9776211_20190227212436.zip,2019-02-28 03:24:36,SECT9776211,113159111,,,
379,U1533,C,1,H,1,10.0,0.1,0.100,2.350,43.878,0.876,,2019-02-28 03:24:36,SECT9776211,113159111,,,
379,U1533,C,1,H,1,20.0,0.2,0.200,2.450,39.291,0.408,,2019-02-28 03:24:36,SECT9776211,113159111,,,
379,U1533,C,1,H,1,30.0,0.3,0.300,2.550,37.144,0.399,,2019-02-28 03:24:36,SECT9776211,113159111,,,
379,U1533,C,1,H,1,40.0,0.4,0.400,2.650,40.777,0.399,,2019-02-28 03:24:36,SECT9776211,113159111,,,
379,U1533,C,1,H,1,50.0,0.5,0.500,2.750,44.781,0.416,,2019-02-28 03:24:36,SECT9776211,113159111,,,
379,U1533,C,1,H,1,60.0,0.6,0.600,2.850,47.518,0.427,,2019-02-28 03:24:36,SECT9776211,113159111,,,
379,U1533,C,1,H,1,70.0,0.7,0.700,2.950,51.081,0.440,,2019-02-28 03:24:36,SECT9776211,113159111,,,
379,U1533,C,1,H,1,80.0,0.8,0.800,3.050,55.409,0.457,,2019-02-28 03:24:36,SECT9776211,113159111,,,
379,U1533,C,1,H,1,90.0,0.9,0.900,3.150,59.102,0.470,,2019-02-28 03:24:36,SECT9776211,113159111,,,
379,U1533,C,1,H,1,100.0,1,1.000,3.250,60.176,0.474,,2019-02-28 03:24:36,SECT9776211,113159111,,,
379,U1533,C,1,H,1,110.0,1.1,1.100,3.350,58.772,0.469,,2019-02-28 03:24:36,SECT9776211,113159111,,,
379,U1533,C,1,H,1,120.0,1.2,1.200,3.450,58.568,0.462,,2019-02-28 03:24:36,SECT9776211,113159111,,,
379,U1533,C,1,H,1,130.0,1.3,1.300,3.550,55.125,0.720,,2019-02-28 03:24:36,SECT9776211,113159111,,,
379,U1533,C,1,H,1,140.0,1.4,1.400,3.650,46.640,0.712,,2019-02-28 03:24:36,SECT9776211,113159111,,,
