hole,lat_deg,lat_min,lat_sec,lat_dir,lon_deg,lon_min,lon_sec,lon_dir,water_depth(m)
U1532A,68,36,6833,S,107,31,5003,W,3961.48
U1532B,68,36,6837,S,107,31,4696,W,3961.44
U1532C,68,36,6952,S,107,31,4721,W,3961.41
U1532D,68,36,6953,S,107,31,5015,W,3961.48
U1532E,68,36,4292,S,107,32,4613,W,3977.36
U1532F,68,36,6833,S,107,31,5303,W,3961.46
U1532G,68,36,6954,S,107,31,5299,W,3961.41
U1533A,68,44,0168,S,109,0,6014,W,4180.81
U1533B,68,44,0994,S,109,3,0010,W,4190.21
U1533C,68,44,0696,S,109,1,5103,W,4183.05
U1533D,68,44,0727,S,109,1,4901,W,4183.94
